Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;2;11.3000001907;10.0;4;21.0;1;7.0;13.0;6;20.0;
3;2;11.3000001907;10.0;5;21.0599999428;1;8.0;12.0;6;20.0;
4;2;11.3179998398;10.0;5;21.1229639053;1;8.0;11.0;5;20.0;
5;2;12.5053339005;10.0;5;21.1889609098;1;8.0;10.0;5;20.0;
6;2;13.5350322723;10.0;5;21.2580518723;1;9.0;10.0;5;20.0;
7;2;14.5661230087;10.0;5;21.7428686619;1;9.5;10.0;5;20.0;
8;2;14.7842912674;10.1999998093;5;22.1586660147;1;9.5;10.0;5;20.3999996185;
9;2;14.9713993073;10.3632001877;5;23.3744058609;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;15.5184831619;10.9097137451;5;24.4179002047;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;17.5184822083;11.3658018112;4;25.3010519743;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;19.5184822083;11.7372808456;4;26.0431767702;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;20.7078437805;12.0336990356;4;26.6668455601;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;21.0000801086;12.2662630081;4;27.194732666;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;21.2376308441;12.446267128;4;27.4794170856;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;21.365737915;12.5;3;27.6658837795;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;23.4012889862;12.5;3;27.86140275;1;15.7228336334;12.4808797836;5;25.0;
18;2;24.4892730713;12.5;3;28.0656666756;1;16.7228336334;12.5;6;25.0;
19;2;25.5811920166;12.5;3;28.2782502174;1;17.625;12.5;6;25.0;
20;2;26.6768531799;12.5;3;28.4986059666;1;17.625;12.5;6;25.0;
21;2;26.8243732452;12.5;5;28.7260642052;1;17.625;12.5;6;25.0;
22;2;26.9267292023;12.5;5;28.9598350525;1;17.625;12.5;7;25.0;
23;2;27.0319252014;12.5;6;29.1990156174;1;17.625;12.5;7;25.0;
24;2;27.1395568848;12.5;6;29.4425997734;1;17.625;12.5;7;25.0;
25;2;27.2491703033;12.5;6;29.6894927025;1;17.625;12.5;7;25.0;
26;3;27.3602714539;12.5;5;29.9385285378;1;17.625;12.5;8;25.0;
27;3;27.4723377228;12.5;6;30.1884908676;1;17.625;12.5;8;25.0;
28;3;27.5848197937;12.5;6;30.4381356239;1;17.625;12.5;8;25.0;
29;3;27.6971607208;12.5;6;30.6862158775;1;17.625;12.5;8;25.0;
30;3;27.808795929;12.5;6;30.9315071106;1;17.625;12.5;8;25.0;
31;3;27.919178009;12.5;6;31.1728301048;1;15.625;13.5;8;25.0;
32;3;28.0277729034;12.5;6;31.4090747833;1;14.625;14.5;7;25.0;
33;3;28.1340827942;12.5;6;31.6392197609;1;13.625;15.5;7;25.0;
34;3;28.2376480103;12.5;6;31.8623495102;1;12.625;16.5;7;25.0;
35;3;28.3380584717;14.5;7;33.0776662827;1;12.0;17.5;7;25.0;
36;3;29.4349498749;17.5;7;33.3044991493;1;12.0;18.5;7;25.0;
37;3;30.5280246735;20.5;8;33.5225057602;1;12.0;19.5;7;25.0;
38;3;31.0851287842;23.5;9;33.7312728167;1;12.0;20.5;8;25.0;
39;3;31.1790733337;26.5;9;33.9305161238;1;12.0;21.5;8;25.0;
40;3;31.2687320709;27.5;10;34.1200726032;1;12.0;22.5;8;25.0;
41;3;31.3540325165;27.5;11;34.2998937368;1;12.0;23.5;9;25.0;
42;3;31.4349517822;27.5;11;34.4700322151;1;12.0;24.5;10;25.0;
43;3;31.5115146637;27.5;12;34.6306321621;1;12.0;25.5;10;25.0;
44;3;31.5837841034;27.5;13;34.7819125652;1;12.0;26.5;12;25.0;
45;3;31.6518611908;27.5;13;34.9241601229;1;12.0;27.5;12;25.0;
46;3;31.7158718109;27.5;13;35.0577107668;1;12.0;28.5;12;25.0;
47;3;31.775970459;27.5;14;35.1829402447;1;12.0;29.5;13;25.0;
48;3;31.8323230743;27.5;14;35.2733153105;1;13.0;27.5;14;25.0;
49;3;31.8729915619;27.5;15;35.2953014374;1;12.0;28.5;14;25.0;
50;3;31.8828849792;27.5;16;35.3173824549;1;12.0;29.5;15;25.0;
51;4;31.8928222656;27.5;15;35.3395489454;1;13.0;27.5;15;25.0;
52;4;31.902797699;27.5;15;35.3617914915;1;12.0;28.5;15;25.0;
53;4;31.9128074646;27.5;15;35.3841004372;1;12.0;29.5;15;25.0;
54;4;31.9228458405;27.5;15;35.4064661264;1;13.0;27.5;15;25.0;
55;4;31.9329109192;27.5;15;35.428878665;1;12.0;28.5;16;25.0;
56;4;31.9429950714;27.5;14;36.6313283443;1;12.0;29.5;17;25.0;
57;4;32.4841003418;28.0;15;37.6008814573;1;13.0;27.5;17;25.0;
58;4;32.9203948975;28.3899993896;15;38.3723913431;1;12.0;28.5;18;25.0;
59;4;33.267578125;28.6872596741;15;38.9822325706;1;12.0;29.5;18;25.0;
60;4;33.5420074463;28.9097423553;16;39.3160207272;1;12.0;30.5;19;25.0;
61;4;33.6922073364;29.0;16;39.4582709074;1;12.0;31.5;20;25.0;
62;4;33.7562179565;29.0;18;40.5862361193;1;12.0;32.5;20;25.0;
63;4;34.8138046265;30.0;18;40.6486617327;1;12.0;33.5;21;25.0;
64;4;35.8238983154;31.0;18;40.7122275829;1;12.0;34.5;21;25.0;
65;4;35.8339691162;32.0;19;40.7769254446;1;13.0;32.5;21;25.0;
66;4;35.8440170288;33.0;21;40.842744112;1;12.0;33.5;22;25.0;
67;4;35.8540344238;34.0;21;40.9096696377;1;12.0;34.5;22;25.0;
68;4;35.8640213013;34.4847373962;23;40.9776847363;1;13.0;32.5;23;25.0;
69;4;35.8739700317;34.5030975342;23;41.0467691422;1;12.0;33.5;24;25.0;
70;4;35.8838768005;34.5219268799;23;41.1168991327;1;12.0;34.5;24;25.0;
71;4;35.893737793;34.5412139893;24;41.1880475283;1;13.0;32.5;24;25.0;
72;4;35.9035491943;34.5609512329;24;41.260183692;1;12.0;33.5;25;25.0;
73;4;35.9133071899;34.5811309814;24;41.3332732916;1;12.0;34.5;26;25.0;
74;4;31.0999984741;37.3333091736;25;41.4072785378;1;13.0;32.5;26;25.0;
