Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.0;10.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;11.0;10.0;4;20.0;1;7.0;13.0;3;20.0;
3;1;11.0;10.0;4;20.0;1;8.0;12.0;3;20.0;
4;1;11.0;10.0;4;20.0;1;8.0;11.0;3;20.0;
5;2;12.4499998093;10.0;3;21.0;1;8.0;10.0;2;20.0;
6;2;13.4499998093;10.0;3;21.0900000334;1;9.0;10.0;2;20.0;
7;2;14.4905004501;10.0;3;21.5980186462;1;9.5;10.0;2;20.0;
8;2;14.7191085815;10.1999998093;3;22.0418490171;1;9.5;10.0;2;20.3999996185;
9;2;14.9188308716;10.3632001877;3;23.3017349243;1;9.59000015259;10.1999998093;2;20.7264003754;
10;2;15.4857807159;10.9097137451;3;24.3994617462;1;9.66343975067;10.3632001877;2;20.9903717041;
11;2;17.4857807159;11.3658018112;3;25.3481024504;1;9.72283363342;10.4951858521;2;22.0419120789;
12;2;19.4857807159;11.7372808456;3;26.1681330204;1;9.95943069458;11.0209560394;2;22.9143505096;
13;2;20.7640724182;12.0336990356;3;26.8832330704;1;11.7228336334;11.4571752548;2;23.6214065552;
14;2;21.8765602112;12.2662630081;3;27.5170819759;1;12.7228336334;11.8107032776;2;24.1832637787;
15;2;22.9997901917;12.446267128;4;27.923101902;1;13.7228336334;12.0916318893;3;24.6226100922;
16;3;24.1341381073;12.5;3;28.2468910217;2;14.7228336334;12.3113050461;2;24.9617595673;
17;3;25.2798442841;12.5;4;28.5960328579;2;15.7228336334;12.4808797836;2;25.0;
18;3;26.436958313;12.5;4;28.9701628685;2;16.7228336334;12.5;3;25.0;
19;3;27.03657341;12.5;4;29.3683638573;2;17.625;12.5;3;25.0;
20;3;27.215763092;12.5;4;29.7891087532;2;17.625;12.5;4;25.0;
21;3;27.4050979614;12.5;4;30.2302284241;2;17.625;12.5;4;25.0;
22;3;27.603603363;12.5;4;30.6889076233;2;17.625;12.5;4;25.0;
23;3;27.8100090027;12.5;4;31.1617178917;2;17.625;12.5;4;25.0;
24;3;28.0227737427;12.5;4;31.6446905136;2;17.625;12.5;3;25.0;
25;3;28.2401103973;12.5;4;32.1334280968;2;17.625;12.5;5;25.0;
26;3;28.4600429535;12.5;4;32.6232500076;3;18.625;13.1000003815;4;26.0;
27;3;28.6804618835;12.5;4;33.1093654633;3;19.625;12.5;5;26.0499999523;
28;3;28.8992137909;12.5;4;33.587059021;3;19.625;12.5;4;27.3519749641;
29;3;29.1141777039;12.5;4;34.0518712997;3;19.90625;13.125;4;28.3903249502;
30;3;29.3233413696;12.5;4;34.4997692108;3;20.1277351379;13.6171875;4;29.1995202303;
31;3;29.5248966217;12.5;4;34.927280426;3;18.1277351379;14.6171875;4;29.8207774162;
32;3;29.7172775269;12.5;5;35.3315906525;3;17.1277351379;15.6171875;4;30.2946047783;
33;3;29.8992156982;12.5;5;35.7105960846;3;16.1277351379;16.6171875;4;30.3921557665;
34;3;30.0697689056;12.5;5;36.0629110336;3;15.1277351379;17.6171875;3;30.4563041925;
35;3;30.2283096313;14.5;5;36.3878383636;3;14.1277351379;18.6171875;3;30.5224741697;
