Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;2;11.3000001907;10.0;3;21.0;1;6.0;14.0;4;20.0;
2;2;11.3000001907;10.0;3;21.0900000334;1;7.0;13.0;6;20.0;
3;2;11.3269996643;10.0;3;21.1871190071;1;8.0;12.0;6;20.0;
4;2;11.3561353683;10.0;3;21.2917383909;1;8.0;11.0;6;20.0;
5;2;12.5812826157;10.0;3;21.4042263031;1;8.0;10.0;6;20.0;
6;2;13.631901741;10.0;3;21.5249304771;2;9.0;10.3000001907;5;21.0;
7;2;14.6862182617;10.0;4;22.0694183111;2;9.72500038147;10.0;5;21.0599999428;
8;3;14.9312381744;10.1999998093;3;22.5515855551;2;9.73849964142;10.0;5;21.5335636139;
9;3;15.1482124329;10.3632001877;3;23.8668255806;2;9.84505176544;10.1999998093;5;21.9377998114;
10;3;15.7400722504;10.9097137451;3;25.0237190723;2;9.93600463867;10.3632001877;5;22.3082362413;
11;3;17.7400722504;11.3658018112;3;26.0350353718;2;10.0193529129;10.4951858521;4;23.4741953611;
12;3;19.7400722504;11.7372808456;3;26.9207777977;2;10.2816944122;11.0209560394;4;24.4693477154;
13;3;21.1027641296;12.0336990356;3;27.703961134;2;12.0727081299;11.4571752548;4;25.3077232838;
14;3;21.4667816162;12.2662630081;3;28.4073903561;2;14.0727081299;11.8107032776;4;26.0097755194;
15;3;21.7833271027;12.446267128;3;28.8833937645;2;16.0727081299;12.0916318893;4;26.5984115601;
16;3;21.9975280762;12.5;3;29.2762613297;2;17.167388916;12.3113050461;3;27.0961031914;
17;3;24.1259593964;12.5;2;29.692073822;2;17.7228336334;13.1211833954;3;27.3022236824;
18;3;25.3130741119;12.5;2;30.1288084984;2;18.7228336334;13.1906671524;3;27.4794437885;
19;3;26.5096054077;12.5;2;30.5837950706;2;20.1828746796;12.5;3;27.6659116745;
20;3;27.7143478394;12.5;2;31.0537385941;2;20.2248306274;12.5;5;27.8614320755;
21;3;27.9741821289;12.5;2;31.534784317;3;20.2688217163;12.5;4;35.258569479;
22;3;28.1906528473;12.5;2;32.0226202011;3;20.625;13.5;4;35.852889061;
23;3;28.4101791382;12.5;2;32.5126152039;3;21.625;13.8113126755;4;36.4463253021;
24;3;28.6306762695;12.5;2;32.9999876022;3;22.625;13.8994560242;4;37.0355885029;
25;3;28.8499946594;12.5;2;33.4799880981;3;24.4633712769;12.5;5;37.6175706387;
26;3;29.0659942627;12.5;2;33.9480848312;4;24.625;13.5;4;38.1894068718;
27;3;29.276638031;12.5;2;34.4001340866;5;26.5697860718;12.5;3;38.748521328;
28;3;29.4800605774;12.5;2;34.8325281143;5;25.6245937347;13.5;3;39.2926549911;
29;3;29.6746368408;12.5;2;35.2422962189;5;25.6801433563;14.5;3;39.819881916;
30;3;27.6746368408;13.5;2;35.6271715164;5;24.625;16.5;3;40.3286046982;
31;3;26.6746368408;14.5;3;35.9856081009;5;24.625;18.5;3;40.8175473213;
32;3;25.6746368408;15.5;4;36.3167572021;5;25.0;20.5;3;41.2857356071;
33;3;25.25;16.5;5;36.6204128265;5;25.5395336151;22.4803771973;3;41.7324709892;
34;3;25.25;17.1481647491;5;36.8969306946;5;25.7208328247;23.6520805359;4;42.1573085785;
35;3;25.25;17.2587718964;5;37.1471309662;5;25.8859977722;24.8210067749;4;42.5600275993;
36;4;27.25;19.5;4;38.3722009659;5;26.0358257294;25.9863777161;4;42.9406070709;
37;4;29.25;21.5;5;38.7035959959;5;26.1712188721;27.1474761963;4;43.2991991043;
38;4;30.25;23.5;5;39.0283769369;5;26.2931365967;28.3036670685;4;43.5776972771;
39;4;31.25;25.5;5;39.3497056961;5;26.3500003815;29.4543876648;4;44.7845292091;
40;5;32.25;27.5;4;39.6183350086;5;27.3500003815;31.2991714478;4;45.0723384619;
41;5;33.0999984741;27.5;4;39.8187118769;5;28.3500003815;32.5006370544;5;46.3578372002;
42;5;33.0999984741;27.5;5;40.0402543545;5;30.6171016693;34.5006370544;5;46.7711293697;
43;5;33.0999984741;27.5;5;40.2842636108;6;33.3499984741;35.2630004883;6;47.1978582144;
44;5;33.0999984741;27.5;5;40.5518820286;6;33.3499984741;38.2630004883;7;47.6397604942;
45;5;33.0999984741;27.5;5;40.8440244198;6;34.6734886169;41.2630004883;8;48.0986706018;
46;5;33.0999984741;27.5;5;41.1613030434;6;35.7221870422;43.5;10;48.5764677525;
47;5;33.0999984741;27.5;5;42.5039470196;6;36.9749984741;42.5;10;49.0750129223;
48;5;34.0999984741;28.5;5;42.9117231369;6;36.4340591431;41.8575286865;10;49.5960733891;
49;5;35.0999984741;29.5;6;44.3450460434;6;34.9604797363;42.5;10;50.1412405968;
50;5;34.5865325928;32.5;6;44.842550993;6;33.9749984741;42.5;10;51.7118372917;
51;5;34.6055984497;35.5;6;45.3634184599;6;34.9749984741;43.4908180237;11;52.3118674755;
52;5;33.6251983643;38.5;7;45.904994607;6;34.9749984741;43.7129135132;12;52.8784854412;
53;5;32.6453285217;40.5;6;46.4639946222;6;34.9749984741;45.9527626038;12;53.4796485901;
54;5;31.8159866333;42.5;7;47.0365639925;6;34.375;48.2102050781;12;54.1141824722;
55;5;31.8371677399;43.3059196472;8;49.1891123056;7;34.375;50.484703064;12;54.7801934481;
56;5;32.3206100464;43.9969940186;9;51.1019846201;7;34.6350631714;51.7752990723;13;55.4750279188;
57;5;32.706489563;44.5634346008;10;52.8038080931;8;35.2010192871;53.9126853943;11;56.19526124;
58;5;33.0103607178;45.0231819153;12;54.3247690201;8;34.375;54.3987197876;11;56.9367277622;
59;5;34.2483863831;43.2855262756;12;55.5445270538;8;34.375;56.6066513062;11;59.2218495607;
60;5;34.3688621521;44.417263031;12;56.5421155691;8;33.5302505493;56.0606536865;12;61.2845312357;
61;5;33.4095458984;46.460357666;13;57.4939098358;8;35.9487457275;53.1484832764;12;64.1524529457;
62;5;33.4516487122;47.8668136597;15;58.2859247923;8;36.7695198059;56.1288909912;13;65.9140930176;
63;5;33.4951477051;48.9313201904;16;59.0033625364;9;38.7999992371;54.1641769409;12;67.3869261742;
64;6;33.5400009155;49.9791641235;15;59.6881728172;9;38.7999992371;54.1484832764;13;68.681712389;
65;6;33.5861663818;47.0;16;60.3381268978;9;38.3761444092;56.1484832764;13;69.9685488939;
66;6;33.6335868835;47.0;16;60.9522712231;9;35.026260376;62.1484832764;14;71.1498577595;
67;6;33.6821975708;46.1316261292;14;61.5307617188;9;34.7999992371;66.3126983643;14;72.3259301186;
68;6;32.5999984741;47.1852264404;15;62.0746574402;9;34.7999992371;67.3515472412;14;73.4928202629;
69;6;33.5999984741;48.2400970459;15;62.5856938362;10;36.1993865967;67.1484832764;14;74.6478693485;
70;6;32.5999984741;49.2961502075;16;63.0660626888;11;36.7999992371;70.1484832764;11;99.7895784378;
71;6;31.5999984741;49.3532791138;17;63.5182168484;11;35.7999992371;75.4717254639;12;102.597360253;
72;6;31.5999984741;50.4113807678;17;63.9447023869;11;36.7999992371;80.5128707886;14;105.077380896;
73;6;33.5999984741;52.4703369141;18;64.2789793015;12;37.7999992371;87.4717254639;13;107.24682951;
74;6;31.5999984741;52.5300216675;18;64.5212538242;12;38.7999992371;93.3325500488;13;109.144141912;
75;6;32.5999984741;53.5903053284;18;64.7649798393;12;39.7999992371;99.4865341187;15;110.815957546;
76;6;34.5999984741;55.6510467529;20;65.0095741749;12;40.7999992371;104.631332397;19;112.307464838;
77;6;35.5999984741;56.7121009827;20;65.2544438839;12;41.7999992371;109.76688385;19;113.384454966;
78;6;36.5999984741;57.7733230591;20;65.4989902973;12;42.7999992371;114.893218994;19;114.303092003;
79;6;37.5999984741;58.3665084839;21;65.7426161766;13;43.7999992371;120.010505676;19;115.158682585;
80;6;38.5999984741;58.4761810303;21;65.9847309589;13;44.7999992371;125.118972778;22;116.003455162;
81;6;39.3499984741;58.5851898193;19;66.2247567177;13;45.7999992371;130.218948364;22;116.829690933;
82;6;39.3499984741;58.6932830811;17;66.4621329308;13;46.7999992371;134.781860352;23;117.629926682;
83;6;39.3499984741;58.8001937866;20;66.6963233948;13;47.7999992371;137.909713745;24;118.397336006;
84;6;39.3499984741;58.9056930542;17;66.9268183708;13;50.7999992371;135.030181885;24;119.026083708;
85;6;39.3499984741;59.0095481873;17;67.1531419754;13;49.7999992371;138.073669434;25;120.620648384;
86;6;39.3499984741;59.1115379333;15;67.3748531342;13;51.2999992371;142.116989136;26;121.217127085;
87;6;39.3499984741;59.2114715576;16;67.5915493965;13;54.2999992371;140.160064697;28;121.774218082;
88;6;35.3499984741;57.2541236877;15;67.8028693199;13;52.2999992371;144.133605957;34;122.290787697;
89;6;35.3499984741;55.9880218506;14;68.008494854;13;52.2999992371;147.465545654;34;122.76690805;
90;6;34.3499984741;54.0283813477;15;68.2081508636;14;55.2999992371;142.507583618;33;123.203657508;
91;7;34.3499984741;54.0675086975;15;68.4016060829;14;52.2999992371;151.483627319;35;123.602896452;
92;7;34.3499984741;54.1053695679;15;68.5886731148;14;52.2999992371;156.800094604;38;123.967043877;
93;7;33.3499984741;55.1419296265;15;68.7692070007;14;52.2999992371;159.90512085;38;124.298869371;
94;7;32.3499984741;56.1771697998;15;68.943104744;14;52.2999992371;163.010498047;39;124.601317048;
95;7;31.3499984741;57.2110671997;15;69.1103014946;15;52.2999992371;166.116119385;35;124.853151441;
96;7;30.3499984741;58.2436218262;16;69.2707705498;15;54.6268844604;162.769104004;36;125.153205872;
97;7;29.3499984741;59.2748298645;16;69.4245195389;15;56.6515579224;162.959503174;37;125.463647604;
98;7;28.3499984741;60.3046989441;18;70.257060051;15;59.9277038574;157.1537323;37;125.78393662;
99;7;27.3499984741;61.4715194702;18;71.0992498398;15;58.9553565979;157.351119995;37;126.11344254;
100;7;26.75;62.6401062012;18;71.9441494942;15;59.9845352173;157.550949097;39;127.451448917;
