Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
6;1;11.0;10.0;6;20.0;2;10.0;10.1999998093;4;21.0;
7;1;12.0;10.0;6;20.0;2;11.0;10.0;4;21.0299999714;
8;1;13.0;10.0;6;20.3999996185;2;11.0;10.0;4;22.2708917856;
9;1;14.0;10.1999998093;6;20.7264003754;2;11.3600006104;10.6000003815;4;23.3305673599;
10;2;14.3268795013;10.6632003784;5;22.8194274902;2;11.6652793884;11.1087999344;4;24.2141875029;
11;2;15.2687425613;10.9097137451;5;23.7616035938;2;11.9173870087;11.5289793015;4;25.8940099478;
12;2;15.6927223206;11.3658018112;5;24.5351526737;2;12.3975954056;12.329325676;4;27.2946819067;
13;2;18.2822418213;11.7372808456;5;25.1591641903;2;14.3975954056;12.9878778458;5;28.4281284809;
14;2;20.2822418213;12.0336990356;5;25.6560432911;2;16.3975944519;13.5105419159;5;29.3258297443;
15;2;21.3243255615;12.2662630081;5;26.0483692884;2;17.3975944519;13.9130096436;5;30.0282530785;
16;2;22.3388690948;12.446267128;5;26.1887089014;2;18.3975944519;14.2154760361;5;30.5766179562;
17;2;23.3536624908;12.5;5;26.2221269608;2;19.3975944519;14.4385232925;5;30.8066517115;
18;2;24.3687000275;12.5;6;26.2560760975;2;20.3975944519;14.5;6;30.9185439348;
