Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;2;6.0;14.3000001907;3;21.0;1;6.0;12.0;4;20.0;
2;2;7.30000019073;13.0;3;21.0900000334;1;7.0;11.0;5;20.0;
3;2;8.32699966431;12.0;3;21.1871190071;1;8.0;10.0;5;20.0;
4;2;9.35613536835;11.0;3;21.2917383909;1;9.0;10.0;4;20.0;
5;2;10.3875217438;10.0;3;21.4042263031;1;9.0;10.0;4;20.0;
6;2;11.631901741;10.0;3;21.5249304771;1;10.0;10.0;4;20.0;
7;2;12.6862182617;10.0;3;21.6541694403;1;11.0;10.0;3;20.0;
8;2;13.7443761826;10.0;2;22.2087649107;1;11.0;10.0;3;20.3999996185;
9;2;14.8139448166;10.1999998093;2;22.7014135122;1;11.1199998856;10.1999998093;3;20.7264003754;
10;2;15.2156352997;10.3632001877;2;24.0319356918;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;15.814371109;10.9097137451;2;25.2049109936;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;16.3422107697;11.3658018112;2;26.2329595089;1;11.6125736237;11.0209560394;4;22.9143505096;
13;2;18.9317321777;11.7372808456;2;27.1358840466;1;13.2971115112;11.4571752548;4;23.6214065552;
14;2;20.9317321777;12.0336990356;2;27.9364440441;1;14.2971115112;11.8107032776;4;24.1832637787;
15;2;22.3505058289;12.2662630081;3;28.6571342945;1;15.2971115112;12.0916318893;4;24.6226100922;
16;3;23.5128135681;12.446267128;2;29.1499218941;1;16.2971115112;12.3113050461;4;24.9617595673;
17;3;24.6862068176;12.5;2;29.5586924553;1;17.2971115112;12.4808797836;4;25.0;
