Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
74;6;35.5795669556;42.299079895;31;61.4420938492;6;30.1971988678;40.6556854248;15;56.2096170187;
75;6;35.6063499451;41.3262634277;32;62.6731592417;7;29.7286834717;40.8313217163;14;56.3798857927;
76;6;36.6334152222;41.3539237976;32;63.6284008026;7;29.0238189697;41.8791656494;15;56.5519872904;
77;6;36.9107208252;41.8820381165;32;64.0172629356;8;29.0436286926;42.9285316467;14;56.7257828712;
78;7;36.9382476807;42.9105796814;32;64.1367310286;9;29.0631008148;43.9793701172;13;56.9011175632;
79;7;33.9500007629;45.9395256042;32;64.2572879791;9;29.0822238922;45.0316238403;13;58.0620303154;
80;7;32.8000030518;48.5925636292;33;64.3788006306;9;30.0967254639;47.0852279663;12;58.2600729465;
81;7;31.8000011444;50.6657562256;33;64.5011310577;9;31.0999984741;49.0316238403;12;58.4604840279;
82;7;30.8000011444;52.2393913269;34;64.6241374016;9;32.0999984741;51.0316238403;12;59.6630506516;
83;7;29.8000011444;54.3133888245;34;64.7476742268;9;31.0999984741;56.0316238403;11;59.927541852;
84;7;28.8000011444;56.3876571655;34;64.8715934753;9;32.0999984741;61.0316238403;12;61.1966735125;
85;7;28.1000003815;58.4621047974;36;64.9957447052;9;33.0999984741;66.0316238403;13;61.6202507019;
86;7;28.1000003815;60.5366477966;36;66.1199760437;9;34.0999984741;71.0316238403;14;62.938754797;
87;7;29.1000003815;63.6111869812;37;66.3341356516;9;34.0999984741;76.0316238403;16;64.1099649668;
88;7;30.1000003815;65.6856384277;37;66.6037158966;10;34.0999984741;80.0316238403;15;65.190819025;
89;7;30.1000003815;67.7841644287;37;66.8826278448;10;31.5599994659;85.9516296387;15;66.2047163248;
90;7;30.1000003815;69.8835220337;36;67.1709597111;10;30.5599994659;90.5933227539;14;67.1753686666;
91;7;30.1000003815;71.9835586548;36;67.4687633514;10;29.5599994659;94.1912002563;15;67.9816868305;
92;7;30.1000003815;73.0841064453;37;67.776047349;11;28.5599994659;97.3449172974;15;68.7229350805;
93;7;30.1000003815;74.1849975586;37;69.0927695036;12;27.5599994659;100.405738831;16;69.5274829865;
94;7;31.1000003815;76.2860641479;38;69.4488294125;12;27.5599994659;100.466140747;18;71.3970272541;
95;8;33.0999984741;75.3871154785;38;69.8146517277;12;27.0;104.52596283;19;72.3915200233;
96;9;32.0999984741;77.487991333;38;70.1899876595;13;28.0;108.585075378;18;73.4516619444;
97;9;32.0999984741;79.5884857178;39;70.5745050907;13;29.0;109.643348694;18;74.5726401806;
98;9;33.0999984741;78.6884231567;39;70.9677802324;13;28.0;113.700653076;19;76.7467559576;
99;9;32.0999984741;80.7876281738;39;71.3692904711;13;29.0;118.631065369;19;77.9933956861;
100;9;32.0999984741;82.8859100342;40;71.778408289;14;31.0;121.703948975;19;79.2698889971;
101;10;33.0999984741;81.9831085205;39;72.1943991184;14;32.0;123.771636963;19;80.5609176159;
