Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;2;10.0;10.3000001907;5;21.0;1;9.0;10.0;5;20.0;
6;2;11.4499998093;10.0;4;21.0900000334;1;10.0;10.0;5;20.0;
7;2;12.4905004501;10.0;3;21.1871190071;1;11.0;10.0;5;20.0;
8;2;13.5342035294;10.0;3;21.7036092281;1;11.0;10.0;5;20.3999996185;
9;2;14.5866241455;10.1999998093;3;22.1564130783;1;11.1199998856;10.1999998093;5;20.7264003754;
10;2;14.9703855515;10.3632001877;2;23.4291926622;1;11.2179203033;10.3632001877;5;20.9903717041;
11;2;15.5431365967;10.9097137451;2;24.540822506;2;11.2971115112;10.6951856613;4;23.0419120789;
12;2;16.0433712006;11.3658018112;2;25.5043385029;2;11.9125738144;11.0209560394;4;24.0843504667;
13;2;18.6328907013;11.7372808456;2;26.3401436806;2;14.597111702;11.4571752548;4;24.9883174896;
14;2;20.6328907013;12.0336990356;2;27.0718023777;2;16.5971107483;11.8107032776;4;25.7775342464;
15;2;21.9614181519;12.2662630081;2;27.7228300571;2;17.7753925323;12.0916318893;4;26.4784322977;
16;2;23.092376709;12.446267128;2;28.1464314461;2;18.8538589478;12.3113050461;4;27.1171889305;
17;2;24.2346363068;12.5;2;28.4879314899;2;19.9437408447;12.4808797836;4;27.4969480038;
18;2;25.3883113861;12.5;3;28.8545851707;2;21.0461959839;12.5;4;27.8840510845;
