Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;4;20.0;1;8.0;10.0;5;20.0;
4;1;9.0;11.0;4;20.0;1;9.0;10.0;5;20.0;
5;1;10.0;10.0;4;20.0;1;9.0;10.0;5;20.0;
6;1;11.0;10.0;4;20.0;1;10.0;10.0;5;20.0;
7;1;12.0;10.0;4;20.0;1;11.0;10.0;4;20.0;
8;1;13.0;10.0;4;20.3999996185;1;11.0;10.0;3;20.3999996185;
9;2;14.0;10.5;3;21.7264003754;1;11.1199998856;10.1999998093;3;20.7264003754;
10;2;14.7768793106;10.3632001877;3;22.9094275236;1;11.2179203033;10.3632001877;3;20.9903717041;
11;2;15.3092432022;10.9097137451;3;23.9187226295;1;11.2971115112;10.4951858521;3;22.0419120789;
12;2;15.763425827;11.3658018112;3;24.7663000822;2;11.6125736237;11.2209558487;3;23.9143505096;
13;2;18.3529472351;11.7372808456;3;25.4716243744;2;14.2971115112;11.4571752548;3;24.661406517;
14;2;20.3529472351;12.0336990356;3;26.0574564934;2;16.2971115112;11.8107032776;3;25.2644476891;
15;2;21.5049610138;12.2662630081;4;26.5467036963;2;17.6214675903;12.0916318893;3;25.7461636066;
16;3;22.563117981;12.446267128;4;26.7922235727;2;18.6341781616;12.3113050461;3;26.1288670301;
17;3;22.8187427521;12.5;4;26.9393253326;2;19.6472434998;12.4808797836;3;26.211841464;
18;3;24.6914386749;12.5;4;27.0956480503;2;20.6606636047;12.5;3;26.2577478886;
19;3;25.7617835999;12.5;5;27.261295557;2;21.6744365692;12.5;4;26.3048160076;
20;3;26.2675819397;12.5;5;27.4362905025;2;21.8914451599;12.5;5;26.3530313969;
21;3;26.3463306427;12.5;5;27.6205644608;2;21.9059104919;12.5;6;26.4023760557;
22;3;26.4292545319;12.5;5;27.8139474392;2;21.9207134247;12.5;6;26.4528282881;
23;3;26.5162773132;12.5;5;28.016159296;2;21.9358482361;12.5;6;26.5043625832;
24;3;26.6072711945;12.5;5;28.2268030643;2;21.9513092041;12.5;6;26.5569496155;
25;4;25.25;13.5;4;28.445360899;2;21.9670848846;12.5;6;26.6105561256;
26;4;25.25;14.5;4;28.6711919308;2;21.9831676483;12.5;6;26.6651450396;
27;4;24.25;13.5;4;28.9035346508;2;21.9995441437;12.5;6;26.72067523;
28;4;24.25;13.5;4;29.141512394;2;22.0162029266;12.5;6;26.7771017551;
29;4;25.25;14.5;4;29.3841423988;2;22.0331306458;12.5;6;26.8343759775;
30;4;25.25;15.5;4;29.6303496361;2;21.5;13.4171876907;6;26.8924454451;
31;4;24.25;14.5;4;29.8789830208;2;22.0677337646;12.5;6;26.9512542486;
32;4;24.25;14.5;4;30.1288366318;2;21.5;13.4756269455;6;27.0107431412;
33;4;23.557975769;15.5;5;30.3786706924;2;21.5;13.5053710938;6;27.0708494186;
34;4;22.557975769;14.5;5;30.6272368431;2;22.1212539673;12.5;6;27.1315076351;
35;4;23.25;14.5;4;30.8733024597;2;21.5;13.5;6;27.1926498413;
36;4;22.25;13.5;4;31.1156759262;2;22.1577949524;12.5;7;27.2542052269;
37;4;22.25;13.5;5;31.353228569;2;21.5;13.5;7;27.3161010742;
38;5;23.25;14.5;4;31.5849161148;2;22.1948299408;12.5;7;27.3782629967;
