Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.0;10.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;13.0;10.0;5;20.0;
3;1;11.0;10.0;6;20.0;1;13.0;10.0;6;20.0;
4;1;11.0;10.0;6;20.0;1;14.0;10.0;6;20.0;
5;1;12.0;10.0;6;20.0;1;15.0;10.0;6;20.0;
6;1;13.0;10.0;6;20.0;1;16.0;10.0;6;20.3999996185;
7;1;14.0;10.0;6;20.3999996185;2;17.6000003815;10.1999998093;5;21.7264003754;
8;1;14.1800003052;10.1999998093;6;20.7264003754;2;18.0358409882;10.3632001877;5;22.8594274521;
9;2;14.7768793106;10.3632001877;5;22.8194274902;2;18.7156562805;10.9097137451;5;23.8127875328;
10;2;15.2687425613;10.9097137451;5;23.7716035843;2;20.7156562805;11.3658018112;5;24.5981152058;
11;2;17.268743515;11.3658018112;5;24.5557456017;2;22.7156562805;11.7372808456;5;25.2345055342;
12;2;19.268743515;11.7372808456;5;25.1909515858;2;23.7919197083;12.0336990356;5;25.7443674803;
13;2;20.3243408203;12.0336990356;5;25.6996334791;2;24.4466209412;12.2662630081;5;26.1502821445;
14;2;20.5648345947;12.2662630081;5;26.10437572;2;24.6901683807;12.446267128;5;26.3048160076;
15;2;20.746969223;12.446267128;5;26.2577478886;2;24.7828903198;12.5;5;26.3530313969;
16;2;20.8159866333;12.5;4;26.3048160076;2;26.7473392487;12.5;5;26.4023760557;
17;2;22.7888088226;12.5;4;26.3530313969;2;27.7769451141;12.5;5;26.4528282881;
18;2;23.8105049133;12.5;4;26.4023760557;2;28.8072166443;12.5;6;26.5043625832;
19;2;24.8327102661;12.5;4;26.4528282881;2;28.9355201721;12.9513092041;6;26.5569496155;
20;2;25.8554134369;12.5;4;26.5043625832;2;29.0;12.9670848846;5;26.6105561256;
21;2;25.9269638062;12.5;6;26.5569496155;2;29.0;13.3052778244;5;26.6651450396;
22;2;25.9506263733;12.5;6;26.6105561256;2;29.0;13.332572937;4;26.72067523;
23;2;25.9747505188;12.5;6;26.6651450396;2;29.0;13.3603372574;4;26.7771017551;
24;2;25.9993152618;12.5;5;26.72067523;2;29.0;13.3885507584;5;26.8343759775;
25;2;26.0243034363;12.5;4;26.7771017551;3;29.0;13.4171876907;4;26.8924454451;
26;2;26.0496959686;12.5;5;26.8343759775;3;29.0;13.4462223053;4;26.9512542486;
27;2;26.0754699707;12.5;5;26.8924454451;3;30.0;12.5;4;27.0107431412;
28;2;26.101600647;12.5;6;26.9512542486;3;30.206445694;12.5;4;27.0708494186;
29;2;26.1280651093;12.5;6;27.0107431412;3;30.2425098419;12.5;4;27.1315076351;
30;2;25.25;13.3042974472;6;27.0708494186;3;30.2789039612;12.5;4;27.1926498413;
31;2;25.25;13.3283395767;7;27.1315076351;3;30.3155899048;12.5;4;27.2542052269;
32;2;25.25;13.3526029587;6;27.1926498413;3;30.3525238037;12.5;4;27.3161010742;
33;2;25.25;13.3770599365;6;27.2542052269;3;30.3896598816;14.5;4;27.3782629967;
34;2;25.25;13.4016819;6;27.3161010742;3;30.4269580841;16.5;4;27.4406147003;
35;2;25.25;13.426440239;6;27.3782629967;3;30.4643688202;18.5;4;27.5030794144;
36;2;25.25;13.4513053894;6;27.4406147003;3;30.5018482208;20.5;4;27.5655794144;
37;2;26.25;15.4513053894;6;27.5030794144;3;30.5393486023;22.5;5;27.628036499;
38;2;26.3763847351;17.4513053894;7;27.5655794144;3;30.5768222809;22.5;5;27.690372467;
39;2;26.404510498;19.4513053894;7;27.628036499;3;30.6142234802;22.5;6;27.7525100708;
40;2;26.4326171875;21.4513053894;7;27.690372467;3;31.651506424;23.5;5;28.8143725395;
41;2;26.4606666565;22.5;7;27.7525100708;3;32.688621521;24.5;5;28.9158842564;
42;2;26.4886302948;22.5;7;27.8143725395;4;33.3495330811;25.5;5;29.0181553364;
43;2;26.5164680481;22.5;7;27.8758842945;4;32.7621841431;26.5;5;29.1211154461;
44;2;26.5441474915;22.5;7;27.936971426;4;33.4726676941;27.5;6;29.224693656;
45;2;26.5716362;22.5;7;27.9975619316;5;31.7002639771;28.5;5;29.3288186789;
46;2;25.25;23.5;6;28.0575861931;5;31.727104187;29.0584888458;5;29.4334185123;
47;2;25.25;23.723033905;4;28.1169772148;5;31.7546482086;29.0878353119;5;29.5384213924;
48;2;25.25;23.7467918396;5;28.1756706238;5;31.7828903198;29.1168022156;5;29.6437549591;
49;2;25.25;23.7702674866;5;28.2336053848;5;31.8118190765;29.145362854;5;29.7493470907;
50;2;25.25;23.7934417725;5;28.2907235622;5;31.841424942;29.1734848022;5;29.8551257849;
51;2;25.25;23.8162899017;6;28.346971035;5;31.8716964722;29.2011489868;5;30.9610185623;
52;3;26.25;24.8387889862;5;29.4022974968;5;32.9026184082;30.2283287048;5;33.2461739779;
53;3;27.25;25.8609199524;5;29.5466560125;5;36.5522232056;31.0;6;34.3600537777;
54;3;27.25;25.5;7;29.6971230507;5;39.0717658997;33.3899993896;6;35.2982802391;
55;3;27.25;26.5;7;29.8540414572;6;39.7761497498;35.6872596741;6;36.0966848135;
56;3;27.25;27.5;7;30.0177445412;6;36.9858932495;39.8369216919;6;36.6402285099;
