Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;6;17.25;1;8.0;10.0;5;20.0;
5;1;12.8999996185;8.625;6;17.25;1;8.0;10.0;5;20.0;
6;1;13.8999996185;8.625;6;17.25;1;9.0;10.0;5;20.0;
7;1;14.8999996185;8.625;6;17.5949993134;1;9.5;10.0;5;20.0;
8;1;15.5569992065;8.79749965668;6;17.8861961365;1;9.5;10.0;5;20.3999996185;
9;2;16.3317184448;8.94309806824;5;19.6667137146;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.8000278473;9.3333568573;5;20.4405961037;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;18.8000278473;9.6677980423;5;21.1189774275;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;20.8000278473;9.94955635071;5;21.7121870518;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;22.007188797;10.1834592819;5;22.2323212624;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;22.3393936157;10.3752222061;5;22.6919423342;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;22.6151657104;10.5308046341;5;23.0412415266;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;22.8247451782;10.625;5;23.2151488066;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;22.9290885925;10.625;8;23.4025228024;1;15.7228336334;12.4808797836;5;25.0;
18;3;23.041513443;10.625;5;28.3439600468;1;16.7228336334;12.5;4;25.0;
19;3;24.1622371674;10.625;5;28.99817276;1;17.625;12.5;5;25.0;
20;3;25.2914047241;10.625;5;29.6844563484;1;17.625;12.5;6;25.0;
21;3;26.4290676117;10.625;5;30.3993601799;1;17.625;12.5;7;25.0;
22;3;27.4073944092;10.625;5;31.1386828423;1;17.625;12.5;6;25.0;
23;3;27.7063770294;10.625;5;31.897560358;1;17.625;12.5;6;25.0;
24;3;28.015209198;10.625;5;32.6705925465;1;17.625;12.5;6;25.0;
25;3;28.3320484161;10.625;5;33.4520044327;1;17.625;12.5;6;25.0;
26;3;30.6548614502;10.625;6;34.2358312607;2;17.625;12.5;5;25.0;
27;3;31.9814929962;10.625;6;35.0161085129;2;17.625;12.5;6;25.0;
28;3;33.309715271;10.625;6;35.787062645;2;17.625;12.5;6;25.0;
29;3;34.6372833252;10.625;6;36.5432767868;2;17.625;12.5;7;25.0;
30;3;30.7662773132;12.625;6;37.279835701;2;15.625;13.5;7;25.0;
31;3;30.8883972168;12.625;6;37.9924240112;2;14.625;14.5;6;25.0;
32;3;28.9506568909;14.625;6;38.6773972511;2;13.625;15.5;6;25.0;
33;3;30.0572757721;13.8265724182;6;39.3318095207;2;12.625;16.5;6;25.0;
34;3;31.1556930542;16.8265724182;6;39.9534144402;2;12.0;17.5;7;25.0;
35;3;32.2458648682;19.8265724182;6;40.5406327248;2;12.0;18.5;7;25.0;
36;3;32.3279151917;22.8265724182;6;41.0925068855;2;12.0;19.5;7;25.0;
37;3;32.4021072388;25.8265724182;5;41.6086425781;2;12.0;20.5;8;25.0;
38;3;32.4688072205;28.8265724182;6;42.0891399384;2;12.0;21.5;8;25.0;
39;3;32.5284576416;29.7471427917;6;42.034526825;2;12.0;22.5;8;25.0;
40;3;32.5815505981;29.6313476562;5;41.9708127975;2;12.0;23.5;8;25.0;
41;4;32.6286087036;29.5210609436;5;42.3310461044;2;13.0;21.5;8;25.0;
42;4;32.6500015259;29.6655235291;4;42.6073331833;2;14.0;20.5;10;25.0;
43;4;32.6500015259;29.8036670685;4;42.8699760437;2;15.0;19.5;10;25.0;
44;4;32.6500015259;29.9349880219;5;43.1182336807;2;16.0;18.5;10;25.0;
45;4;32.6500015259;30.0591163635;5;43.3516244888;2;17.0;17.5;10;25.0;
46;4;32.6500015259;30.1758117676;5;43.5699157715;2;17.625;16.5;10;25.0;
47;4;32.6500015259;30.2849578857;5;43.7730979919;2;17.625;15.5;11;25.0;
48;4;32.6500015259;30.386548996;5;43.9613599777;2;17.625;14.5;11;25.0;
49;4;32.6500015259;30.4806804657;6;44.135061264;2;17.625;13.5;11;25.0;
50;4;32.6500015259;30.5675315857;6;44.2946987152;2;17.625;12.5;11;25.0;
51;4;32.6500015259;30.6473503113;7;44.4408788681;2;17.625;12.5;10;25.0;
52;4;32.6500015259;30.7204399109;7;45.5742902756;2;17.625;12.5;11;25.0;
53;4;33.6500015259;31.7871456146;8;46.9674134254;2;17.625;12.5;12;25.0;
54;4;35.2061271667;33.3237075806;8;48.1665287018;2;17.625;13.5;12;25.0;
55;4;35.6659851074;34.7764205933;9;49.1915053129;2;17.625;14.5;11;25.0;
56;4;36.0405807495;36.1541061401;9;50.0646400452;2;17.625;15.5;12;25.0;
57;4;36.3421478271;37.4667282104;10;50.7787729502;2;17.625;16.5;13;25.0;
58;5;36.5739555359;38.3893890381;8;51.0709141493;2;17.625;17.5;13;25.0;
59;5;36.6000022888;38.5354614258;8;51.3052601814;2;17.625;17.5;13;25.0;
60;5;36.6000022888;38.6526298523;8;51.5265113115;2;17.625;17.5;14;25.0;
61;5;36.6000022888;38.763256073;9;51.6513283253;2;17.625;17.5;14;25.0;
62;5;36.6000022888;38.8256645203;11;51.7396525145;2;17.625;17.5;14;25.0;
63;5;36.6000022888;38.8698272705;11;51.8311642408;2;17.625;17.5;15;25.0;
64;5;36.6000022888;39.8698272705;12;51.9258141518;2;17.625;17.5;15;25.0;
65;5;36.6000022888;40.8698272705;12;52.0235335827;2;17.625;17.5;15;25.0;
66;5;36.6000022888;41.8698272705;13;52.1242339611;2;17.625;17.5;15;25.0;
67;5;36.6000022888;42.8698272705;13;52.2278065681;2;17.625;17.5;15;25.0;
68;5;36.6000022888;43.8698272705;14;52.3341217041;2;17.625;17.5;15;25.0;
69;5;36.6000022888;44.1670608521;13;52.4430289268;2;17.625;17.5;15;25.0;
70;5;36.6000022888;42.1670608521;14;52.5543570518;2;17.625;17.5;15;25.0;
71;5;36.6000022888;43.1670608521;15;52.667914629;2;17.625;17.5;15;25.0;
72;5;36.6000022888;44.1670608521;16;52.7834908962;2;17.625;17.5;15;25.0;
73;5;36.6000022888;44.391746521;16;52.9008569717;2;17.625;17.5;16;25.0;
74;5;36.6000022888;44.450428009;18;53.0197672844;2;17.625;17.5;14;25.0;
75;5;36.6000022888;44.5098838806;18;53.1399610043;2;17.625;17.5;14;25.0;
76;5;36.6000022888;44.5699806213;18;53.2611646652;2;17.625;17.5;13;25.0;
77;5;36.6000022888;44.6305847168;19;53.3830943108;2;17.625;17.5;15;25.0;
78;5;36.6000022888;44.6915473938;19;53.5054576397;3;17.625;17.5;13;25.0;
79;5;36.6000022888;44.7527313232;20;53.6279573441;3;17.625;17.5;13;25.0;
80;6;36.6000022888;44.8139801025;16;61.0002937317;3;17.625;17.5;12;25.0;
81;7;37.6000022888;45.8751449585;16;61.3215425014;3;17.625;17.5;12;25.0;
82;7;38.6000022888;46.9360847473;16;61.63266325;3;17.625;17.5;13;25.0;
83;7;39.6000022888;47.9966430664;17;61.9330663681;3;17.625;17.5;14;25.0;
84;8;38.6000022888;50.0566749573;16;62.2222967148;3;17.625;17.5;14;25.0;
85;8;38.6000022888;54.9624633789;16;62.500023365;3;17.625;17.5;14;25.0;
86;8;39.6000022888;54.0444602966;17;62.7660360336;3;17.625;17.5;14;25.0;
87;8;38.6000022888;56.1251602173;17;64.0202331543;3;17.625;17.5;15;26.0;
88;8;39.6000022888;59.2043991089;17;64.4026089907;3;17.8500003815;18.0;15;26.7800006866;
89;8;41.6000022888;59.2820205688;18;66.1112488508;3;18.0255012512;18.3899993896;15;27.3745174408;
90;9;40.2088851929;62.3578796387;18;68.5932433605;3;18.1592674255;18.6872596741;16;27.8194847107;
91;9;40.2428970337;66.431854248;18;69.9782552719;3;18.2593841553;18.9097423553;15;28.0;
92;9;40.274356842;70.5038299561;19;71.2007218599;4;18.2999992371;19.0;14;28.0;
93;9;40.3000030518;70.57371521;20;72.1426486969;4;18.2999992371;19.0;14;28.0;
94;9;38.3000030518;73.6414260864;21;72.8420358896;4;18.2999992371;19.0;11;28.0;
95;9;37.3000030518;76.7069015503;20;73.977823019;4;18.2999992371;19.0;11;28.0;
96;9;37.3000030518;75.9924926758;21;75.1470448971;4;18.2999992371;19.0;11;28.0;
97;9;35.9000015259;78.2838058472;22;76.2536299229;4;18.2999992371;19.0;11;28.0;
98;10;35.9000015259;80.5785446167;21;77.4375443459;4;18.2999992371;19.0;13;28.0;
99;11;36.9000015259;79.8742828369;20;79.6986255646;4;18.2999992371;19.0;13;28.0;
100;11;36.9000015259;83.1685256958;20;82.0954518318;4;16.2999992371;20.0;13;28.0;
101;11;38.9000015259;87.4588165283;21;83.6280174255;4;15.2999992371;21.0;13;28.0;
102;11;40.9000015259;88.742767334;22;85.2345393896;4;14.2999992371;22.0;14;28.0;
103;11;39.9000015259;93.0181884766;21;86.9081953764;4;13.2999992371;23.0;14;28.0;
104;11;40.9000015259;94.2831420898;22;88.6397801638;4;12.2999992371;24.0;15;29.0;
105;11;40.9000015259;95.4671783447;22;90.4175810814;4;13.0;26.0;14;29.0399999619;
106;10;30.2000007629;93.7593917847;23;83.227425456;5;14.0;28.0;12;38.0811839104;
107;10;32.2000007629;93.0394439697;24;85.052942872;5;15.0;31.0;12;38.1235535145;
108;10;32.2000007629;96.3067245483;25;86.1288579702;5;16.0;34.0;12;38.1671074629;
109;10;31.2000007629;95.5609359741;25;87.2151700258;5;17.0;37.0;12;38.211841464;
110;10;31.2000007629;96.8020706177;25;88.2953317165;5;18.0;39.6059188843;12;38.2577478886;
111;10;31.2000007629;96.7485351562;30;89.3549398184;5;19.0;41.6288757324;15;39.3048160076;
112;10;32.2000007629;99.1799468994;30;90.3820154667;6;21.0;43.6524085999;10;39.4330314398;
113;10;31.2000007629;99.7982788086;30;91.3671507835;6;24.0;42.6765136719;10;39.5679121017;
114;10;31.2000007629;100.059547424;31;92.3035061359;6;24.0;44.7011871338;9;39.7096778154;
115;11;32.2000007629;101.312515259;31;102.186674595;5;16.0;41.7264137268;10;30.8585318327;
116;11;34.2000007629;104.557914734;31;102.939522266;5;16.6431694031;43.0;10;31.0146563053;
117;11;34.2000007629;106.744010925;31;103.599847794;5;16.6782989502;44.0;12;31.1782072783;
118;11;35.2000007629;108.898170471;33;104.218188047;6;16.71509552;45.0;11;31.3493094444;
119;11;37.2000007629;112.055587769;33;104.795659065;6;17.0;45.0;12;31.5280503035;
120;11;39.2000007629;115.21598053;34;105.33425498;6;18.0;46.0;12;31.7144745588;
121;11;42.2000007629;114.379043579;34;105.83654356;6;19.0;47.0;12;31.9085782766;
122;11;42.2000007629;116.544441223;35;106.305422068;6;20.0;48.0;14;32.1103028059;
123;12;43.2000007629;118.71181488;35;106.577635527;6;21.0;49.0;14;32.319529891;
124;12;43.2000007629;119.88079071;35;106.72811842;6;22.0;49.9756278992;13;32.5360763073;
125;12;42.9000015259;121.050979614;35;106.889024973;6;22.2999992371;49.2680358887;11;32.7596895695;
126;12;43.9000015259;120.221984863;34;107.058840513;6;22.2999992371;48.3798446655;12;32.9900448322;
127;12;47.9000015259;117.307640076;36;107.236134529;6;22.2999992371;47.4950218201;12;33.2267429829;
128;12;52.9000015259;116.939575195;37;107.419557333;6;22.2999992371;46.6133728027;13;33.4693095684;
129;12;57.707321167;117.825210571;38;108.607836485;6;22.2999992371;45.7346534729;12;33.7171957493;
130;12;62.7951316833;118.910522461;39;108.867279887;6;22.2999992371;44.8585968018;13;33.9697816372;
131;12;67.3821792603;119.995300293;40;109.133105993;6;22.2999992371;43.9848899841;13;34.2263798714;
132;12;71.4682617188;121.079345703;40;109.404392123;6;22.2999992371;43.1131896973;13;34.486243248;
133;13;74.8887329102;122.162460327;42;109.680279016;6;22.2999992371;42.2431221008;14;34.7485718727;
134;14;73.5531921387;124.24446106;41;109.959971666;6;22.2999992371;42.3742866516;13;35.012524128;
135;14;74.5531921387;126.387390137;41;110.242735386;6;22.2999992371;42.5062637329;13;35.2772264481;
136;14;76.4000015259;128.457901001;43;110.52788806;6;22.2999992371;42.6386108398;14;35.541788578;
137;14;77.7036209106;129.885559082;43;110.81480515;6;22.2999992371;42.7708930969;13;35.805314064;
138;14;78.6932601929;131.028320312;43;111.102906585;6;22.2999992371;42.9026565552;14;36.0669157505;
139;14;79.6839370728;132.167907715;44;112.391662121;6;22.2999992371;43.0334587097;14;36.3257277012;
140;14;81.6755371094;134.304046631;44;113.740579724;6;22.2999992371;43.1628646851;14;36.5809192657;
141;14;84.6679840088;136.814605713;45;114.152168751;6;22.2999992371;43.2904586792;14;36.8317070007;
142;14;86.6611862183;139.02281189;45;114.569038749;6;20.2999992371;46.1821937561;15;37.0773639679;
143;14;87.6550674438;141.229919434;47;114.990925908;6;19.2999992371;47.3541564941;17;37.3172302246;
144;14;88.649559021;143.435684204;47;115.417567372;6;18.2999992371;48.5220603943;18;37.5507178307;
145;14;89.6446075439;145.639923096;50;115.848700285;6;17.2999992371;49.6855010986;17;37.7773168087;
146;14;90.6401443481;158.639785767;50;116.284053445;6;16.2999992371;50.8441238403;17;37.9965987206;
147;14;93.6361312866;159.783737183;51;116.723340392;6;16.0;51.9976196289;19;38.2082161903;
148;14;93.6325149536;164.781265259;52;117.166253686;7;16.0;53.1457519531;19;38.4119019508;
149;14;92.6325149536;170.779052734;54;117.612462878;7;16.0;54.2883300781;19;38.6074676514;
150;14;94.6325149536;166.779052734;55;118.061604261;7;16.0;55.4252281189;19;38.7947983742;
151;14;92.6237030029;173.394744873;58;118.464873672;7;16.0;56.5563583374;21;38.9738483429;
152;14;93.6213302612;179.857879639;58;118.812695026;7;16.0;57.6816940308;21;39.1446342468;
153;14;94.6192016602;183.163757324;59;119.155975103;7;16.0;58.8012466431;21;39.3072297573;
154;14;95.6172790527;183.565002441;61;119.506234407;7;16.0;59.9150619507;22;39.4617576599;
155;14;96.6155548096;183.974136353;61;119.862742901;7;16.0;61.0232315063;25;39.6083836555;
156;14;97.0349884033;184.390396118;61;120.224732876;7;16.0;62.125869751;25;39.7473096848;
157;14;96.0328979492;183.812896729;62;120.591396332;7;16.0;63.2231178284;26;39.8787660599;
158;14;96.0310058594;184.24079895;69;120.961895704;7;16.0;64.3151397705;27;39.9396123886;
159;14;97.0255050659;185.673110962;67;121.335369587;7;16.0;65.3577270508;27;39.9813876152;
160;14;95.023979187;194.037872314;65;121.71093297;7;16.0;66.38697052;27;40.0;
161;14;97.0225982666;192.363555908;66;122.087693691;7;16.0;67.4000015259;28;40.0;
162;14;96.0225982666;188.694488525;67;122.464753389;7;16.0;68.4000015259;27;40.0;
163;14;95.0225982666;194.028289795;68;122.841217279;7;16.0;69.4000015259;28;40.0;
164;14;97.0192337036;192.365905762;68;123.216200829;7;16.0;70.4000015259;27;40.0;
165;14;96.0192337036;189.706359863;60;123.588835478;7;16.0;71.4000015259;28;40.9200000763;
166;15;95.0192337036;195.047637939;60;123.958278418;7;16.0;73.0439987183;29;41.8436164856;
167;15;96.016784668;196.390106201;60;124.32371521;7;16.0;74.6905288696;29;42.759645462;
168;15;97.01612854;191.732574463;60;124.684367418;7;16.0;76.3317565918;29;43.657125473;
169;15;94.0155334473;196.074157715;62;125.039500952;7;16.0;77.9599914551;29;44.5259280205;
170;15;97.0149993896;196.414001465;64;126.326265335;7;16.0;79.568145752;31;47.3572659492;
171;15;97.0145187378;192.722259521;65;127.609200001;7;19.0;80.1500854492;31;48.2440743446;
172;15;94.0140914917;195.722045898;66;129.881998062;7;20.0;83.7008514404;31;49.0853586197;
173;15;92.0137023926;202.721893311;68;131.348511696;7;20.0;87.2168502808;35;49.8780013323;
174;15;97.0133514404;200.571716309;67;137.001089573;7;22.0;85.3501358032;35;50.620703578;
175;15;97.0133514404;206.411468506;68;140.464151859;7;22.0;87.4802322388;36;51.313750267;
176;15;97.0133514404;210.709075928;68;143.675451279;7;23.0;89.6067352295;29;51.9587060213;
177;17;96.0133514404;217.935394287;62;146.603824377;7;22.0;90.7292709351;27;52.5580890179;
178;17;96.3102035522;221.070281982;59;149.173897266;7;20.0;93.5474090576;26;53.1150554419;
179;20;94.3102035522;227.070281982;54;170.120470405;4;14.0;60.250328064;25;34.8188347816;
180;21;101.310203552;224.070281982;53;179.767069697;3;13.0;46.0;26;28.0;
181;21;103.310203552;232.070281982;54;182.299674392;3;12.0;47.0;26;28.0;
182;21;106.310203552;237.070281982;53;184.657087803;3;12.0;48.0;20;28.0;
183;21;107.310203552;243.070281982;56;188.003634334;3;13.0;46.0;21;28.0;
184;21;109.310203552;247.070281982;60;191.413316369;4;12.0;47.0;20;28.0;
185;21;113.310203552;250.070281982;64;199.290654302;4;12.0;48.0;20;28.0;
186;21;114.310203552;259.610290527;65;206.660918713;4;13.0;46.0;20;28.0;
187;21;116.310203552;269.020263672;67;213.53332901;4;12.0;47.0;21;28.0;
188;21;117.067741394;281.323730469;68;219.919517994;4;12.0;48.0;21;28.0;
189;21;118.552383423;292.544006348;69;225.566374063;4;13.0;46.0;21;28.0;
190;21;122.610198975;295.570281982;70;230.784068465;4;12.0;47.0;20;29.0;
191;21;122.610198975;301.570281982;72;233.664483309;4;13.0;49.0;21;29.0599999428;
192;22;123.280197144;307.420288086;66;242.869777203;4;15.0;48.0;21;29.1229639053;
193;23;122.350418091;319.513885498;66;250.790616274;4;14.0;50.0;21;29.1889609098;
194;23;123.9112854;327.828033447;66;257.80200696;4;14.0;52.0;22;29.2580518723;
195;23;126.296173096;345.6902771;68;264.186514378;4;15.0;51.0;22;29.3302885294;
196;23;129.637619019;352.852233887;71;269.971171856;5;14.0;52.0;21;29.4057120085;
197;23;132.939025879;358.660491943;75;275.040504932;5;14.0;53.0;21;29.484351635;
198;23;136.203964233;365.6980896;79;279.506895781;5;15.0;51.0;21;29.5662232637;
199;23;139.399993896;373.118255615;82;284.215624809;5;14.0;52.0;22;29.6513283253;
200;23;144.399993896;383.291381836;83;288.454898953;5;14.0;53.0;22;29.7396525145;
201;23;149.399993896;396.069061279;81;291.454251766;5;15.0;51.0;20;29.8311642408;
202;23;152.399993896;405.260528564;83;299.161891818;5;14.0;52.0;20;29.9258141518;
203;23;157.248001099;413.421234131;85;305.65954411;5;14.0;53.0;20;30.0235335827;
204;25;163.665786743;420.525604248;81;314.074262261;3;13.0;46.0;20;28.0;
205;25;169.194137573;430.771362305;80;318.672366023;3;12.0;47.0;19;28.0;
206;26;170.350067139;440.064361572;81;322.345091701;3;12.0;48.0;18;28.0;
207;26;170.687347412;448.934539795;83;325.864695907;3;13.0;46.0;17;28.0;
208;26;170.900009155;453.627685547;82;349.348071456;3;12.0;47.0;11;28.0;
209;26;177.621002197;471.939880371;83;370.183381319;3;12.0;48.0;11;28.0;
210;26;182.812179565;489.801177979;89;388.372107983;3;13.0;46.0;11;28.0;
211;29;186.692199707;506.377349854;89;404.210052729;3;12.0;47.0;12;28.0;
212;29;189.540817261;520.851501465;91;418.711868286;3;12.0;48.0;13;28.0;
213;29;194.237640381;536.287719727;93;430.409049153;3;13.0;46.0;13;28.0;
214;29;195.287841797;552.062194824;93;440.651322603;3;12.0;47.0;12;28.0;
215;29;196.101867676;567.28314209;95;449.378403425;3;12.0;48.0;12;28.0;
216;31;240.721420288;575.412414551;94;456.95888865;1;13.0;46.0;10;28.0;
