Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;2;8.0;12.3000001907;5;24.0;1;11.8999996185;8.625;5;17.25;
4;2;9.19999980927;11.5;5;24.1499999762;1;11.8999996185;8.625;6;17.25;
5;2;9.82999992371;11.5;5;24.320775032;1;12.8999996185;8.625;6;17.25;
6;2;10.9962329865;11.5;5;24.5146545172;1;13.8999996185;8.625;6;17.25;
7;2;12.0543966293;11.5;5;24.7340574265;1;14.8999996185;8.625;6;17.5949993134;
8;2;12.4202165604;11.5;5;25.4587767124;1;15.5569992065;8.79749965668;6;17.8861961365;
9;2;12.6376333237;11.7299995422;5;26.1199021339;1;15.7317180634;8.94309806824;6;18.6667137146;
10;2;12.8359708786;11.9106416702;5;27.7834124565;1;16.2000274658;9.3333568573;6;19.3355960846;
11;2;13.3350229263;12.5274600983;5;29.2703847885;1;17.2000274658;9.6677980423;6;19.8991127014;
12;2;15.1144943237;13.0216779709;5;30.6139338017;1;18.2000274658;9.94955635071;6;20.3669185638;
13;2;17.1144943237;13.4066829681;5;31.8539195061;1;19.2000274658;10.1834592819;6;20.7504444122;
14;2;19.1144943237;13.6998376846;5;33.0293922424;1;19.4502677917;10.3752222061;6;21.0616092682;
15;2;20.703754425;13.9190797806;5;34.0119028091;2;20.6369667053;10.5308046341;5;22.25;
16;2;21.9499549866;14.0;5;34.9129724503;2;21.75;10.8249998093;5;22.2699999809;
17;2;23.2202758789;14.0;5;35.8868045807;2;22.3619995117;10.625;5;22.2901959419;
18;2;24.5124263763;14.0;5;36.9210166931;2;22.3741168976;10.625;7;22.3105818033;
19;2;25.0763053894;14.0;7;37.9985847473;3;22.3863487244;10.625;5;35.7187899351;
20;2;25.3995742798;14.0;7;39.0985708237;3;23.3986911774;10.625;5;36.6247742176;
21;2;25.7295703888;14.0;8;40.1974878311;3;23.75;10.9555692673;3;37.4631141424;
22;2;26.0592460632;14.0;8;41.2711734772;3;24.75;10.9618434906;3;38.2250800133;
23;2;24.0592460632;15.0;7;42.2968797684;3;25.75;10.9681663513;3;38.9062840939;
24;3;25.0592460632;14.0;6;43.2552165985;3;26.4490718842;11.625;3;39.5063102245;
25;3;24.0592460632;15.0;6;44.1315956116;3;27.4618988037;12.625;3;40.0280047655;
26;3;24.0592460632;16.0;6;44.9169464111;3;28.4748096466;13.625;3;40.4766045809;
27;3;23.4750823975;17.0;5;45.607673645;3;29.4877986908;14.625;5;40.8588626385;
28;3;22.6823005676;18.0;5;46.2049827576;3;29.5008602142;15.625;4;41.1822794676;
29;3;21.8614940643;19.0;5;46.7138156891;3;29.5139884949;16.625;4;41.4544887543;
30;3;21.0141448975;20.0;5;47.1416473389;3;29.5271816254;17.625;4;41.5673824549;
