Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;6;17.25;
5;1;9.60000038147;11.5;6;23.0;2;13.5;8.625;5;18.25;
6;1;10.6000003815;11.5;6;23.0;2;14.5;8.625;5;18.3250000477;
7;2;11.6000003815;11.6999998093;5;24.0;2;15.5450000763;8.625;5;18.7605681419;
8;2;12.1999998093;11.5;5;24.5824990273;2;16.2563400269;8.79749965668;5;19.1489084959;
9;2;12.3747501373;11.7299995422;5;25.0799144506;2;16.4893455505;8.94309806824;5;20.0586935282;
10;2;12.5239744186;11.9106416702;5;25.409558177;2;17.0352153778;9.3333568573;5;20.8682775497;
11;2;12.6228685379;12.0;5;26.8187435865;2;19.0352153778;9.6677980423;5;21.5845614672;
12;2;14.6320075989;12.6000003815;5;28.0131856203;2;21.0352153778;9.94955635071;5;22.2177865505;
13;2;16.6320075989;13.0788002014;5;29.0237898827;2;22.3105487823;10.1834592819;5;22.7799050808;
14;2;18.6320075989;13.4505519867;5;29.8882951736;2;22.6679439545;10.3752222061;5;23.2832708359;
15;2;19.8731536865;13.7328653336;5;30.644671917;2;22.9699630737;10.5308046341;5;23.6777949333;
16;2;20.9736480713;13.943564415;5;31.1296033859;2;23.2066764832;10.625;5;23.8980493546;
17;2;22.0852661133;14.0;6;31.5402197838;2;23.3388290405;10.625;5;24.1324534416;
18;2;23.2084503174;14.0;6;31.9901740551;2;23.479473114;10.625;5;24.3808503151;
19;2;23.5970516205;14.0;6;32.4793624878;2;23.6285095215;10.625;5;24.6428759098;
20;3;23.7438087463;14.0;5;33.006611824;2;23.7857246399;10.625;5;24.9179406166;
21;3;23.9019832611;14.0;6;33.569524765;2;25.9507637024;10.625;6;25.2052159309;
22;4;24.0708580017;14.0;5;34.1643762589;2;27.1231307983;10.625;6;25.5036282539;
23;4;22.3999996185;15.0;5;34.7860922813;2;28.3021774292;10.625;6;25.8118619919;
24;4;23.3999996185;14.0;5;35.4283218384;3;29.4871177673;10.625;5;26.128370285;
25;4;20.3999996185;16.0;5;36.0836248398;3;29.6770210266;10.625;5;26.4513978958;
26;4;20.3999996185;16.0;5;36.7437639236;3;29.8708381653;10.625;5;26.7790131569;
27;4;20.3999996185;17.0;5;38.4000911713;3;30.067407608;10.625;5;27.1091499329;
28;4;21.2200279236;18.5;5;39.0839891434;3;30.2654895782;10.625;5;27.4396557808;
29;4;21.4131965637;19.0;6;39.7485041618;3;30.4637947083;10.625;5;27.7683477402;
30;5;20.6001968384;20.5405921936;5;40.3863956928;3;30.6610088348;10.625;5;28.0930690765;
31;5;19.7788524628;21.0;5;40.9916456938;3;30.8558425903;10.625;5;28.4117460251;
