Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
94;5;27.6000003815;45.7848625183;32;45.0509998798;8;38.5500030518;54.5437736511;17;56.2239513397;
95;5;27.6000003815;48.7848625183;32;45.2457181215;9;36.5500030518;57.5678138733;16;56.3633975983;
96;5;27.6000003815;51.2827224731;33;45.4433678389;9;35.5500030518;61.2982254028;15;56.5058106184;
97;5;27.6000003815;52.3815460205;33;45.6436800957;9;34.5500030518;64.3316650391;15;57.6510994434;
98;5;27.6000003815;53.4817008972;35;45.8463760614;9;34.5500030518;68.3649597168;15;57.8591536283;
99;5;27.6000003815;54.5731887817;35;46.0511705875;9;35.5500030518;69.398109436;16;58.0728070736;
100;5;27.6000003815;54.6755867004;34;46.2577718496;9;33.5500030518;73.164894104;17;58.2919778824;
101;5;27.6000003815;54.7788848877;34;46.4658836126;9;32.5500030518;76.2721099854;17;58.5165560246;
102;5;27.6000003815;54.8829421997;36;46.6752061844;9;32.5500030518;76.3809509277;18;59.0540782213;
103;5;27.6000003815;54.9876022339;35;46.885437727;9;30.5500011444;79.6538162231;18;59.6291600466;
104;5;27.6000003815;55.0927200317;35;47.0962746143;9;29.5500011444;82.942276001;18;60.2428277731;
