Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;2;7.0;13.3000001907;5;24.0;1;11.8999996185;8.625;5;17.25;
3;2;8.19999980927;12.1000003815;5;24.1124999523;1;11.8999996185;8.625;5;17.25;
4;2;9.22249984741;11.5;5;24.2364046574;1;11.8999996185;8.625;4;17.25;
5;2;9.84728145599;11.5;5;24.3725773096;1;12.8999996185;8.625;4;17.25;
6;2;11.0117731094;11.5;5;24.5218783617;1;13.8999996185;8.625;4;17.25;
7;2;12.0565643311;11.5;5;24.6851472855;2;15.5;8.625;3;18.5949993134;
8;2;12.405544281;11.5;5;25.340031147;2;16.156999588;8.79749965668;3;19.0086960793;
9;2;12.6020097733;11.7299995422;5;25.9150743484;2;16.4052181244;8.94309806824;3;19.9590197802;
10;2;12.7745227814;11.9106416702;5;27.4451127052;2;16.9754104614;9.3333568573;3;20.8212013245;
11;2;13.2335338593;12.5274600983;5;28.7648246288;2;18.9754104614;9.6677980423;3;21.6040585041;
12;2;14.9628257751;13.0216779709;5;29.9030094147;2;20.9754104614;9.94955635071;3;22.3198496103;
13;2;16.9628257751;13.4066829681;5;30.8959269524;2;22.3717861176;10.1834592819;3;22.9825873375;
14;2;18.9628257751;13.6998376846;5;31.7803142071;2;23.53931427;10.3752222061;3;23.6066508293;
15;2;20.3290309906;13.9190797806;5;32.4273490906;2;24.7270526886;10.5308046341;4;24.1438384056;
16;2;21.4745903015;14.0;5;32.9507789612;2;25.9363307953;10.625;4;24.5303442478;
17;2;22.6316184998;14.0;6;33.510178566;2;27.1682338715;10.625;4;24.9557936192;
18;2;23.7994384766;14.0;6;34.1019620895;2;28.4235038757;10.625;4;25.4206562042;
19;2;24.230588913;14.0;6;34.7211914062;2;29.2523937225;10.625;4;25.9244441986;
20;3;24.4163570404;14.0;5;35.3616409302;2;29.5546665192;10.625;4;26.4655370712;
21;3;24.6084918976;14.0;6;36.0159702301;2;29.879322052;10.625;4;27.0410437584;
22;4;24.8047904968;14.0;5;36.6760072708;2;30.2246265411;10.625;4;27.6467266083;
23;4;25.0028018951;14.0;5;37.3331270218;2;30.5880355835;10.625;4;28.2770137787;
24;4;25.1999378204;14.0;5;37.9786872864;2;30.9662094116;10.625;5;28.9251141548;
25;4;25.3936061859;14.0;5;38.6044816971;2;31.3550682068;10.625;5;29.5832462311;
26;4;23.5813446045;15.0;5;39.2031593323;2;31.7499465942;10.625;6;30.2429685593;
27;4;22.5813446045;15.0;5;40.7685651779;2;32.1457824707;10.625;6;30.8955907822;
28;4;22.5813446045;15.0;5;41.3259661198;2;32.5373535156;10.625;6;31.5326251984;
29;4;23.5813446045;16.0;5;41.842744112;2;32.9195747375;10.625;6;32.1462278366;
30;4;21.5813446045;18.5302963257;5;42.3171851635;2;30.9195747375;11.625;6;32.7295866013;
31;4;20.5813446045;20.5458831787;5;42.748950243;2;29.9195747375;12.625;6;33.2772102356;
32;4;20.3999996185;22.5617580414;6;43.1388767958;2;28.9195747375;13.625;7;33.7850942612;
33;4;19.3999996185;24.577917099;6;43.4887405634;2;29.9195747375;15.625;8;34.2507610321;
34;4;19.0;26.5943546295;6;43.8010044098;2;30.9195747375;17.625;8;34.6731872559;
35;4;19.0;28.6110630035;6;44.0785849094;2;31.9195747375;18.625;8;35.0526351929;
36;5;19.0;30.6280384064;5;44.3246405125;2;32.9195747375;19.625;10;35.3904361725;
37;5;20.0;29.6452713013;6;45.542406559;2;33.9195747375;20.625;11;35.6887378693;
38;6;20.0;32.1627540588;5;45.6409591436;2;34.9195747375;20.625;11;35.950261116;
39;6;21.0;33.680480957;5;45.7074663639;2;35.5701560974;20.625;12;36.1780767441;
40;6;22.0;33.2287330627;5;45.7750039101;2;35.7068481445;20.625;12;36.3754148483;
41;6;22.0;32.2625045776;5;45.8435428143;3;35.8252487183;20.625;10;65.25;
42;6;22.3370552063;34.2625045776;6;46.9130518436;4;36.9000015259;21.625;9;67.2625007629;
43;6;24.4521656036;38.2625007629;6;47.0884974003;4;37.9000015259;22.625;9;68.7967796326;
44;6;26.4634361267;42.2625007629;8;47.2747080326;4;37.9000015259;23.625;10;69.9120597839;
45;6;27.8414535522;46.2625045776;8;47.4723197222;4;37.9000015259;24.625;10;70.6932144165;
46;7;28.8416976929;49.0;7;47.6819572449;4;37.9000015259;25.625;10;71.225528717;
47;7;28.5174255371;51.0;10;47.9042210579;4;37.9000015259;26.625;10;71.25;
48;7;28.9712638855;52.0;10;48.139670372;4;37.9000015259;27.625;9;71.25;
49;8;30.0419006348;50.0;9;58.3888046741;4;37.9000015259;28.625;6;74.421875;
50;8;32.1166419983;50.0;9;59.0520424843;4;38.9000015259;30.625;6;77.3763467073;
51;8;33.119884491;51.7166213989;10;59.7040995359;4;40.7212524414;33.0234375;6;79.6043063402;
52;9;34.8379020691;50.7350120544;9;61.3439006805;4;41.4135932922;35.3489723206;6;81.2387602329;
53;9;36.9144248962;51.0;10;62.0208973885;4;41.9891433716;37.6102333069;6;82.1245092154;
54;9;38.0384368896;52.9678153992;10;62.6869508028;4;42.4622039795;39.8168411255;7;82.8702738285;
55;9;39.9730873108;53.0;11;63.3422927856;4;42.8475418091;41.7071456909;8;83.2931512594;
56;9;40.5264625549;54.8104858398;13;63.987356782;4;43.0353012085;42.7838249207;8;83.6355766058;
57;9;41.0895347595;55.0;14;64.6226609945;4;43.1708488464;43.8420829773;9;83.8073750734;
58;10;41.1131782532;55.6349868774;13;65.2487010956;5;43.2000007629;44.9036865234;8;83.9373728037;
59;10;40.6156349182;55.6650238037;15;65.865865469;5;43.2000007629;45.9686851501;8;84.0742022991;
60;11;41.1606178284;55.6960792542;16;66.4743698835;6;44.2000007629;48.0371017456;8;85.2178573608;
61;11;40.6394920349;56.7281532288;16;69.3660085201;6;43.2000007629;50.0;9;85.3182756305;
