Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
86;9;27.6000003815;68.3116455078;18;48.6920964718;3;30.8575363159;37.0012817383;17;48.2591495514;
87;9;26.6000003815;70.4566726685;19;50.0851365328;3;30.8117828369;35.8386383057;17;48.2755541801;
88;9;27.0;73.6045837402;19;50.4842238426;3;30.7706031799;36.7947769165;17;48.303630352;
89;9;28.0;75.7551727295;19;50.8888524771;3;30.733543396;35.7553024292;17;48.3422615528;
90;9;28.0;77.9082183838;19;51.2984774113;3;30.7001914978;36.7197723389;17;48.3904035091;
91;9;28.0;80.0634918213;20;51.7125170231;3;30.6701698303;37.6362380981;18;48.4470777512;
92;9;28.0;82.220741272;21;52.1303552389;3;30.6431541443;37.6896133423;18;48.5113654137;
93;9;28.0;83.879699707;22;52.5513465405;3;30.6188392639;37.7469482422;18;48.5824010372;
94;9;28.0;85.0400695801;23;52.8554376364;3;30.5969543457;37.8077774048;17;48.6593618393;
95;9;29.0;83.2015686035;24;53.1675913334;3;30.5772590637;37.871635437;18;48.7414717674;
96;9;28.0;84.3638763428;25;53.4864172935;3;30.5595340729;37.9381065369;18;48.8279979229;
97;9;28.0;85.5266723633;26;53.8105872869;3;30.5435810089;38.0067672729;18;48.9182443619;
98;9;29.0;83.6896438599;26;54.1388353109;3;30.5292243958;38.0772209167;19;49.0115509033;
99;9;28.0;84.8524703979;26;54.4699556828;4;30.5163002014;38.1490936279;18;49.1072976589;
100;9;28.0;78.9932556152;26;54.8028024435;4;30.5046691895;38.2220153809;18;49.2049007416;
