Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;4;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;4;17.25;
6;1;10.6000003815;11.5;6;23.0;1;13.8999996185;8.625;4;17.25;
7;1;11.6000003815;11.5;6;23.0;1;14.8999996185;8.625;4;17.5949993134;
8;2;11.8999996185;11.6999998093;5;24.4599990845;2;16.156999588;8.79749965668;3;18.8861961365;
9;2;12.3380002975;11.7299995422;5;24.9812833071;2;16.3317184448;8.94309806824;3;19.9142136574;
10;2;12.4943847656;11.9106416702;5;25.3437439203;2;16.9485282898;9.3333568573;3;20.888764739;
11;2;12.6031236649;12.0;5;26.8078744411;2;18.9485282898;9.6677980423;3;21.8280990124;
12;2;14.6287469864;12.6000003815;5;28.0772749186;2;20.9485282898;9.94955635071;3;22.7554090023;
13;2;16.6287479401;13.0788002014;5;29.1870586872;2;22.6331214905;10.1834592819;3;23.6969223022;
14;2;18.6287479401;13.4505519867;5;30.1794800758;2;23.9679145813;10.3752222061;3;24.6799879074;
15;2;19.9605102539;13.7328653336;5;31.0971212387;2;25.371055603;10.5308046341;4;25.6691846848;
16;2;21.1093826294;13.943564415;5;31.7810502052;2;26.8515377045;10.625;4;26.6118326187;
17;2;22.2807006836;14.0;5;32.4321074486;2;28.4171257019;10.625;4;27.7050118446;
18;2;23.4760169983;14.0;5;33.1664142609;2;30.0730342865;10.625;4;28.9505057335;
19;2;23.949924469;14.0;7;33.9844427109;2;31.3703041077;10.625;4;30.3404083252;
20;2;24.1953315735;14.0;7;34.8830399513;2;32.204246521;10.625;4;31.8548336029;
21;2;24.4649124146;14.0;8;35.8547158241;2;33.1128997803;10.625;5;33.4609537125;
22;2;24.7564144135;14.0;8;36.8872404099;2;34.0765724182;10.625;5;35.114200592;
23;2;25.0661716461;14.0;8;37.9637308121;2;35.0685195923;10.625;5;36.7620716095;
24;2;25.3891181946;14.0;9;39.0633544922;2;36.0572433472;10.625;5;38.3501873016;
25;3;23.3891181946;15.0;8;40.1626806259;2;37.0101127625;10.625;5;39.8293209076;
26;3;24.3891181946;14.0;8;41.2375354767;2;37.8975906372;10.625;5;41.1615848541;
27;3;25.3891181946;14.0;8;42.2650947571;2;38.6969528198;10.625;5;42.3241062164;
28;3;26.3891181946;14.0;9;43.2258358002;2;39.3944625854;10.625;5;43.3095092773;
29;3;24.9677505493;15.0;9;44.1050014496;2;39.9857063293;10.625;5;44.1236133575;
30;3;24.2315006256;16.0;9;44.8933410645;2;40.4741668701;10.625;5;44.7815475464;
31;3;23.4680023193;17.0;9;45.5870933533;2;40.868927002;12.625;5;45.3035831451;
