Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
86;6;27.2000007629;44.6774864197;14;51.1220288277;10;34.4000015259;84.6344985962;12;61.2437307835;
87;6;27.2000007629;45.7847518921;15;51.4851572514;10;35.4000015259;83.7570343018;13;61.6153107882;
88;7;28.2000007629;47.8851776123;14;52.8349336386;11;34.4000015259;86.557472229;11;62.9286261797;
89;7;28.4600639343;47.8851776123;15;53.2061908245;11;34.4000015259;89.6573257446;11;63.0834671259;
90;7;28.4430007935;50.7172737122;16;53.6005045176;11;34.4000015259;92.7165679932;13;63.2549466491;
91;8;29.4749794006;52.8851776123;17;53.9985933304;11;34.4000015259;95.7759475708;15;63.4419139624;
92;8;29.2000007629;56.1012039185;17;54.4017047882;11;34.4000015259;98.117225647;15;63.6432828307;
93;8;30.2000007629;55.125328064;18;54.7328033447;11;34.4000015259;100.242958069;15;63.9350502491;
94;9;29.4982395172;52.221950531;16;55.0661129951;11;35.4000015259;102.370788574;18;65.0996368527;
95;9;28.2250003815;52.221950531;16;55.4151206017;11;36.4000015259;104.729263306;20;66.3072696328;
96;9;27.2250003815;52.221950531;16;55.7805221081;11;37.4000015259;105.111152649;20;67.5562650561;
97;9;26.2250003815;53.221950531;16;57.1628828049;11;36.4000015259;108.516586304;21;68.8446280956;
98;9;26.2250003815;56.0;16;57.5925878286;11;36.4000015259;111.945365906;21;71.1700103283;
99;9;26.2250003815;59.0;15;58.040382266;11;38.4000015259;113.041366577;21;72.6196680069;
100;9;26.0249996185;62.0;15;59.506129384;11;38.4000015259;116.57333374;23;74.1075296402;
