Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;4;20.0;1;13.0;10.0;4;20.0;
3;1;8.0;12.0;4;20.0;1;13.0;10.0;4;20.0;
4;1;8.0;11.0;4;20.0;1;14.0;10.0;4;20.0;
5;1;8.0;10.0;4;20.0;1;15.0;10.0;4;20.0;
6;1;9.0;10.0;4;20.0;1;16.0;10.0;4;20.3999996185;
7;1;9.5;10.0;4;20.0;1;17.0;10.1999998093;4;20.7264003754;
8;1;9.5;10.0;4;20.3999996185;2;18.0358409882;10.3632001877;3;22.8194274902;
9;1;9.59000015259;10.1999998093;4;20.7264003754;2;18.6916561127;10.9097137451;3;23.7616035938;
10;1;9.66343975067;10.3632001877;4;20.9903717041;2;20.6916561127;11.3658018112;3;24.5351526737;
11;1;9.72283363342;10.4951858521;4;22.0419120789;2;22.6916561127;11.7372808456;3;25.1591641903;
12;1;9.95943069458;11.0209560394;4;22.9143505096;2;23.7467155457;12.0336990356;3;25.6560432911;
13;1;11.7228336334;11.4571752548;4;23.6214065552;2;24.7657661438;12.2662630081;3;26.0483692884;
14;1;12.7228336334;11.8107032776;4;24.1832637787;2;25.78515625;12.446267128;3;26.1887089014;
15;1;13.7228336334;12.0916318893;4;24.6226100922;2;26.8048820496;12.5;4;26.2221269608;
16;1;14.7228336334;12.3113050461;4;24.9617595673;3;27.8249320984;12.5;3;26.2560760975;
17;1;15.7228336334;12.4808797836;6;25.0;3;28.0916557312;12.5;3;26.2905418873;
18;2;16.7228336334;12.5;5;25.0;3;29.7743244171;12.5;3;26.3255085945;
19;2;17.625;12.5;6;25.0;3;29.7953052521;12.5;3;26.3609591722;
20;2;17.625;12.5;6;25.0;3;29.816576004;12.5;3;26.3968753815;
21;2;17.625;12.5;6;25.0;3;29.8381252289;12.5;4;26.4332377911;
22;2;17.625;12.5;6;25.0;3;29.8599433899;12.5;4;26.4700255394;
23;2;17.625;12.5;8;25.0;3;29.8820152283;12.5;4;26.5072168112;
24;2;17.625;12.5;8;25.0;3;29.9043292999;12.5;4;26.5447884798;
25;2;17.625;12.5;8;25.0;3;29.9268722534;12.5;4;26.5827163458;
26;2;17.625;12.5;8;25.0;3;29.9496307373;12.5;4;26.6209751368;
27;2;17.625;12.5;8;25.0;3;29.9725856781;12.5;4;26.6595385075;
28;2;17.625;12.5;8;25.0;3;29.9957237244;12.5;4;26.6983793974;
29;2;17.625;12.5;8;25.0;3;30.01902771;12.5;4;26.7374696732;
30;2;17.625;12.5;8;25.0;3;29.0;13.3687343597;4;26.7767804861;
31;2;15.625;13.5;10;25.0;4;29.0;13.3883905411;4;26.8162822723;
32;2;14.625;14.5;10;25.0;4;29.0;12.5;5;26.8559447527;
33;2;13.625;15.5;10;25.0;4;30.0;14.5;5;26.8957372904;
34;2;12.625;16.5;10;25.0;4;30.1374416351;16.5;5;26.9356285334;
35;2;12.0;17.5;10;25.0;4;30.1613769531;18.5;5;26.9755871296;
36;2;12.0;18.5;11;25.0;4;30.1853523254;20.5;5;27.015581131;
37;2;12.0;19.5;11;25.0;4;29.0;22.5;5;27.0555787086;
38;3;12.0;20.5;8;35.0;4;29.0;23.5;5;27.0955479145;
39;3;13.0;21.5;8;35.3999996185;4;29.0;23.5477733612;5;27.135456562;
40;3;14.0;22.5;8;35.7743997574;4;29.0;23.5677280426;5;27.17527318;
41;3;15.0;23.5;8;36.1219387054;5;29.0;23.5876369476;5;28.2149660587;
42;3;16.0;24.5;8;36.4420347214;5;30.0;24.6074829102;5;28.3045039177;
43;3;17.0;25.5;8;36.7347183228;5;31.0;25.6272525787;5;28.3958311081;
44;3;17.5204162598;26.5;8;37.0005426407;5;31.6611843109;26.6469268799;6;28.4889425039;
45;3;17.6001625061;27.5;8;37.2404880524;6;31.6935691833;27.6664962769;5;28.58382833;
46;3;17.6721458435;28.5;8;37.4558610916;6;31.0;27.5;5;28.6804740429;
47;4;18.7367591858;30.2000007629;8;38.6481971741;6;31.0;29.1349868774;4;28.7788589001;
48;4;20.7944602966;28.2000007629;9;38.8491756916;6;31.0;29.3894290924;4;28.8789569139;
49;5;19.8457527161;29.2210006714;9;39.0311386585;6;31.0;29.4394779205;3;28.9807356596;
50;5;19.8911647797;30.2424144745;9;39.091766119;6;31.0;29.4903678894;3;30.0841554403;
51;5;20.8999996185;27.5;9;39.1235172749;6;32.0;30.5420799255;3;30.2791697979;
52;5;21.8999996185;28.5;9;39.1558350325;6;33.0;31.5945854187;4;31.4828436375;
53;5;22.8999996185;29.5;10;39.1887089014;7;34.0;33.6478614807;3;32.8435403109;
54;5;23.8999996185;30.5;10;39.2221269608;7;35.5999984741;34.8913345337;3;34.00368011;
55;5;24.8999996185;31.5;10;40.2560760975;7;36.0680007935;38.345664978;4;34.9983609915;
56;5;26.5249996185;33.5;11;40.3305418491;7;36.4247131348;40.1212692261;6;35.8640110493;
57;5;27.5249996185;33.5;11;40.4066925049;7;36.6916885376;41.4456443787;6;36.4861104488;
58;5;28.5249996185;33.5;12;40.4845126867;7;36.7999992371;42.3061141968;6;36.9488457441;
59;5;29.5249996185;33.5;12;40.5639828444;7;36.7999992371;42.4519767761;7;37.4328250885;
60;5;30.5249996185;33.5;11;40.6450792551;7;37.7999992371;42.9498596191;7;37.9379612207;
61;6;30.888551712;32.5;9;40.727773428;7;38.6741065979;44.9498596191;7;38.463963747;
62;7;30.9023246765;32.5;9;40.8120328188;7;39.709274292;46.9498596191;8;39.0103172064;
63;7;30.9164447784;32.5;9;40.8978198767;7;40.4548873901;48.9498596191;10;39.5762628317;
64;7;30.9309082031;32.5;9;40.9850924015;7;40.6285171509;50.9498596191;12;40.1607842445;
65;7;30.9457130432;32.5;9;41.0738034248;7;40.808681488;51.7398223877;13;40.7625968456;
66;7;30.9608478546;32.5;9;41.1639010906;7;40.9950065613;51.8854598999;12;41.3801450729;
67;7;30.9763088226;32.5;9;41.2553290129;7;41.1870155334;52.0342254639;12;42.0116074085;
68;7;30.9920845032;32.5;9;41.3480257988;7;41.3841018677;52.1857185364;12;42.6549081802;
69;7;31.0081672668;32.5;9;42.4419255257;7;41.5855560303;52.3394927979;13;43.3077411652;
70;7;32.0245437622;33.5;7;42.5669574738;7;41.7905540466;52.4950752258;12;43.9675981998;
71;7;33.0412025452;34.5;7;42.6936374903;7;41.9981842041;52.6519813538;13;44.6318104267;
72;7;33.0581283569;35.5;7;44.0718793869;7;42.2074508667;52.8096961975;13;45.2975928783;
73;7;33.3565635681;37.125;7;45.1859662533;7;43.4172973633;50.8674850464;14;45.9620983601;
74;7;33.5954666138;38.6171875;6;46.1263498068;7;42.6266326904;51.9261665344;12;46.6224732399;
75;7;33.8106613159;38.8576164246;4;48.0261135101;7;42.8343429565;52.985622406;12;47.275914669;
76;7;34.2393341064;39.5899581909;5;49.5534309149;7;44.039352417;51.0457191467;13;47.9197258949;
77;7;34.5819969177;40.1473083496;5;50.7652808428;7;43.2406005859;52.1063232422;13;48.5513694286;
78;7;34.8516540527;40.5570983887;5;51.6965833902;7;43.4370994568;53.1672859192;13;49.142154932;
79;7;35.0541419983;40.8504753113;5;53.217291832;7;44.6121368408;51.2284698486;13;49.7035021782;
80;7;36.1545791626;42.0;5;53.5186388493;7;43.7730255127;53.0153083801;14;50.2476477623;
81;7;32.4000015259;46.0;4;53.8262314796;8;43.9275131226;54.100944519;12;50.773049593;
82;7;30.4000015259;49.3714790344;4;54.0892583132;8;44.075050354;55.1862564087;12;51.2784609795;
83;7;28.4000015259;52.4298629761;5;54.3554503918;8;44.2152023315;56.2710342407;12;51.7629284859;
84;7;27.2000007629;55.4890632629;6;54.6772931814;8;45.3476715088;54.3550834656;15;52.2257814407;
85;7;28.1293716431;54.0;5;55.0035806894;8;44.4722747803;55.4382019043;15;52.6666150093;
86;7;26.16563797;54.0;9;55.3337330818;8;44.5889434814;56.520198822;15;53.0852713585;
87;8;26.0021495819;56.0;8;55.6072603464;8;44.6977157593;57.3456878662;15;54.5463142395;
88;8;27.0388221741;58.0;7;55.9427927732;8;44.918712616;58.1105880737;17;57.0201711655;
89;8;28.0755691528;60.0;7;56.2169439793;8;46.1331062317;59.892162323;18;58.6137334108;
90;8;29.1122970581;61.6627540588;9;56.4910851717;8;47.340675354;61.6814880371;18;60.2064404488;
91;9;29.0;63.680480957;8;56.7647836208;8;48.2930831909;63.4692497253;18;62.7859096527;
92;9;29.2000007629;65.6984405518;8;57.0376121998;8;50.5748291016;63.7636604309;18;64.4005609751;
93;9;29.2000007629;67.7166213989;10;57.3091506958;8;50.8584632874;67.0594100952;18;65.8890051842;
94;9;29.2000007629;69.7350158691;11;57.5789910555;8;51.0880584717;69.3540039062;19;67.339681983;
95;9;29.2000007629;71.7536087036;11;57.8467384577;9;51.3222808838;71.6449737549;21;68.751991272;
96;9;29.2000007629;73.7723922729;14;58.1120153666;9;50.2740440369;74.9299240112;21;70.1209403276;
97;9;29.2000007629;75.7913589478;14;58.3744627237;9;51.385559082;75.2066345215;21;71.4434891939;
98;9;29.2000007629;77.8104858398;15;58.6337418556;9;50.4939880371;78.4731216431;19;72.7183184624;
99;9;29.2000007629;79.8297729492;15;58.8895376921;10;50.5990219116;81.7276992798;14;91.195515275;
100;9;29.2000007629;81.8491897583;16;59.1415584087;10;51.7003898621;85.96900177;14;93.7130947113;
101;9;29.2000007629;83.8687362671;17;59.3895372152;10;53.7978744507;87.1960144043;15;97.0411425829;
102;9;29.2000007629;85.8883895874;17;59.6332335472;10;53.8913002014;92.4080581665;15;99.2274240255;
103;9;29.2000007629;87.4924697876;18;59.872431159;10;54.9805374146;96.8305435181;15;101.215517044;
104;9;29.2000007629;88.5596313477;19;60.1069399118;10;56.0655059814;97.3370895386;16;102.858026624;
105;9;29.2000007629;89.6252288818;19;60.3153694868;10;57.146156311;98.8415756226;17;104.352291822;
106;9;29.2000007629;90.6892318726;20;60.5006735325;10;58.2224960327;100.342788696;17;105.717361569;
107;9;29.2000007629;91.7515792847;20;60.6820816994;10;59.29454422;101.839416504;18;106.970627666;
108;9;30.2000007629;89.8122711182;21;60.8594932556;10;60.3623733521;103.329986572;19;108.033678532;
109;9;31.2000007629;90.4197921753;22;61.0328271389;10;61.4260635376;104.812896729;19;108.891556859;
110;9;32.2000007629;89.5000457764;22;61.2020201683;10;63.4857368469;103.990814209;20;109.671769619;
111;9;33.2000007629;88.5779266357;24;61.3670265675;10;63.5415153503;106.118530273;21;110.375873208;
112;10;34.2000007629;87.6534423828;24;61.5278162956;10;64.5935516357;108.199432373;21;110.999403834;
113;11;35.2000007629;86.7266235352;23;61.656755209;10;65.1999969482;109.929641724;22;111.60422802;
114;11;36.2000007629;85.7781524658;23;61.7504668236;10;67.2000045776;108.533561707;24;112.198043346;
115;11;36.4000015259;84.8056945801;25;61.8429522514;10;70.2000045776;107.968780518;23;112.778207541;
116;11;36.4000015259;83.8330993652;25;61.9341430664;10;75.6778259277;107.39503479;24;113.342526436;
117;11;36.4000015259;82.8603210449;25;62.023976326;10;78.9342575073;106.810768127;24;113.889270544;
118;11;36.4000015259;81.8873519897;26;62.1123929024;10;81.357131958;106.766662598;25;114.417174816;
119;11;36.4000015259;80.9141693115;26;62.1993393898;11;84.9802627563;107.950431824;25;114.925407887;
120;11;36.4000015259;79.9407653809;25;62.2847671509;11;88.0036315918;109.136260986;26;115.413532257;
121;11;36.4000015259;78.9671020508;27;62.5686323643;11;92.0271759033;106.323776245;22;115.881453276;
122;11;36.4000015259;77.9931793213;28;63.6624755859;11;94.0508422852;106.512573242;23;116.32935524;
123;12;36.4000015259;80.4205627441;28;65.7766432762;11;97.0745849609;106.70224762;23;116.757647038;
124;12;36.4750061035;82.8558959961;25;66.9649279118;11;100.098350525;106.89239502;24;117.166901827;
125;12;37.4000015259;83.2964553833;24;69.1637997627;11;102.32207489;107.082557678;22;118.557806969;
126;12;39.4000015259;84.7394180298;25;70.4267119169;11;105.345726013;108.272346497;21;119.031118512;
127;12;40.4000015259;86.1819458008;26;71.6901185513;11;108.369239807;109.46131897;22;119.40295577;
128;12;40.4000015259;86.6212921143;27;72.9477734566;12;111.359680176;110.836936951;22;119.752192259;
129;12;40.4000015259;87.0548477173;27;74.1937636137;12;112.548377991;113.023040771;23;120.108590007;
130;12;40.4000015259;87.4801940918;28;75.4226285219;12;114.584014893;115.207122803;22;120.472221375;
131;12;40.4000015259;87.8952026367;29;76.6294531822;12;116.620384216;117.388778687;25;120.843148589;
132;12;40.4000015259;88.2980041504;30;77.809933424;12;118.284309387;119.567672729;27;121.221411467;
133;12;41.4000015259;86.4727249146;30;78.9604115486;12;118.922134399;121.543441772;27;121.607013464;
134;12;40.4000015259;87.6477050781;31;80.0778847933;12;118.960700989;122.715782166;27;122.999904871;
135;12;40.4000015259;88.8220825195;32;81.1599925756;12;119.999984741;124.884391785;28;123.459967375;
136;12;41.4000015259;86.9949645996;33;82.2049843073;13;119.040000916;130.036453247;27;123.929957867;
