Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;4;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;4;20.0;
4;1;8.0;11.0;6;20.0;1;14.0;10.0;4;20.0;
5;1;8.0;10.0;6;20.0;2;16.0;10.0;3;21.0;
6;1;9.0;10.0;6;20.0;2;18.0;10.0;4;21.3999996185;
7;1;9.5;10.0;6;20.0;3;20.0;10.1999998093;3;21.7264003754;
8;1;9.5;10.0;6;20.3999996185;3;21.0358409882;10.3632001877;3;22.8594274521;
9;1;9.59000015259;10.1999998093;6;20.7264003754;3;21.7156562805;10.9097137451;3;23.8127875328;
10;1;9.66343975067;10.3632001877;6;20.9903717041;3;23.7156562805;11.3658018112;3;24.5981152058;
11;1;9.72283363342;10.4951858521;6;22.0419120789;3;25.7156562805;11.7372808456;1;25.2345055342;
12;1;9.95943069458;11.0209560394;6;22.9143505096;3;26.7919197083;12.0336990356;1;25.7443674803;
13;1;11.7228336334;11.4571752548;6;23.6214065552;3;27.4466209412;12.2662630081;1;26.1502821445;
14;1;12.7228336334;11.8107032776;6;24.1832637787;3;27.6901683807;12.446267128;1;26.3048160076;
15;1;13.7228336334;12.0916318893;6;24.6226100922;3;27.7828903198;12.5;1;26.3530313969;
16;1;14.7228336334;12.3113050461;6;24.9617595673;3;29.7473392487;12.5;1;26.4023760557;
17;1;15.7228336334;12.4808797836;6;25.0;3;30.7769470215;12.5;1;26.4528282881;
18;1;16.7228336334;12.5;7;25.0;3;31.8072166443;12.5;1;26.5043625832;
19;1;17.625;12.5;7;25.0;3;32.8381385803;12.5;1;26.5569496155;
20;1;17.625;12.5;7;25.0;3;32.9341697693;12.5;1;26.6105561256;
21;1;17.625;12.5;7;25.0;3;32.9663314819;12.5;1;26.6651450396;
22;1;17.625;12.5;8;25.0;3;32.9990882874;12.5;1;26.72067523;
23;1;17.625;12.5;8;25.0;3;33.0324058533;12.5;1;26.7771017551;
24;1;17.625;12.5;8;25.0;3;33.0662612915;12.5;1;26.8343759775;
