Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;2;14.6000003815;10.0;4;21.0;
5;1;8.0;10.0;6;20.0;2;15.6000003815;10.0;4;21.0599999428;
6;1;9.0;10.0;6;20.0;2;16.6359996796;10.0;4;21.5335636139;
7;1;9.5;10.0;6;20.0;2;17.6801376343;10.1999998093;4;21.9377998114;
8;1;9.5;10.0;6;20.3999996185;2;18.1626796722;10.3632001877;4;23.1372920275;
9;1;9.59000015259;10.1999998093;6;20.7264003754;2;18.8823738098;10.9097137451;4;24.1638869047;
10;1;9.66343975067;10.3632001877;6;20.9903717041;2;20.8823738098;11.3658018112;4;25.029558897;
11;1;9.72283363342;10.4951858521;6;22.0419120789;2;22.8823738098;11.7372808456;4;25.7537147999;
12;1;9.95943069458;11.0209560394;5;22.9143505096;2;24.1034450531;12.0336990356;5;26.3590377569;
13;1;11.7228336334;11.4571752548;5;23.6214065552;2;25.1875629425;12.2662630081;5;26.8683357239;
14;1;12.7228336334;11.8107032776;5;24.1832637787;2;26.277135849;12.446267128;5;27.1343436241;
15;1;13.7228336334;12.0916318893;5;24.6226100922;2;27.3722610474;12.5;5;27.3022236824;
16;1;14.7228336334;12.3113050461;5;24.9617595673;2;28.472990036;12.5;5;27.4794437885;
17;1;15.7228336334;12.4808797836;5;25.0;2;29.5793228149;12.5;5;27.6659116745;
18;1;16.7228336334;12.5;6;25.0;2;30.5995464325;12.5;5;27.8614320755;
19;1;17.625;12.5;6;25.0;2;30.7168598175;12.5;6;28.0656974316;
20;1;17.625;12.5;7;25.0;2;30.8394184113;12.5;6;28.2782821655;
21;1;17.625;12.5;7;25.0;2;30.9669685364;12.5;6;28.4986391068;
22;1;17.625;12.5;7;25.0;2;31.0991840363;12.5;6;28.726098299;
23;1;17.625;12.5;8;25.0;3;31.2356586456;12.5;5;28.9598701;
24;1;17.625;12.5;8;25.0;3;31.3759231567;12.5;5;29.1990513802;
25;1;17.625;12.5;8;25.0;3;31.5194320679;12.5;5;29.442636013;
26;1;17.625;12.5;8;25.0;3;31.6655807495;12.5;6;29.6895294189;
27;1;17.625;12.5;9;25.0;4;31.8137168884;12.5;5;29.938565731;
28;1;17.625;12.5;9;25.0;4;31.9631385803;12.5;5;30.1885280609;
29;1;17.625;12.5;9;25.0;4;32.113117218;12.5;5;30.4381728172;
30;1;17.625;12.5;9;25.0;4;32.2629051208;12.5;5;30.6862530708;
31;1;15.625;13.5;9;25.0;4;32.4117507935;14.5;5;30.9315438271;
32;1;14.625;14.5;9;25.0;4;32.5589256287;16.5;5;31.1728658676;
33;1;13.625;15.5;9;25.0;4;32.7037200928;18.5;5;32.4091095924;
34;1;12.625;16.5;9;25.0;4;33.8454666138;21.5;5;32.6792535782;
35;1;12.0;17.5;9;25.0;4;34.9835510254;24.5;5;32.9435658455;
36;1;12.0;18.5;9;25.0;4;35.7661399841;25.5;6;33.2012507915;
37;1;12.0;19.5;9;25.0;4;35.9207496643;26.5;6;34.451636672;
38;1;12.0;20.5;9;25.0;4;37.070980072;28.5;6;34.7341798544;
39;1;12.0;21.5;10;25.0;4;38.216506958;29.5;7;35.009649992;
40;1;12.0;22.5;10;25.0;4;39.0057907104;30.5;7;35.2777605057;
41;1;12.0;23.5;11;25.0;4;39.1666564941;31.5;7;35.5383397341;
42;1;12.0;24.5;12;25.0;4;39.3230018616;32.5;8;35.7913234234;
43;1;12.0;25.5;12;25.0;4;39.4747924805;32.5;10;36.0367423296;
44;1;12.0;26.5;13;25.0;4;39.6220474243;32.5;10;36.2747108936;
45;1;12.0;27.5;14;25.0;5;39.7648277283;32.5;9;36.5054142475;
46;1;12.0;28.5;15;25.0;5;39.9032478333;32.5;10;36.7290939093;
47;1;12.0;29.5;15;25.0;5;40.0374565125;32.5;10;36.9460363388;
48;2;13.0;27.5;14;40.0;5;40.1676216125;32.5;11;38.3072003126;
49;2;13.0;29.5;15;40.75;5;40.9843177795;33.0;11;39.4416505098;
