Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;4;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;4;20.0;
4;2;9.0;11.3000001907;5;21.0;1;14.0;10.0;4;20.0;
5;2;10.0;10.0;4;21.0299999714;1;15.0;10.0;4;20.0;
6;2;12.0;10.0;4;21.0605909824;1;16.0;10.0;4;20.3999996185;
7;2;12.7386331558;10.0;4;21.091766119;2;17.6000003815;10.1999998093;3;21.7264003754;
8;2;12.7456474304;10.0;4;21.534434557;2;18.0358409882;10.3632001877;3;22.9494274855;
9;2;12.8452482224;10.1999998093;4;21.9046876431;2;18.7696552277;10.9097137451;3;24.0070346594;
10;2;12.9285545349;10.3632001877;4;23.0545283556;2;20.7696552277;11.3658018112;3;24.9122858047;
11;2;13.1872692108;10.9097137451;4;24.0255558491;2;22.7696552277;11.7372808456;3;25.6857330799;
12;2;13.4057502747;11.3658018112;4;24.8294079304;2;24.0626564026;12.0336990356;3;26.3512378931;
13;2;16.200510025;12.1437349319;4;25.4851789474;2;25.182882309;12.2662630081;3;26.9327886105;
14;2;17.9093704224;12.4590330124;4;26.0152727365;2;26.3158073425;12.446267128;3;27.2842636108;
15;2;19.2429885864;12.2662630081;4;26.4422603846;2;27.4622135162;12.5;4;27.5518820286;
16;2;19.9093704224;12.9111852646;4;26.6186932325;3;28.6227855682;12.5;3;27.8440244198;
17;2;20.9093704224;12.9856081009;4;26.6896131039;3;29.7980709076;12.5;3;28.1613030434;
18;2;22.2895336151;12.5;5;26.7624419928;3;30.8967819214;12.5;3;28.5039470196;
19;2;22.625;13.2049770355;5;26.8371264935;3;31.1023674011;12.5;4;28.871723175;
20;2;22.625;13.2348508835;5;26.9136037827;3;31.3230342865;12.5;4;29.263862133;
21;2;23.0555610657;12.5;5;26.9918012619;3;31.5583171844;12.5;4;29.6789975166;
22;2;23.0731544495;12.5;5;27.0716366768;3;31.8073997498;12.5;4;30.1151270866;
