Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
5;1;12.0;10.0;5;20.0;1;9.0;10.0;5;20.0;
6;1;13.0;10.0;5;20.0;1;10.0;10.0;5;20.0;
7;1;14.0;10.0;5;20.3999996185;1;11.0;10.0;5;20.0;
8;1;14.1800003052;10.1999998093;5;20.7264003754;1;11.0;10.0;5;20.3999996185;
9;1;14.3268795013;10.3632001877;5;21.8194274902;2;12.1199998856;10.3999996185;4;21.7264003754;
10;1;14.8187427521;10.9097137451;5;22.7316036224;2;13.2179203033;10.3632001877;4;21.9903717041;
11;1;15.8187427521;11.3658018112;5;23.4745616913;2;14.2971115112;10.4951858521;3;23.0819120407;
12;1;16.8187427521;11.7372808456;5;24.0673980713;2;14.9245738983;11.0209560394;3;23.99553442;
13;1;17.8187427521;12.0336990356;6;24.5325260162;2;16.9245738983;11.4571752548;4;24.7449600697;
14;1;18.8187427521;12.2662630081;6;24.892534256;2;18.9245738983;11.8107032776;4;25.3503712416;
15;1;19.8187427521;12.446267128;6;25.0;2;19.9627056122;12.0916318893;3;25.8344515562;
16;1;20.8187427521;12.5;6;25.0;2;20.9761257172;12.3113050461;3;26.2195074558;
17;1;21.8187427521;12.5;6;25.0;2;21.9898986816;12.4808797836;3;26.3048160076;
18;1;22.8187427521;12.5;6;25.0;2;23.0040187836;12.5;3;26.3530313969;
19;1;23.25;12.5;7;25.0;2;24.0184822083;12.5;3;26.4023760557;
20;1;23.25;12.5;7;25.0;2;24.5;12.920712471;4;26.4528282881;
