Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;2;7.0;11.1999998093;4;21.0;
3;1;11.0;10.0;5;20.0;2;8.19999980927;10.0;4;21.0900000334;
4;1;11.0;10.0;5;20.0;2;9.21800041199;10.0;4;21.1871190071;
5;1;12.0;10.0;5;20.0;2;9.23742389679;10.0;4;21.2917383909;
6;1;13.0;10.0;5;20.0;2;10.3875217438;10.0;4;21.4042263031;
7;2;14.4499998093;10.0;4;21.3999996185;2;11.4212675095;10.0;4;21.5249304771;
8;2;14.6300001144;10.1999998093;4;21.7964004278;2;11.4574794769;10.0;4;22.0694183111;
9;2;14.8083791733;10.3632001877;4;22.9849785566;2;11.6208257675;10.1999998093;4;22.5515855551;
10;2;15.3432407379;10.9097137451;4;24.0001246929;2;11.7654762268;10.3632001877;4;22.983014226;
11;2;17.3432407379;11.3658018112;4;24.8538434505;2;11.8949041367;10.4951858521;4;24.2738182545;
12;2;19.3432407379;11.7372808456;3;25.5655838251;2;12.2821455002;11.0209560394;4;25.4089095592;
13;2;20.4929256439;12.0336990356;4;26.1580847502;2;14.2821455002;11.4571752548;5;26.4029755592;
14;2;21.5502433777;12.2662630081;4;26.6542243958;2;16.2821464539;11.8107032776;5;27.276881218;
15;2;22.6115036011;12.446267128;4;26.9068236351;2;17.5406589508;12.0916318893;5;28.0536293983;
16;2;23.6768131256;12.5;4;27.0611462593;2;18.6418800354;12.3113050461;5;28.755402565;
17;2;24.746257782;12.5;4;27.2247776985;2;19.750667572;12.4808797836;5;29.1808357239;
18;2;25.8198928833;12.5;4;27.3977591991;2;20.8668251038;12.5;5;29.5913586617;
19;2;26.3289909363;12.5;4;27.5800426006;2;21.9899806976;12.5;5;30.0233430862;
20;2;26.4110183716;12.5;4;27.7714805603;2;23.0070037842;12.5;6;30.4742712975;
21;2;26.4971656799;12.5;6;27.9718174934;2;23.1422805786;12.5;6;30.9409928322;
22;2;26.5873184204;12.5;6;28.1806821823;2;23.2822971344;12.5;6;31.4197778702;
23;2;26.681306839;12.5;6;28.3975830078;2;23.4259338379;12.5;6;31.906411171;
24;3;26.7789115906;12.5;5;28.6219055653;2;23.5719223022;12.5;6;32.3963236809;
25;3;26.879858017;12.5;4;28.8529140949;2;21.5719223022;13.5;6;32.8847527504;
26;3;26.9838104248;12.5;5;29.089756012;2;22.5719223022;12.5;7;33.3669252396;
27;3;27.0903892517;12.5;4;29.3314704895;2;21.5;13.5;7;33.8382406235;
28;3;27.1991615295;12.5;4;29.5770010948;2;21.5;14.5;7;34.2944498062;
29;3;27.3096504211;12.5;4;29.8252120018;2;21.5;15.5;7;34.7318048477;
30;3;27.4213447571;12.5;4;30.0749063492;2;21.5;16.5;7;35.1471776962;
31;3;27.533706665;12.5;4;30.3248500824;2;21.5;17.5;7;35.5381307602;
32;3;27.6461830139;12.5;4;30.5737948418;2;22.5;15.5;7;35.9029474258;
33;3;27.7582073212;12.5;4;30.8205022812;2;21.5;15.5;7;36.2406177521;
34;3;27.8692264557;12.5;5;31.0637698174;2;21.5;15.5;7;36.5507898331;
