Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;4;20.0;2;7.0;11.1999998093;4;21.0;
3;1;11.0;10.0;4;20.0;2;8.19999980927;10.0;4;21.0900000334;
4;1;11.0;10.0;4;20.0;2;9.21800041199;10.0;4;21.1871190071;
5;2;12.4499998093;10.0;3;21.0;2;9.23742389679;10.0;4;21.2917383909;
6;2;13.4499998093;10.0;3;21.0599999428;2;10.3875217438;10.0;4;21.4042263031;
7;2;14.4770002365;10.0;3;21.5335636139;2;11.4212675095;10.0;4;21.5249304771;
8;2;14.6901044846;10.1999998093;2;21.9377998114;2;11.4574794769;10.0;4;22.0694183111;
9;2;14.8720092773;10.3632001877;2;23.1372920275;2;11.6208257675;10.1999998093;4;22.5515855551;
10;2;15.411781311;10.9097137451;2;24.1638869047;2;11.7654762268;10.3632001877;4;22.983014226;
11;2;17.411781311;11.3658018112;2;25.029558897;2;11.8949041367;10.4951858521;4;24.2738182545;
12;2;19.411781311;11.7372808456;2;25.7537147999;2;12.2821455002;11.0209560394;4;25.4089095592;
13;2;20.5775852203;12.0336990356;3;26.3590377569;2;14.2821455002;11.4571752548;5;26.4029755592;
14;2;21.6406726837;12.2662630081;3;26.8683357239;2;16.2821464539;11.8107032776;5;27.276881218;
15;2;22.7078533173;12.446267128;3;27.1343436241;2;17.5406589508;12.0916318893;5;28.0536293983;
16;2;23.7791976929;12.5;3;27.3022236824;2;18.6418800354;12.3113050461;5;28.755402565;
17;2;24.8547439575;12.5;3;27.4794437885;2;19.750667572;12.4808797836;5;29.1808357239;
18;2;25.9344921112;12.5;2;27.6659116745;2;20.8668251038;12.5;5;29.5913586617;
19;2;26.4496612549;12.5;3;27.8614320755;2;21.9899806976;12.5;5;30.0233430862;
20;2;26.5376434326;12.5;4;28.0656974316;2;21.5;13.5;6;30.4742712975;
21;2;26.6295642853;12.5;4;28.2782821655;2;22.5;12.5;6;30.9409928322;
22;2;26.725227356;12.5;4;28.4986391068;2;23.2822971344;12.5;6;31.4197778702;
23;2;26.8243865967;12.5;4;28.726098299;2;23.4259338379;12.5;6;31.906411171;
24;2;26.9267444611;12.5;4;28.9598701;2;23.5719223022;12.5;6;32.3963236809;
25;2;23.25;14.5;4;29.1990513802;2;21.5719223022;13.5;6;32.8847527504;
26;2;24.25;14.1796207428;4;29.442636013;2;22.5719223022;12.5;7;33.3669252396;
27;2;22.25;15.2770547867;4;29.6895294189;2;21.5;13.5;7;33.8382406235;
28;2;21.25;16.3758125305;5;29.938565731;2;21.5;14.5;7;34.2944498062;
29;2;20.25;17.4754257202;5;30.1885280609;2;21.5;15.5;7;34.7318048477;
30;3;19.25;18.5754108429;4;30.4381728172;2;21.5;16.5;7;35.1471776962;
31;3;18.25;19.6752700806;4;30.6862530708;2;21.5;17.5;7;35.5381307602;
32;3;17.25;20.7745018005;6;30.9315438271;2;22.5;15.5;7;35.9029474258;
33;3;16.25;21.8726177216;6;31.1728658676;2;21.5;15.5;7;36.2406177521;
34;3;15.25;22.9691467285;6;31.4091095924;2;21.5;15.5;7;36.5507898331;
35;3;14.25;24.0636444092;7;31.6392536163;2;20.5;14.5;8;36.8336925507;
36;3;15.25;22.1557006836;7;31.8623819351;2;19.5;13.5;8;37.0900468826;
37;3;15.0;21.1557006836;7;32.0776972771;2;19.5;14.5;8;37.3209609985;
38;3;16.0;21.5;7;33.2845292091;2;18.5;13.5;8;37.5278348923;
39;3;16.0;20.8999996185;8;33.6523383856;2;18.5;14.5;8;37.7122650146;
40;3;19.0;21.8999996185;9;34.0376291275;2;17.5;13.5;8;37.8759651184;
41;3;21.6151103973;22.8999996185;10;34.4436614513;2;17.5;13.5;8;38.0;
42;3;23.7174224854;24.8999996185;10;34.8740230799;2;18.5;14.5;9;38.0;
43;4;25.4433097839;26.8999996185;8;64.0825352669;2;19.5;15.5;9;38.0;
44;4;27.6496391296;28.5;8;66.5856149197;2;21.5;17.5;9;38.0;
45;4;29.8704013824;29.5;9;68.6463630199;2;21.5;19.5;9;38.0;
46;4;31.1073131561;30.5;9;70.3274958134;2;21.5;21.5;10;38.0;
47;5;32.361946106;31.5;8;71.7167551517;2;21.5;23.5;10;38.0;
48;5;33.6355934143;32.5;10;72.9013376236;2;21.5;25.5;11;38.0;
49;5;34.9291152954;33.5;10;73.6228337288;2;21.5;26.5;11;38.0;
50;5;35.4927749634;34.5;10;74.336581707;2;21.5;27.5;11;38.0;
51;5;35.8139610291;35.5;11;75.0300674438;2;21.5;28.5;11;38.0;
52;5;36.1260299683;36.5;11;75.7660870552;2;22.5;26.5;11;38.0;
53;5;36.4572372437;37.5;11;76.5367279053;3;21.5;27.5;10;38.0;
54;5;36.8040275574;38.5;11;78.3320074081;3;21.5;28.5;10;38.0;
55;5;38.1619033813;40.5;12;79.1602606773;3;22.5;26.5;11;38.0;
56;6;39.5256156921;42.5;12;79.9889340401;3;21.5;27.5;11;38.0;
57;6;40.3575210571;44.5;12;80.8049503565;3;21.5;28.5;9;38.0;
58;6;40.7247238159;46.5;13;81.5957440138;3;22.5;26.5;10;38.0;
59;6;41.0805854797;48.5;14;84.5219347477;3;21.5;27.5;10;38.0;
60;6;41.4200248718;49.5;14;88.2911456823;3;21.5;28.5;11;38.0;
61;6;42.4385986328;51.0;14;91.256632328;3;22.5;26.5;11;39.0;
62;6;43.3282356262;52.3899993896;15;93.5476567745;3;22.5;28.5;13;39.0299999714;
63;7;44.0964431763;53.6872596741;14;96.0082318783;3;23.5;30.5;13;39.0605909824;
64;7;48.5847091675;53.6872596741;14;97.140344739;3;24.5;29.5;14;39.091766119;
65;7;50.7460861206;54.6872596741;14;97.9979170561;4;23.5;31.5;13;39.1235172749;
66;7;52.5475349426;55.6872596741;15;98.7509704828;4;23.5;33.5;14;39.1558350325;
67;7;53.6650886536;56.6872596741;15;99.3140364885;4;24.5;31.5;16;39.1887089014;
