Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;11.0;10.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;11.0;10.0;5;20.0;1;8.0;10.0;5;20.0;
4;1;11.0;10.0;5;20.0;2;9.0;10.1999998093;4;21.0;
5;1;12.0;10.0;5;20.0;2;9.19999980927;10.0;4;21.0599999428;
6;1;13.0;10.0;5;20.0;2;10.3179998398;10.0;4;21.1229639053;
7;1;14.0;10.0;4;20.3999996185;2;11.336889267;10.0;4;21.1889609098;
8;1;14.1800003052;10.1999998093;4;20.7264003754;2;11.3566884995;10.0;4;21.6699410677;
9;1;14.3268795013;10.3632001877;4;21.8194274902;2;11.5009822845;10.1999998093;4;22.0818096399;
10;1;14.8187427521;10.9097137451;3;22.7316036224;2;11.62454319;10.3632001877;4;22.4358423948;
11;1;15.8187427521;11.3658018112;3;23.4745616913;2;11.7307529449;10.4951858521;4;23.611035943;
12;1;16.8187427521;11.7372808456;3;24.0673980713;2;12.0833110809;11.0209560394;4;24.615765214;
13;1;17.8187427521;12.0336990356;4;24.5325260162;2;14.0833110809;11.4571752548;5;25.4640146494;
14;1;18.8187427521;12.2662630081;4;24.892534256;2;16.0833110809;11.8107032776;5;26.1761806011;
15;1;19.8187427521;12.446267128;4;25.0;2;17.2104492188;12.0916318893;5;26.7751014233;
16;1;20.8187427521;12.5;4;25.0;2;18.2583217621;12.3113050461;5;27.2831678391;
17;1;21.8187427521;12.5;3;25.0;2;19.3089962006;12.4808797836;5;27.4996597767;
18;1;22.8187427521;12.5;4;25.0;2;20.3624725342;12.5;5;27.687142849;
19;1;23.25;12.5;4;25.0;2;21.4187164307;12.5;5;27.883649826;
