Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;4;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;4;21.0;
4;2;9.0;11.3000001907;5;21.0;1;8.14999961853;10.5;4;21.0;
5;2;10.3000001907;10.0;5;21.1200000048;1;8.14999961853;10.5;4;21.0;
6;2;11.5039997101;10.0;5;21.2530560493;1;9.14999961853;10.5;4;21.0;
7;2;12.5638751984;10.0;5;21.4002518654;1;9.72500038147;10.5;4;21.0;
8;2;13.6301136017;10.0;5;21.9766796827;1;9.72500038147;10.5;4;21.4200000763;
9;2;14.7095060349;10.1999998093;5;22.4989564419;2;9.81949996948;10.9099998474;3;22.758436203;
10;2;15.1245298386;10.3632001877;5;23.8796241283;2;10.1206493378;10.8792181015;3;23.1000000238;
11;2;15.7458314896;10.9097137451;5;25.1201915741;2;10.1975002289;11.0;3;24.8149009943;
12;2;16.3040866852;11.3658018112;5;26.2360420227;2;10.5833530426;11.7700004578;3;26.3006643057;
13;2;18.8936080933;11.7372808456;5;27.2496871948;2;12.2819604874;12.4126424789;3;27.5660959482;
14;2;20.8936080933;12.0336990356;5;28.1863574982;2;14.2819604874;12.9308347702;3;28.6384222507;
15;2;22.4629669189;12.2662630081;5;29.0705504417;2;16.2819595337;13.3366470337;4;29.5544860363;
16;2;23.6988506317;12.446267128;5;29.7555007935;3;17.4586315155;13.6469516754;4;30.3533427715;
17;2;24.9587173462;12.5;5;30.3853430748;3;18.5335998535;13.879781723;5;30.9674448967;
18;2;26.2421474457;12.5;6;31.0646858215;3;19.6176757812;14.0;5;31.3838531971;
19;2;27.5478515625;12.5;6;31.7885251045;3;20.7113685608;14.0;5;31.8446035385;
20;2;28.3048362732;12.5;6;32.549618721;3;21.1650352478;14.0;6;32.350376606;
21;2;28.6473274231;12.5;6;33.3385829926;3;21.2788333893;14.0;6;32.9006829262;
22;3;29.0023612976;12.5;5;34.1442079544;3;21.4026527405;14.0;6;33.4936323166;
23;3;29.3648929596;12.5;6;34.9539995193;3;21.5360660553;14.0;6;34.1257500648;
24;4;29.7292995453;12.5;6;35.7548980713;3;21.6782932281;14.0;7;34.7918796539;
25;4;27.7292995453;13.5;6;36.5341014862;4;21.8281726837;14.0;6;35.4852027893;
26;4;26.7292995453;14.5;6;37.2798843384;4;21.9841690063;14.0;6;36.1974048615;
27;4;25.7292995453;15.5;6;37.9823083878;4;22.1444149017;14.0;6;36.9189891815;
28;4;24.7292995453;14.5;6;38.6337203979;4;22.3067722321;14.0;6;37.6397333145;
29;4;24.25;14.5;6;39.2290067673;4;22.4689388275;14.0;6;38.3492431641;
30;4;23.25;13.5;6;39.7655820847;4;20.628578186;15.0;6;39.0375461578;
31;4;23.25;14.5;6;40.2431631088;4;19.7834472656;16.0;6;39.6956548691;
32;4;23.25;15.5;6;40.663392067;4;18.9315223694;17.0;6;40.3160324097;
33;4;23.25;16.5;7;41.029384613;4;18.071105957;18.0;6;40.8929109573;
34;4;23.25;17.5;7;41.3452625275;4;17.2009048462;19.0;6;41.4224338531;
35;4;22.25;16.5;7;41.6157341003;4;17.0200481415;20.0;6;41.9026298523;
36;4;22.25;16.5;7;41.8457393646;4;17.1280918121;21.0;6;42.3332462311;
37;4;21.25;15.5;9;42.0;4;17.2249794006;22.0;7;42.7154788971;
38;4;23.25;17.5;10;42.0;4;17.3109817505;23.0;8;43.051656723;
39;4;25.25;19.5;10;42.0;4;17.3866233826;24.0;8;43.3449144363;
40;5;27.25;20.5;11;42.0;4;17.4526062012;25.0;10;43.5988855362;
41;5;29.25;21.5;12;42.0;4;17.5097503662;26.0;10;43.8174438477;
42;5;30.8999996185;22.5;12;42.0;4;17.5589256287;27.0;10;44.0;
43;5;31.8999996185;22.5;15;42.0;4;18.6000003815;25.0;13;44.0;
44;5;32.9000015259;22.5;16;42.0;4;17.6000003815;26.0;13;44.0;
45;5;32.9000015259;22.5;16;42.0;4;17.6000003815;27.0;13;44.0;
46;5;32.9000015259;22.5;16;42.0;4;18.6000003815;25.0;14;44.0;
47;5;32.9000015259;22.5;18;42.0;5;19.6000003815;25.0;11;47.9809515476;
48;5;32.9000015259;22.5;18;43.0;5;21.6000003815;26.0;12;48.1409478188;
49;5;33.9000015259;23.5;18;43.0399999619;5;23.6000003815;27.0;12;48.3007493019;
50;5;34.9000015259;24.5;18;43.0811839104;5;25.6000003815;28.0;13;48.4598445892;
51;5;34.9000015259;25.5;19;43.1235535145;5;26.937953949;29.0;14;48.6177301407;
52;5;34.9000015259;26.5;19;43.1671074629;5;27.2853183746;29.0;13;48.7739143372;
53;5;33.4251976013;28.5;19;43.211841464;5;27.3321743011;29.0;11;48.9279251099;
54;5;31.8999996185;29.5;19;43.2577478886;6;27.3783779144;29.0;8;69.0793147087;
55;5;30.8999996185;30.5;20;43.3048160076;6;26.4237937927;31.0;8;70.4276661873;
56;5;29.8999996185;31.5;20;43.3530313969;6;26.4682998657;33.0;9;71.5901937485;
57;5;28.8999996185;32.5;20;43.4023760557;8;27.5117778778;36.0;7;73.5717124939;
58;5;27.8999996185;33.5;21;45.1608761549;8;28.5541267395;39.0;8;74.5471731424;
59;6;27.7000007629;35.0;20;46.6095832586;8;28.5952510834;42.0;8;74.9009758234;
60;6;28.0510005951;36.3899993896;20;47.7883059978;8;29.3350753784;44.0;8;76.7688293457;
61;6;27.7924079895;35.3899993896;21;48.7406554222;8;31.3735332489;47.0;9;77.5647660494;
62;6;27.8320922852;35.3899993896;21;49.3606802225;8;33.4105682373;49.0;9;78.2609908581;
63;6;26.873210907;35.0;22;49.7416447401;8;34.6801834106;51.0;10;79.7036517859;
64;6;25.9157409668;34.0;23;50.0192348957;8;35.9802246094;54.0;10;80.2002331018;
65;6;25.9596557617;34.0;24;50.119808197;8;37.0127983093;57.0;10;80.7334926128;
66;6;26.0049133301;34.0;24;50.2232589722;8;37.5258331299;59.0;13;81.3054904938;
