Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;4;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;4;21.0;
4;1;9.0;11.0;6;20.0;1;8.14999961853;10.5;4;21.0;
5;1;10.0;10.0;6;20.0;1;8.14999961853;10.5;3;21.0;
6;1;11.0;10.0;6;20.0;1;9.14999961853;10.5;3;21.0;
7;1;12.0;10.0;6;20.0;2;9.72500038147;10.6999998093;2;22.0;
8;1;13.0;10.0;6;20.3999996185;2;9.95000076294;10.5;2;22.5200001001;
9;2;14.0;10.5;5;21.7264003754;2;10.0670003891;10.7100000381;2;22.9673361778;
10;2;14.7768793106;10.3632001877;5;22.9494274855;2;10.1676511765;10.8792181015;2;23.3272645473;
11;2;15.3272428513;10.9097137451;5;24.0070346594;2;10.2486343384;11.0;2;25.0752841234;
12;2;15.8031663895;11.3658018112;5;24.9122858047;2;10.6419391632;11.7700004578;2;26.5979954004;
13;2;18.3926868439;11.7372808456;4;25.6857330799;2;12.348859787;12.4126424789;2;27.9043157101;
14;2;20.3926868439;12.0336990356;4;26.3512378931;2;14.348859787;12.9308347702;2;29.0214660168;
15;2;21.6371631622;12.2662630081;4;26.9327886105;2;16.348859787;13.3366470337;3;29.9861254692;
16;2;22.7368564606;12.446267128;4;27.2842636108;3;17.5557498932;13.6469516754;2;30.8369827271;
17;2;23.846660614;12.5;4;27.5518820286;3;18.6424198151;13.879781723;2;31.505875349;
18;2;24.9670906067;12.5;4;27.8440244198;3;19.738822937;14.0;2;31.9789624214;
19;2;26.0985527039;12.5;4;28.1613030434;3;20.8452682495;14.0;2;32.4970645905;
20;2;26.672586441;12.5;4;28.5039470196;3;21.31183815;14.0;2;33.0593295097;
21;2;26.8267765045;12.5;4;28.871723175;3;21.4383487701;14.0;2;33.6634473801;
22;2;26.992275238;12.5;4;29.263862133;3;21.5742759705;14.0;2;34.3054871559;
23;2;27.1687374115;12.5;4;29.6789975166;3;21.7187347412;14.0;2;34.9798283577;
24;2;27.3555488586;12.5;11;30.1151270866;3;21.8704605103;14.0;2;35.6792192459;
25;3;25.5518074036;13.5;4;39.5151238441;3;22.0278244019;14.0;2;36.394982338;
26;3;27.7563209534;13.5;4;40.4368128777;3;22.1888694763;14.0;3;37.1173725128;
27;3;27.7563209534;15.5;4;41.3500914574;3;22.3514080048;14.0;4;37.8360614777;
28;3;28.7563209534;15.5;5;42.2476873398;3;22.5131130219;14.0;5;38.5407104492;
29;3;27.25;17.5;5;43.1227049828;3;22.6716594696;14.0;5;39.2215652466;
30;3;26.25;18.5;5;43.9688153267;4;21.8248519897;15.5;4;40.8699960709;
31;3;26.25;20.5;5;44.780412674;4;21.8248519897;15.5;4;41.6389275789;
32;4;26.25;22.5;5;45.5527467728;4;20.8248519897;15.0;4;42.3868528605;
33;5;26.25;24.5;4;46.2820119858;4;20.8248519897;16.0;4;43.1133346558;
34;5;25.25;23.8268280029;4;46.9654006958;4;20.3508224487;17.0;4;43.8199268579;
35;5;25.25;24.0020675659;5;47.6011066437;4;19.4557952881;18.0;4;44.5099055767;
36;5;25.25;24.1597137451;5;48.188293457;4;19.2496566772;19.0;5;45.1878874302;
37;5;26.25;25.3007774353;5;48.727025032;4;19.3327522278;20.0;5;45.8593690395;
38;5;28.25;28.3007774353;6;49.2181615829;4;19.4056663513;21.0;5;46.5302376747;
39;5;29.25;30.3007774353;6;49.6115064621;4;19.4691371918;22.0;5;47.2062754631;
40;5;30.25;32.3007774353;7;49.8888463974;4;19.5240058899;23.0;5;47.8926811218;
41;6;31.25;34.3007774353;6;66.1398382187;4;19.5711479187;24.0;5;48.5427899361;
42;6;31.25;39.3007774353;6;67.1456587315;4;19.6000003815;25.0;5;49.1086950302;
43;6;32.25;42.5999984741;7;69.6686909199;4;19.6000003815;26.0;5;49.7161855698;
44;6;34.8125;43.2249984741;7;72.2902162075;4;19.6000003815;27.0;5;50.3611893654;
45;6;34.2554702759;46.7171859741;8;74.513749361;4;20.6000003815;27.0;6;51.0379443169;
46;6;35.5944099426;50.093788147;8;76.3735817671;4;21.6000003815;28.0;6;51.7390680313;
47;7;36.8478622437;51.3754005432;8;77.9125982523;4;22.6000003815;29.0;6;52.4557781219;
48;7;39.0340499878;49.5822792053;10;78.9115228653;4;23.6000003815;30.0;7;53.1782588959;
49;7;41.0499992371;48.5999984741;9;79.7275745869;4;24.6000003815;31.0;8;53.8961582184;
50;7;41.0499992371;49.5999984741;10;80.4130432606;4;25.6000003815;30.0;8;54.5991659164;
51;7;42.0499992371;50.5999984741;12;80.9854683876;4;25.8999996185;29.0;10;55.2776012421;
52;7;43.0499992371;51.5999984741;12;81.3609591722;5;25.8999996185;29.0;10;55.9229507446;
53;7;43.9499969482;52.5999984741;13;81.3968753815;5;25.8999996185;29.0;10;56.5282850266;
54;7;43.9499969482;53.5999984741;13;81.4332377911;5;25.8999996185;29.0;11;57.088514328;
55;7;43.1500015259;54.5999984741;14;81.4700255394;5;25.8999996185;29.0;11;57.6004695892;
56;7;42.1500015259;55.5999984741;14;84.0672162771;5;25.8999996185;29.0;12;58.0628213882;
57;8;41.6629981995;56.7819976807;13;86.1375981569;5;25.8999996185;29.0;13;58.4758720398;
58;8;42.0884933472;55.7819976807;15;87.7696222067;5;25.8999996185;29.0;13;58.8412618637;
59;8;40.2773513794;55.7819976807;16;88.9848686457;5;25.8999996185;29.0;15;59.1616458893;
60;8;40.425037384;56.7819976807;16;89.4662191868;6;24.8999996185;30.0;13;59.4403705597;
61;9;41.4528808594;54.7819976807;17;89.6983793974;6;24.8999996185;31.0;13;59.6811828613;
62;9;39.4528808594;54.7819976807;16;89.7374696732;6;24.8999996185;32.0;9;59.8879890442;
63;10;39.4528808594;55.7819976807;15;89.7767804861;6;24.4747962952;33.0;10;60.0;
64;10;40.4528808594;54.7819976807;15;90.8162822723;6;23.5;34.0;10;60.0;
