Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;4;20.0;1;8.0;10.6999998093;5;21.0;
4;2;9.0;10.1999998093;3;21.0;1;8.14999961853;10.5;5;21.0;
5;2;9.0;10.0;3;21.0800000429;1;8.14999961853;10.5;5;21.0;
6;2;10.0;10.0;3;22.165536046;1;9.14999961853;10.5;5;21.0;
7;2;11.0;10.5;3;23.0968496799;1;9.72500038147;10.5;5;21.0;
8;2;11.5520000458;10.9200000763;3;24.1152824163;1;9.72500038147;10.5;5;21.4200000763;
9;2;11.8245639801;11.3742723465;3;24.9729348421;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;12.0464611053;11.7441015244;3;25.6893390417;1;9.8956489563;10.8792181015;5;22.0;
11;2;12.2234535217;12.0390892029;3;27.2825870514;1;9.94999980927;11.0;5;23.5400009155;
12;2;12.6512136459;12.7520227432;2;28.611030221;2;10.296500206;11.970000267;5;25.8252849579;
13;2;14.6512136459;13.3253479004;2;29.7004537582;2;12.1750001907;12.4126424789;5;27.021669507;
14;2;16.6512145996;13.771654129;2;30.5894331932;2;14.1750001907;12.9308347702;5;28.0170379877;
15;2;17.6512145996;14.1099815369;3;31.319950819;2;16.1749992371;13.3366470337;5;28.8480272293;
16;3;18.6512145996;14.3611440659;2;31.8419036865;2;17.2996768951;13.6469516754;5;29.5537353754;
17;3;19.6512145996;14.5;3;32.1021678448;2;18.3536891937;13.879781723;5;30.0669906139;
18;3;20.6512145996;14.5;4;32.3781936169;2;18.9500007629;14.0;5;30.375654459;
19;3;21.6512145996;14.5;4;32.669454813;2;19.9500007629;14.0;5;30.7230784893;
20;3;22.6512145996;14.5;4;32.9751403332;2;20.2999992371;14.0;5;31.1118502617;
21;3;23.7000007629;14.5;4;33.2941398621;2;20.2999992371;14.0;5;31.544028759;
22;3;22.7000007629;15.5;5;33.2250404358;2;20.2999992371;14.0;5;32.0209121704;
23;4;23.5799999237;14.3000001907;4;33.2061347961;2;20.2999992371;14.0;5;32.5427899361;
24;4;23.9618415833;14.1199998856;4;33.231446743;2;20.2999992371;14.0;5;33.1086950302;
