Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;12.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;11.0;4;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;10.0;5;20.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;10.0;5;20.0;1;8.14999961853;10.5;5;21.0;
5;1;9.0;10.0;4;20.0;1;8.14999961853;10.5;5;21.0;
6;1;10.0;10.0;4;20.0;2;9.14999961853;10.6999998093;4;22.0;
7;1;11.0;10.0;4;20.0;2;9.95000076294;10.5;4;22.0900000334;
8;2;11.0;10.1999998093;3;21.3999996185;2;9.9702501297;10.5;4;22.618019104;
9;2;11.4200000763;10.1999998093;3;21.7264003754;2;10.0890541077;10.7100000381;4;23.0738848448;
10;2;11.5179204941;10.3632001877;3;21.9903717041;2;10.1916246414;10.8792181015;4;23.442843914;
11;2;11.597111702;10.4951858521;3;23.0819120407;2;10.2746400833;11.0;4;25.2073103189;
12;2;11.9245738983;11.0209560394;3;23.99553442;2;10.6716451645;11.7700004578;5;26.7482377291;
13;2;13.9245738983;11.4571752548;3;24.7449600697;2;12.3826637268;12.4126424789;5;28.074546814;
14;2;15.9245738983;11.8107032776;3;25.3503712416;2;14.3826637268;12.9308347702;5;29.2133922577;
15;2;16.6051120758;12.0916318893;3;25.8344515562;2;16.3826637268;13.3366470337;5;30.2012972832;
16;2;16.7503356934;12.3113050461;3;26.2195074558;2;17.6041641235;13.6469516754;5;31.0766849518;
17;2;16.865852356;12.4808797836;3;26.3048160076;2;18.696352005;13.879781723;5;31.7709991932;
18;2;16.8914451599;12.5;3;26.3530313969;2;19.7984752655;14.0;5;32.2698645592;
19;2;18.8944358826;12.5;4;26.4023760557;2;20.9107208252;14.0;5;32.8134241104;
20;2;19.488527298;12.920712471;4;26.4528282881;2;21.383020401;14.0;5;33.400015831;
21;2;20.488527298;12.9358482361;6;26.5043625832;2;21.5150032043;14.0;5;34.0264167786;
22;2;21.488527298;12.9513092041;6;26.5569496155;2;21.6559429169;14.0;5;34.6877307892;
23;3;21.9670848846;12.5;6;26.6105561256;2;21.8047389984;14.0;6;35.3773875237;
24;3;21.9831676483;12.5;6;26.6651450396;2;21.9599113464;14.0;6;36.0872850418;
