Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;11.0;10.0;5;20.0;
3;1;8.0;10.0;4;21.0;1;11.0;10.0;5;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;11.0;10.0;5;20.0;
5;2;8.27600002289;11.3199996948;3;23.5301437378;1;12.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;3;24.1666051149;1;13.0;10.0;5;20.0;
7;2;10.4374866486;11.543302536;3;24.6938792467;1;14.0;10.0;5;20.3999996185;
8;2;10.5561218262;11.7641716003;3;25.3783872128;1;14.1800003052;10.1999998093;5;20.7264003754;
9;2;10.7101373672;12.0549411774;3;25.9448523521;1;14.3268795013;10.3632001877;5;21.8194274902;
10;2;10.8375911713;12.2827939987;3;26.4161262512;1;14.8187427521;10.9097137451;5;22.7316036224;
11;2;10.9436283112;12.4589796066;4;26.6255387068;2;16.8187427521;11.3658018112;4;24.4745616913;
12;2;13.8643445969;12.5;4;26.7616688013;2;18.8187427521;11.7372808456;4;25.1973980665;
13;2;15.8643445969;12.5;4;26.9068008661;2;20.3272438049;12.0336990356;5;25.8079570532;
14;2;16.956287384;12.5;4;27.0611219406;2;21.3926868439;12.2662630081;5;26.3302583694;
15;2;17.9910087585;12.5;4;27.2247519493;2;22.465719223;12.446267128;5;26.6183350086;
16;2;19.0278244019;12.5;4;27.3977320194;2;22.8187427521;12.7427501678;5;26.8187118769;
17;2;20.0667457581;12.5;4;27.5800139904;2;24.6371631622;12.5;5;27.0402543545;
18;2;19.625;13.5;5;27.771450758;2;25.7368564606;12.5;5;27.2842636108;
19;2;19.625;13.8857250214;5;27.971786499;2;26.2779178619;12.5;6;27.5518820286;
20;2;19.625;13.9858932495;5;28.1806499958;2;26.3983459473;12.5;6;27.8440244198;
21;2;19.625;14.0903253555;6;28.3975496292;2;26.5298118591;12.5;6;28.1613030434;
22;2;19.625;14.1987743378;6;28.621871233;2;26.672586441;12.5;7;28.5039470196;
23;2;19.625;14.3109359741;6;28.852878809;2;26.8267765045;12.5;7;28.871723175;
24;2;19.625;14.4264392853;6;29.0897197723;2;26.992275238;12.5;7;29.263862133;
25;2;19.625;14.5448598862;8;29.331433773;2;27.1687374115;12.5;7;29.6789975166;
26;2;19.625;14.6657171249;8;29.5769639015;2;27.3555488586;12.5;7;30.1151270866;
27;2;19.625;15.6657171249;8;29.8251743317;2;27.5518074036;12.5;7;30.5695996284;
28;2;19.625;15.8776226044;9;30.074868679;2;27.7563209534;12.5;7;31.0391392708;
29;2;19.625;16.0524082184;9;30.3248124123;2;25.7563209534;13.5;7;31.5199065208;
30;2;19.625;16.2273693085;9;30.5737571716;2;23.25;15.5;7;32.007601738;
31;3;19.625;16.4016304016;7;46.8204650879;2;24.25;15.3030405045;7;32.4976010323;
32;3;20.625;17.5743255615;7;47.7037329674;2;22.25;16.4990406036;7;32.9851250648;
33;3;21.625;16.7446136475;7;48.501522541;2;21.25;17.6940498352;8;33.465420723;
34;3;22.625;16.911693573;7;49.2162890434;2;21.25;16.6940498352;8;33.9339466095;
35;3;23.625;17.0748176575;7;49.8527603149;2;19.25;18.6940498352;8;34.3865451813;
36;3;22.625;16.0748176575;8;50.4170951843;2;18.25;20.6940498352;9;34.8195896149;
37;4;22.625;16.0748176575;8;50.9161539078;2;20.25;21.6940498352;9;35.2300891876;
38;4;23.625;17.0748176575;8;51.3569436073;2;22.25;22.5;10;35.6157541275;
39;4;24.625;17.6754989624;8;51.5862770081;2;21.25;23.5;9;35.9750175476;
40;4;22.625;18.8103942871;9;51.7693886757;2;22.25;24.5;9;36.307009697;
41;4;21.625;19.9385719299;9;51.9426937103;3;23.25;25.5;10;36.6115064621;
42;4;21.625;21.059885025;9;52.1060991287;3;24.25;26.5;10;36.8888463974;
43;4;22.625;24.059885025;9;52.2596206665;3;25.25;27.2555389404;11;37.1398382187;
44;4;23.625;27.059885025;9;52.4033689499;3;25.25;27.3559341431;12;37.3656587601;
45;4;24.625;29.059885025;10;52.5375394821;3;25.25;27.4462623596;12;37.5677556992;
46;4;25.625;31.059885025;10;53.6623973846;3;25.25;27.5271034241;12;37.747756958;
47;4;27.625;34.0598831177;11;53.9082659483;3;25.25;27.5991020203;12;37.9073896408;
48;4;29.3250007629;35.6447868347;11;54.1609443426;3;25.25;27.6629562378;12;38.0;
49;4;29.7076301575;36.7198600769;12;54.4222650528;3;25.25;27.7000007629;12;39.0;
50;4;29.3250007629;37.7891769409;13;54.6183350086;3;26.25;28.7000007629;13;39.0199999809;
51;4;29.3250007629;38.7999992371;13;54.8187118769;3;27.25;29.7000007629;13;39.0401959419;
52;4;29.3250007629;38.7999992371;14;55.0402543545;3;27.25;30.7000007629;14;39.0605818033;
53;5;29.3250007629;38.7999992371;13;55.2842636108;3;27.25;31.7000007629;13;39.0811508894;
54;5;29.3250007629;36.7999992371;13;55.5518820286;3;27.25;32.7000007629;14;39.1018965244;
55;5;29.3250007629;35.7999992371;13;55.8440244198;3;27.25;33.2509498596;15;39.1228116751;
56;5;29.3250007629;34.7999992371;11;56.1613030434;3;27.25;33.2614059448;14;39.1438889503;
57;5;29.3250007629;33.7999992371;11;56.5039470196;3;27.25;33.2719459534;13;39.1651208401;
58;4;27.3250007629;27.5;10;47.871723175;4;27.25;33.2825622559;11;48.1864993572;
59;4;27.3250007629;27.5;10;48.263862133;4;29.25;32.2932510376;11;48.2080165148;
60;4;27.3250007629;27.5;11;48.6789975166;4;31.25;32.3040084839;12;48.2296639681;
61;4;27.3250007629;27.5;13;49.1151270866;4;29.25;34.31483078;12;48.2514331341;
62;4;27.3250007629;27.5;12;49.5695996284;4;29.25;36.325717926;11;49.843315959;
63;4;27.3250007629;27.5;13;50.0391392708;4;29.7000007629;38.8366584778;11;51.161857605;
64;4;27.3250007629;27.5;14;50.5199065208;4;30.0510005951;39.5334434509;10;52.2435394526;
65;4;27.3250007629;27.5;13;51.1379995346;5;30.3185329437;39.9659767151;8;53.1270149946;
66;4;27.3250007629;28.5;13;53.1505684853;5;30.5187683105;40.3091278076;8;53.7006157637;
67;4;26.5499992371;29.0;13;54.8839979172;5;30.5999984741;40.5065383911;9;54.0518183708;
68;4;26.7255020142;30.3899993896;12;56.374045372;5;30.5999984741;40.6013412476;10;54.3609243631;
69;5;25.8592681885;28.6872596741;11;57.4968557358;5;30.5999984741;40.6850166321;10;54.428878665;
70;5;26.9593849182;28.9097423553;11;58.2892351151;5;29.5999984741;39.6962203979;10;54.4513280392;
71;5;28.0;29.0;13;58.8768291473;5;29.5999984741;39.707447052;11;55.4738043547;
72;5;28.2999992371;29.0;13;59.4340677261;6;28.5999984741;42.7186851501;10;55.5562974215;
73;5;26.2999992371;30.0;13;59.9561395645;6;29.5999984741;42.7299346924;10;55.6417613029;
74;4;20.2999992371;24.0;13;40.4396295547;7;27.5999984741;45.7411804199;10;75.7302547693;
75;4;18.2999992371;25.0;13;40.8825263977;7;30.5999984741;43.7524261475;11;75.821828723;
76;4;17.2999992371;26.0;13;41.2841358185;7;31.5999984741;45.763671875;11;75.9165246487;
77;4;16.2999992371;27.0;14;41.6449146271;7;32.5999984741;48.4400405884;11;76.0143737793;
78;4;15.2999992371;28.0;14;41.9662637711;7;33.5999984741;50.4889678955;13;76.1153953075;
79;4;14.0;26.0;15;42.2503004074;8;34.5999984741;52.5394821167;12;76.2195951939;
80;4;14.0;25.0;16;42.4996376038;8;34.5999984741;54.591583252;12;76.3269649744;
81;4;14.0;24.0;14;42.7171850204;8;34.5999984741;56.6452636719;15;76.4374806881;
82;4;14.0;24.0;14;42.9059791565;8;34.5999984741;58.7005233765;15;76.5511010885;
83;4;14.0;24.0;14;43.0;8;34.5999984741;60.7573318481;15;76.6677672863;
84;4;14.0;24.0;16;43.0;8;34.5999984741;62.8156661987;17;76.7874013186;
85;4;14.0;24.0;16;43.0;9;34.5999984741;64.8754806519;16;77.9099054337;
86;4;14.0;24.0;16;43.0;9;35.5999984741;67.9367370605;16;78.1251620054;
87;3;14.0;24.0;16;43.0;10;36.5999984741;70.9993667603;15;78.3501514196;
88;3;14.0;24.0;16;43.0;10;36.5999984741;74.0633010864;18;78.58509624;
89;3;14.0;24.0;16;43.0;10;37.5999984741;74.1284637451;18;78.8301849365;
90;3;14.0;24.0;16;43.0;10;36.5999984741;77.1947631836;19;79.0855658054;
91;3;14.0;25.0;15;43.0;10;36.5999984741;80.2621002197;19;79.3513387442;
92;3;14.0;24.0;14;43.0;10;37.5999984741;79.8191223145;20;79.6275476217;
93;3;14.0;24.0;14;43.0;10;36.5999984741;82.0124435425;20;80.9141720533;
94;3;14.0;24.0;14;43.0;10;37.5999984741;85.2145996094;20;81.2611174583;
95;3;14.0;24.0;14;43.0;10;39.5999984741;85.4255981445;21;81.6201825142;
96;3;14.0;24.0;14;43.0;11;38.5999984741;90.6013031006;22;81.9753347635;
97;3;14.0;24.0;15;43.0;12;38.5999984741;93.9171218872;21;82.3379667997;
98;3;14.0;24.0;15;43.0;12;38.5999984741;97.2423324585;22;82.7118780613;
