Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;2;11.3000001907;10.0;4;21.0;
3;1;8.0;10.0;5;21.0;2;11.3000001907;10.0;3;21.1200000048;
4;1;8.14999961853;10.5;5;21.8400001526;2;11.3360004425;10.0;3;21.2530560493;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;12.5638751984;10.0;3;21.4002518654;
6;2;9.27600002289;11.4650716782;4;24.086605072;2;13.6301136017;10.0;3;21.5626775026;
7;2;10.4194869995;11.543302536;4;24.6483432055;2;14.7032051086;10.0;3;22.1570323706;
8;2;10.545876503;11.7641716003;4;25.3741383553;2;14.970664978;10.1999998093;3;22.698546052;
9;2;10.7091808319;12.0549411774;4;25.9908564091;2;15.2143449783;10.3632001877;3;24.1076657772;
10;2;10.8479423523;12.2827939987;4;26.5224512815;2;15.848449707;10.9097137451;3;25.3793644905;
11;2;10.9675512314;12.4589796066;5;26.8033770323;2;17.848449707;11.3658018112;3;26.5288131237;
12;2;13.8882675171;12.5;5;27.0233280659;2;19.848449707;11.7372808456;3;27.5781302452;
13;2;15.8882675171;12.5;5;27.2656555176;2;21.3985729218;12.0336990356;4;28.5519375801;
14;2;17.0370292664;12.5;5;27.5315153599;2;22.6274776459;12.2662630081;4;29.473883152;
15;2;18.0968475342;12.5;5;27.8218417168;2;23.8803501129;12.446267128;4;30.1961040497;
16;2;19.1621704102;12.5;5;28.1372716427;2;25.1569900513;12.5;4;30.8614077568;
17;2;20.2331428528;12.5;5;28.4780650139;2;26.4563751221;12.5;4;31.5729002953;
18;2;20.4075641632;12.5;6;28.8440246582;2;27.7765483856;12.5;4;32.3239922523;
19;2;20.489906311;12.5;6;29.2344226837;2;28.5457954407;12.5;4;33.1059026718;
20;2;20.5777454376;12.5;6;29.6479387283;2;28.8976554871;12.5;4;33.9079084396;
21;2;20.6707859039;12.5;6;30.082616806;2;29.2585582733;12.5;6;34.7178239822;
22;2;20.7685890198;12.5;6;30.5358533859;2;29.6230201721;12.5;6;35.5226716995;
23;3;20.8705673218;12.5;6;31.0044159889;2;29.9852027893;12.5;6;36.3094863892;
24;4;20.9759941101;12.5;5;31.4845042229;2;30.3392677307;12.5;6;37.0661487579;
25;4;21.0840129852;12.5;5;31.9718470573;2;30.6797676086;12.5;6;37.7821359634;
26;4;19.625;13.5;5;32.4618391991;2;31.0019607544;12.5;8;38.449090004;
27;4;20.625;12.5;5;32.9497060776;2;31.3020896912;12.5;8;39.0611457825;
28;4;21.413684845;12.5;5;33.4306869507;2;31.5775146484;12.5;8;39.6149940491;
29;4;19.625;13.5;5;33.9002180099;2;31.8267478943;12.5;8;40.1097126007;
30;4;20.625;12.5;5;34.3541097641;2;32.049369812;12.5;8;40.5464267731;
31;4;21.625;12.5;5;34.7886915207;2;32.245891571;12.5;8;40.9278697968;
32;4;19.625;13.5;5;35.2009239197;2;32.4175415039;12.5;8;41.2579154968;
33;4;20.625;12.5;6;35.5884647369;2;32.5660629272;14.5;10;41.54114151;
34;4;19.625;13.5;6;35.9496936798;2;32.6935119629;16.5;10;41.782453537;
35;4;20.625;12.5;6;36.2836933136;2;32.80210495;18.5;10;41.986787796;
36;4;19.625;13.5;6;36.5901927948;2;32.8940544128;20.5;11;42.0;
37;4;19.625;14.5;6;36.8694944382;2;32.9000015259;22.5;11;42.0;
38;4;19.625;15.5;5;37.1223745346;2;32.9000015259;22.5;12;42.0;
39;4;20.625;13.5;5;38.34998703;2;32.9000015259;22.5;12;42.0;
40;4;20.625;15.0;5;38.6837633848;2;32.9000015259;22.5;13;42.0;
41;4;20.625;13.5;5;39.0107511282;2;32.9000015259;22.5;13;42.0;
42;4;20.9119720459;14.5;5;39.3341054916;2;32.9000015259;22.5;14;42.0;
43;4;19.9484882355;13.5;5;39.6183350086;3;32.9000015259;22.5;14;42.0;
44;4;21.9891242981;16.5;5;39.8187118769;3;32.9000015259;22.5;14;42.0;
45;4;24.0342102051;19.5;5;40.0402543545;3;32.9000015259;22.5;15;42.0;
46;4;25.0090579987;22.5;5;40.2842636108;3;32.9000015259;22.5;15;42.0;
47;4;25.0639591217;25.5;6;40.5518820286;4;32.9000015259;22.5;12;52.0;
48;4;25.124174118;27.5;7;40.8440244198;4;33.9000015259;23.5;12;52.3999996185;
49;4;25.1899051666;27.5;7;41.1613030434;4;34.9000015259;24.5;12;52.7743997574;
50;4;25.2612934113;27.5;9;41.5039470196;4;35.9000015259;25.5;12;53.1219387054;
51;4;25.338388443;27.5;9;41.871723175;4;36.9000015259;26.5;12;54.4420347214;
52;4;25.4211387634;27.5;9;42.263862133;4;38.4744567871;28.5;12;56.5691385269;
53;5;26.5093688965;28.5;9;43.6789975166;4;40.3220558167;30.0;13;58.3506484032;
54;5;27.6027755737;29.5;9;44.2851270437;4;41.0212020874;31.3899993896;13;59.8262569904;
55;5;27.7009048462;30.5;9;44.9365105629;4;41.5897750854;32.6872596741;13;61.0402401686;
56;5;27.8031597137;31.5;9;45.6334097385;4;42.0475578308;33.9097442627;13;61.887945056;
57;5;27.9088058472;32.5;10;46.3757287264;4;42.3471679688;34.6059188843;15;62.4644167423;
58;5;28.0169792175;32.5;11;47.1630311012;4;42.53099823;34.6288757324;15;62.9074580669;
59;5;26.5499992371;33.5;11;47.994549036;4;42.6605911255;34.6524085999;16;63.1457512379;
60;6;27.5499992371;32.5;11;48.8691761494;5;42.7033615112;34.6765136719;15;63.3616122007;
61;6;28.3466529846;32.5;11;49.7854235172;5;42.7408256531;34.7011871338;16;63.4528282881;
62;6;28.4547195435;32.5;12;50.7413256168;6;42.75;34.7264137268;16;63.5043625832;
63;6;28.5601387024;32.5;13;51.7342910767;6;42.75;34.7521820068;16;63.5569496155;
64;6;28.6619720459;32.5;13;52.7609009743;6;42.75;34.7784729004;16;63.6105561256;
65;6;26.7594070435;33.5;13;53.8166708946;6;42.75;34.8052787781;15;63.6651450396;
66;6;25.851770401;34.5;12;54.8958215714;6;42.75;36.7784729004;15;64.72067523;
67;6;24.9385452271;35.5;13;58.7818217278;6;43.75;38.7784729004;16;64.877101779;
68;6;27.1548995972;34.5;12;61.5036063194;6;44.75;40.7784729004;16;65.0432759523;
69;6;27.2335319519;36.3899993896;13;64.0223846436;6;44.75;42.7784729004;17;65.2197099924;
70;6;27.2335319519;37.6872596741;13;66.3554695845;6;44.75;44.7784729004;17;65.406901598;
71;7;28.2335319519;39.9097442627;12;68.3675718307;6;44.75;46.7784729004;17;65.6053225994;
72;7;27.908531189;40.0;12;70.1216922998;6;44.75;47.7784729004;18;65.8154057264;
73;7;29.908531189;39.0;14;71.7784870863;6;44.75;48.7784729004;19;66.0375304222;
74;7;31.908531189;39.0;14;73.2101016045;7;44.75;49.7784729004;18;66.2720057964;
75;7;30.5699367523;40.0;14;74.491078496;7;44.75;50.0963249207;18;66.5190532207;
76;7;29.6294727325;41.0;14;75.6568243504;7;44.75;50.1271018982;19;66.7787868977;
77;7;29.5901756287;42.0;15;76.7029694319;7;44.75;50.1580505371;19;67.0511960983;
78;7;29.6354808807;43.0;15;78.6305054426;8;44.75;50.1891326904;17;91.3361246586;
79;7;30.6746940613;45.0;16;79.3160114288;8;45.75;51.2203063965;17;93.3132560253;
80;7;31.6749992371;47.0;16;79.9170277119;8;46.75;52.2515411377;18;94.9882719517;
81;7;31.6749992371;49.0;16;80.4428380728;8;46.75;53.2827911377;18;96.3774960041;
82;7;31.6749992371;51.0;17;80.9024499655;8;46.75;54.3140182495;19;97.5184912682;
83;7;29.6749992371;53.0;17;81.3050940037;9;46.75;55.3451843262;17;98.4573669434;
84;7;28.6749992371;54.0;18;81.5658406019;9;46.75;56.3762550354;17;99.2393946648;
85;7;28.2999992371;55.0;18;81.6982460022;9;44.75;58.9700622559;17;99.6312334538;
