Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;2;7.0;11.1999998093;3;21.0;1;11.0;10.0;5;20.0;
3;2;8.14999961853;10.0;2;22.0299999714;1;11.0;10.0;5;20.0;
4;2;8.30449962616;10.5;2;22.900591135;1;11.0;10.0;5;20.0;
5;2;8.43508911133;10.9200000763;2;23.6219098568;1;12.0;10.0;5;20.0;
6;2;9.52164745331;11.2650718689;2;24.2101223469;1;13.0;10.0;5;20.0;
7;2;10.4472780228;11.543302536;2;24.6841782331;1;14.0;10.0;5;20.3999996185;
8;2;10.5539398193;11.7641716003;2;25.3101495504;1;14.1800003052;10.1999998093;5;20.7264003754;
9;2;10.6947841644;12.0549411774;2;25.8114621639;1;14.3268795013;10.3632001877;4;21.8194274902;
10;2;10.8075790405;12.2827939987;2;26.2106050253;1;14.8187427521;10.9097137451;4;22.7316036224;
11;2;10.8973855972;12.4589796066;2;26.3405687809;1;15.8187427521;11.3658018112;4;23.4745616913;
12;2;13.8181018829;12.5;2;26.3896260262;1;16.8187427521;11.7372808456;4;24.0673980713;
13;2;15.8181018829;12.5;2;26.4397966862;1;17.8187427521;12.0336990356;5;24.5325260162;
14;2;16.8512115479;12.5;3;26.4910563231;1;18.8187427521;12.2662630081;5;24.892534256;
15;3;17.862745285;12.5;2;26.5433766842;1;19.8187427521;12.446267128;5;25.0;
16;3;18.8745155334;12.5;2;26.5967253447;1;20.8187427521;12.5;5;25.0;
17;3;19.8865184784;12.5;2;26.6510663033;1;21.8187427521;12.5;5;25.0;
18;3;19.9964904785;12.5;3;26.7063593864;1;22.8187427521;12.5;4;25.0;
19;3;20.0089302063;12.5;3;26.7625607252;1;23.25;12.5;5;25.0;
20;3;19.625;13.0287685394;4;26.8196225166;1;23.25;12.5;6;25.0;
