Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;2;11.3000001907;10.0;4;21.0;
3;2;8.14999961853;10.0;4;22.1200000048;2;11.3000001907;10.0;4;21.0900000334;
4;2;8.31799983978;10.5;4;23.0930562019;2;11.3269996643;10.0;4;21.1871190071;
5;2;8.46395874023;10.9200000763;4;23.9303956032;2;12.5342035294;10.0;4;21.2917383909;
6;2;9.59105682373;11.2650718689;4;24.6492825747;2;13.5812826157;10.0;4;21.4042263031;
7;2;10.5460891724;11.543302536;4;25.2697491646;2;14.631901741;10.0;4;21.9389723539;
8;2;10.6856927872;11.7641716003;4;26.0647602081;2;14.8725376129;10.1999998093;4;22.4109756947;
9;2;10.8645715714;12.0549411774;4;26.7559332848;2;15.0849380493;10.3632001877;3;23.7114653587;
10;2;11.0200843811;12.2827939987;4;27.366976738;2;15.6701593399;10.9097137451;3;24.8527286053;
11;2;11.1575698853;12.4589796066;5;27.7319030762;2;17.6701602936;11.3658018112;3;25.8476524353;
12;2;14.078286171;12.5;5;28.0397365093;2;19.6701602936;11.7372808456;3;26.7164058685;
13;2;16.0782852173;12.5;5;28.3728995323;2;21.0107955933;12.0336990356;4;27.4822225571;
14;2;17.2861595154;12.5;5;28.7313408852;2;22.14610672;12.2662630081;4;28.168181181;
15;2;18.3668079376;12.5;5;29.1144995689;2;23.2927837372;12.446267128;4;28.6269388199;
16;2;19.4530181885;12.5;4;29.521238327;2;24.4508647919;12.5;4;29.0031633377;
17;2;20.5445346832;12.5;4;29.949795723;2;25.6201667786;12.5;4;29.4033532143;
18;2;20.7387046814;12.5;5;30.3977622986;2;26.8002510071;12.5;4;29.8259272575;
19;2;20.8394966125;12.5;5;30.8620905876;2;27.421667099;12.5;5;30.268661499;
20;2;20.9439697266;12.5;5;31.3391423225;2;27.6208972931;12.5;5;30.7286863327;
21;2;21.0513076782;12.5;5;31.824775219;2;27.8279075623;12.5;6;31.2025241852;
22;2;21.1605739594;12.5;5;32.3144683838;2;28.041135788;12.5;6;31.6861643791;
23;2;21.2707557678;12.5;5;32.8034796715;2;28.2587738037;12.5;6;32.1751794815;
24;2;21.3807830811;12.5;5;33.2870235443;2;28.4788303375;12.5;6;32.6648726463;
25;3;21.4895801544;12.5;6;33.7604589462;3;28.6991920471;12.5;5;33.1504516602;
26;4;19.625;13.5;5;34.2194671631;3;28.9177036285;12.5;5;33.6272163391;
27;4;19.625;14.5;5;34.6602067947;3;29.1322479248;12.5;5;34.0907382965;
28;4;20.625;12.5;5;35.0794401169;3;29.3408317566;12.5;5;34.5370264053;
29;4;19.625;13.5;5;35.4746103287;3;29.5416622162;12.5;5;34.9626617432;
30;4;19.625;14.5;5;35.8438816071;3;27.5416622162;13.5;5;35.3648881912;
31;4;20.625;12.5;5;36.1861276627;3;26.5416622162;14.5;5;35.7416639328;
32;4;19.625;13.5;5;36.5008907318;3;25.5416622162;15.5;5;36.0916633606;
33;4;19.625;14.5;5;36.7883110046;3;25.25;16.5;5;36.4142465591;
34;4;20.625;12.5;5;37.0490322113;3;25.25;17.0656986237;5;36.7093906403;
35;4;19.625;13.5;5;38.2841053009;3;25.25;17.1837558746;6;36.9776067734;
36;4;20.625;15.0;5;38.5348873138;3;26.25;18.5;6;37.2198410034;
37;4;22.625;13.0200004578;6;38.7641329765;3;27.25;19.5;6;37.4373731613;
38;4;21.625;14.0405921936;6;38.9735434055;3;28.25;20.5;6;37.6317224503;
39;4;22.625;13.0617771149;6;39.1648739576;3;29.25;21.5;6;37.8045597076;
40;4;21.8875999451;13.5;6;39.211841464;3;30.25;22.5;6;37.9576301575;
41;4;23.5499992371;13.1059207916;6;39.2577478886;3;31.0809326172;22.5;7;39.0;
42;4;24.8329925537;16.1059207916;6;40.3048160076;3;32.0999984741;23.5;7;39.0900000334;
43;4;25.8435821533;20.1059207916;7;40.3830313683;4;34.0999984741;25.5;6;40.1871190071;
44;4;26.8544311523;24.1059207916;7;40.4629670382;4;35.6342010498;27.5;6;40.3817384243;
45;5;26.8655338287;28.1059207916;4;50.5445944071;5;36.1717834473;29.5;5;40.5913453102;
46;5;27.8768863678;32.5;4;51.0278794765;5;35.6342048645;31.5;5;40.8166688681;
