Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
78;15;68.8275299072;77.0;12;115.340879917;4;37.5999984741;35.9363975525;22;52.9455137253;
79;15;69.1516723633;79.0;13;117.085859418;4;37.5999984741;35.9782066345;22;53.0471186638;
80;15;69.1074523926;82.0;14;118.826717257;4;37.5999984741;36.0188484192;23;53.1456828117;
81;15;69.4247131348;83.9697647095;14;120.560333967;4;37.5999984741;36.0582733154;23;53.2411003113;
82;15;69.1358566284;85.1113128662;15;122.319343686;4;37.5999984741;36.0964393616;24;53.3332858086;
83;15;68.5897674561;86.2587585449;16;124.100546122;4;37.5999984741;36.13331604;24;53.4221763611;
84;15;68.7480773926;87.4117507935;17;125.898296356;4;37.5999984741;36.1688690186;24;53.5077285767;
85;15;67.2092819214;90.3040771484;18;127.704245567;4;37.5999984741;36.2030906677;24;53.5899186134;
86;15;63.710811615;94.5131835938;20;129.507446408;5;37.5999984741;36.2359695435;23;53.6687412262;
87;15;63.1830215454;97.727355957;20;131.176567554;5;38.5999984741;37.2674942017;22;54.7442069054;
88;15;61.6883926392;100.42414856;22;132.791698694;5;39.5999984741;38.2976837158;22;54.8563423157;
89;16;63.3967819214;106.645736694;22;134.383985639;6;39.5999984741;39.3265380859;21;55.356952548;
90;16;64.8088378906;113.671318054;22;137.691108942;6;39.5999984741;40.4936676025;21;55.8671901226;
91;16;65.6521148682;118.336585999;25;141.053394437;7;39.5999984741;41.6623840332;11;56.3837869167;
92;16;65.14402771;125.167366028;25;144.446878672;7;39.5999984741;41.831287384;10;56.9033994675;
93;16;68.3322296143;126.62272644;25;147.84799099;7;39.5999984741;41.9989509583;10;57.4227249622;
94;16;70.6272277832;129.837722778;24;152.233885288;7;39.5999984741;42.1639709473;10;58.9386119843;
95;16;69.0481414795;133.464538574;25;155.642645836;7;40.5999984741;43.3250198364;11;59.5081633329;
96;16;69.7615280151;135.644287109;24;158.996403456;7;41.5999984741;44.4808769226;12;60.0717837811;
97;17;70.258140564;141.812088013;24;162.275650144;7;41.5999984741;45.6304779053;12;62.6273812056;
98;17;70.8266220093;144.957672119;24;165.462351322;7;43.5999984741;48.77293396;13;63.2932906151;
99;17;70.1405410767;148.071456909;22;168.540225387;7;45.5999984741;51.9075393677;11;66.7597417831;
100;17;70.3388595581;151.144927979;24;171.495045543;7;46.6800003052;54.8510246277;11;69.730257988;
