Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_CRAY;Research_KI_6_SP_CRAY;Industry_KI_6_SP_CRAY;Ships_KI_6_SP_CRAY;Population_KI_6_SP_CRAY;
1;1;6.0;12.0;4;20.0;1;11.0;10.0;4;20.0;
2;2;7.0;11.1999998093;4;21.0;1;11.0;10.0;5;20.0;
3;2;8.14999961853;10.0;3;22.0;1;11.0;10.0;6;20.0;
4;2;8.29999923706;10.5;3;22.8400001526;1;11.0;10.0;6;20.0;
5;2;8.42599964142;10.9200000763;2;23.5301437378;1;12.0;10.0;6;20.0;
6;2;9.50100040436;11.2650718689;2;24.086605072;1;13.0;10.0;6;20.0;
7;2;10.4194869995;11.543302536;2;24.5283432007;1;14.0;10.0;6;20.3999996185;
8;2;10.5188770294;11.7641716003;2;25.1298823357;2;14.6300001144;10.1999998093;5;21.7264003754;
9;2;10.6542234421;12.0549411774;2;25.6057839394;2;14.7768793106;10.3632001877;5;22.8394274712;
10;2;10.7613010406;12.2827939987;2;25.9785410166;2;15.2777423859;10.9097137451;5;23.7717995644;
11;2;10.8451719284;12.4589796066;3;26.0811508894;2;17.2777423859;11.3658018112;5;24.5351434946;
12;2;13.7658882141;12.5;3;26.1018965244;2;19.2777423859;11.7372808456;5;25.1485489607;
13;2;15.7658882141;12.5;3;26.1228116751;2;20.3052597046;12.0336990356;5;25.6344225407;
14;2;16.7798900604;12.5;3;26.1438889503;2;20.535490036;12.2662630081;5;26.0153459311;
15;2;17.7846317291;12.5;3;26.1651208401;2;20.706905365;12.446267128;5;26.1438889503;
16;2;18.7894077301;12.5;3;26.1864993572;2;20.764749527;12.5;4;26.1651208401;
17;2;19.7942180634;12.5;3;26.2080165148;2;22.725944519;12.5;4;26.1864993572;
18;2;19.8968029022;12.5;4;26.2296639681;2;23.7355651855;12.5;4;26.2080165148;
19;2;19.9016742706;12.5;4;26.2514331341;2;24.7452487946;12.5;5;26.2296639681;
20;2;19.9065723419;12.5;4;26.2733153105;2;25.754989624;12.5;5;26.2514331341;
21;2;19.9114952087;12.5;4;26.2953014374;2;25.8131446838;12.5;5;26.2733153105;
22;2;19.9164428711;12.5;4;26.3173824549;2;25.8229923248;12.5;5;26.2953014374;
23;2;19.9214115143;12.5;5;26.3395489454;2;25.8328857422;12.5;5;26.3173824549;
24;4;19.926399231;12.5;4;26.3617914915;2;25.8428230286;12.5;5;26.3395489454;
25;4;19.9314041138;12.5;4;26.3841004372;3;25.8527965546;12.5;4;26.3617914915;
26;4;19.625;12.9152297974;4;26.4064661264;3;25.25;12.5;5;26.3841004372;
27;4;17.9414558411;13.5;4;26.428878665;3;25.872844696;12.5;5;26.4064661264;
28;4;18.625;13.2144393921;4;26.4513280392;3;25.8829097748;12.5;5;26.428878665;
29;4;16.95154953;13.5;4;26.4738043547;3;25.8929958344;12.5;5;26.4513280392;
30;4;17.625;13.2369022369;4;26.4962974787;3;25.9030971527;12.5;5;26.4738043547;
31;4;18.625;13.2481489182;4;26.5187973976;3;25.9132118225;12.5;5;26.4962974787;
32;4;19.625;13.2593984604;4;26.5412938595;3;25.9233341217;12.5;5;26.5187973976;
33;4;19.625;13.270647049;4;26.5637768507;3;25.9334583282;12.5;5;26.5412938595;
