Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
71;6;34.4000015259;40.8809204102;3;42.4516837597;8;40.7999992371;63.0053710938;10;117.799407125;
72;6;34.4000015259;42.087890625;4;43.0721223354;8;42.7999992371;65.0354232788;10;121.244784355;
73;6;34.4000015259;43.3046035767;3;43.7147374153;8;43.7999992371;67.0657501221;12;123.848680377;
74;6;34.4000015259;46.3046035767;3;44.3785499334;9;44.7999992371;68.9661560059;11;125.674202323;
75;6;34.4000015259;49.3046035767;3;45.0623224974;9;45.7999992371;71.042678833;14;126.761190891;
76;6;34.4000015259;52.3046035767;3;46.7645306587;9;46.7999992371;73.1209564209;14;127.401796579;
77;6;35.4000015259;56.3046035767;5;47.5133390427;9;47.7999992371;75.2008972168;14;127.564848661;
78;7;36.4000015259;60.3046035767;4;48.2771728039;9;48.7999992371;77.2824249268;14;127.730885983;
79;7;37.4000015259;61.2148017883;4;49.0535149574;9;49.7999992371;79.3654403687;18;127.899701118;
80;7;36.4000015259;64.0624847412;4;49.8395065069;9;50.25;81.4498519897;19;128.071065426;
81;7;36.4000015259;66.2729415894;4;50.6319612265;9;49.25;84.5497436523;19;128.244729519;
82;7;36.4000015259;67.3215026855;5;51.4274033308;9;47.25;88.6713104248;20;128.4204247;
83;7;36.4000015259;67.6222000122;5;52.2221200466;9;46.25;92.7942962646;20;128.597863436;
84;7;36.4000015259;68.9231109619;6;54.012239337;9;49.8097877502;93.9185028076;20;128.776741266;
85;7;37.4000015259;71.2224960327;10;54.8238214254;9;52.8276748657;96.0437164307;20;128.95673871;
86;7;38.4000015259;73.5185470581;11;55.623555541;9;55.2456741333;98.1697158813;22;129.137522936;
87;7;35.4000015259;70.7905044556;13;54.8391429186;9;57.9137496948;100.296264648;23;129.318750858;
88;7;32.2200012207;67.5589370728;15;54.1485196948;9;59.9318733215;102.423126221;23;129.500071526;
89;7;32.0579986572;65.7822875977;16;53.5413891077;9;61.5500106812;105.550048828;27;129.681128263;
90;7;31.9122009277;61.598815918;17;53.0085202456;9;62.5681152344;108.67678833;29;129.861562729;
91;7;29.9122009277;58.6464157104;16;52.5416433215;9;63.5861587524;111.803092957;30;130.041017294;
92;7;30.9122009277;54.4138259888;16;52.0907378793;9;63.6041030884;114.478713989;31;130.219138384;
93;6;26.9122009277;47.4339179993;17;46.8793952465;10;63.6219177246;116.603401184;26;135.064767838;
94;7;27.9122009277;43.7800674438;15;46.3914561272;10;64.6395568848;118.926902771;26;135.348022938;
95;7;25.9122009277;42.7800674438;15;45.9523096681;10;65.6569976807;121.04901123;27;135.626276016;
96;7;26.9122009277;45.5983161926;14;45.5570787787;10;66.1626281738;123.169464111;27;136.094422817;
97;7;27.9122009277;49.5208320618;14;45.2013714612;10;66.2094421387;125.288070679;27;136.965866327;
98;7;28.9122009277;55.0510940552;15;44.8812343776;10;66.296585083;127.687042236;28;137.856338739;
99;7;29.108373642;58.9883346558;13;44.5931107402;10;66.385635376;129.098617554;29;139.760881901;
100;7;29.0575351715;62.4410629272;13;45.3337991387;10;68.4760894775;129.520629883;28;140.734103203;
