Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
89;5;28.1000003815;55.0;18;83.0;11;32.5999984741;107.499389648;18;107.539783716;
90;6;28.1000003815;54.0;14;98.0;11;31.5999984741;109.621330261;19;108.577250004;
91;6;28.1000003815;57.0;12;99.0499992371;11;32.5999984741;112.742156982;20;109.419899821;
92;6;30.1000003815;57.0;12;100.004974365;11;36.5999984741;106.86177063;21;110.082308054;
93;6;30.1000003815;57.0;12;100.854377747;11;34.5999984741;109.980102539;23;110.702079535;
94;6;29.1000003815;60.0;13;101.594552994;11;35.5999984741;114.097068787;24;111.279171944;
95;6;30.1000003815;60.0;11;102.227781296;11;38.5999984741;112.212562561;24;111.810410261;
96;6;29.1000003815;63.0;11;102.760816574;12;38.5999984741;113.323638916;23;112.246005535;
97;6;29.1000003815;66.0;12;103.203296661;12;38.5999984741;117.394134521;24;112.646937728;
98;6;29.1000003815;69.0;14;103.566289902;12;41.5999984741;115.465042114;24;113.015757799;
99;6;29.1000003815;72.0;14;103.861150742;12;41.5999984741;116.536209106;24;113.355183125;
100;6;29.1000003815;75.0;15;104.0;12;45.0355148315;122.907752991;26;113.627957344;
