Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
68;7;37.8817939758;50.3948783875;7;58.2011679411;7;34.9422492981;43.5;11;69.632324934;
69;7;34.0601501465;53.9146080017;7;59.5882450342;7;35.1443595886;44.5;10;71.6210000515;
70;7;35.4112014771;51.7459144592;10;60.6755905151;7;35.3108673096;45.5;11;73.24687922;
71;7;36.4687423706;52.7755126953;10;61.5490028858;7;35.446598053;46.5;11;74.5506125689;
72;7;37.4767303467;53.7439994812;10;62.387326479;7;35.9249992371;47.5;10;76.2604563236;
73;8;33.0885009766;56.3720855713;7;63.1009988785;7;37.9249992371;49.5;10;76.7347692251;
74;8;32.4767303467;58.4676170349;5;63.7971396446;7;39.9249992371;51.5;11;78.1384263039;
75;8;30.1374111176;60.873916626;5;64.428427577;8;41.9249992371;54.5;9;78.3264167309;
76;8;28.4767284393;62.0483970642;5;64.9503124952;8;43.4249992371;57.5;9;78.5129988194;
77;8;27.4767284393;62.3471908569;5;65.4783992767;8;43.4249992371;60.5;11;78.6980217695;
78;8;26.2123565674;64.1864776611;17;66.0105704069;8;43.9867782593;63.0509490967;11;78.8813536167;
79;9;25.2123565674;65.4429321289;14;67.6674224138;7;42.0085525513;59.5;12;77.9189915657;
80;9;26.0;68.7007904053;14;68.2221425772;7;42.030921936;60.5;12;78.0773860216;
81;9;26.8161392212;72.8705291748;16;69.7743471861;7;42.0538711548;61.5;13;79.2336540222;
82;9;28.0;76.7487945557;19;70.3817976713;8;43.0774078369;63.5;12;79.4477401972;
83;9;29.0;79.1740722656;21;70.9853080511;8;44.1015167236;65.5;12;79.6625685692;
84;10;29.0;81.4709472656;20;71.5829271078;8;45.6876678467;64.5;12;79.8781816959;
85;11;29.0;82.0587921143;20;79.4228647947;8;44.7458953857;66.5;13;80.0946261883;
86;11;30.0;85.0461273193;21;80.2028949261;8;44.8062057495;68.5;13;80.3119497299;
87;12;31.0;85.3109893799;21;80.9628810883;8;45.2034759521;67.165145874;13;80.5301990509;
88;13;34.0;88.1404647827;20;81.70135355;8;44.9331321716;67.5;14;81.7494161129;
89;13;34.0310974121;94.3092727661;21;82.417191267;8;45.2575721741;70.2421722412;14;81.9779421091;
90;13;35.4545860291;100.469314575;21;83.1096104383;8;48.068447113;68.5;15;82.2047659159;
91;13;36.5289344788;105.620292664;22;83.7781405449;9;47.139213562;70.5;14;82.4386260509;
92;14;39.6000289917;105.620292664;22;84.4225999117;9;46.2948265076;73.5;15;82.6794897318;
93;15;40.1678619385;109.620292664;22;85.0430567265;9;46.3405799866;76.5;15;82.9272937775;
94;15;40.0722045898;114.620292664;23;85.6397993565;9;45.4249992371;79.5;15;83.1819418669;
95;15;41.1088829041;118.712234497;23;86.2132947445;9;46.4249992371;80.5;15;83.4433027506;
96;15;42.1428947449;123.237854004;23;86.7641553879;9;46.4871177673;82.5;17;83.7112089396;
97;15;43.1743545532;126.755264282;25;87.2818187475;10;46.5389022827;84.5;16;84.9854552746;
98;15;46.2000007629;124.785667419;26;87.7005546093;10;46.4249992371;88.0348510742;16;85.295797348;
99;15;49.2000007629;125.685462952;20;88.0722447634;10;48.4249992371;89.0779418945;13;85.6125422716;
100;15;50.8499984741;125.723617554;21;88.3684065342;11;48.7021789551;89.0779418945;14;85.935359478;
