Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
86;6;19.3999996185;43.1495819092;9;56.4072487354;9;37.5999984741;83.5510864258;22;117.489970207;
87;6;18.3999996185;44.2036247253;10;56.5178077221;9;36.5999984741;87.6306152344;23;118.144093037;
88;7;19.3999996185;46.1495819092;9;56.6306607723;9;36.5999984741;90.7085571289;24;118.752473831;
89;7;20.3999996185;47.1495819092;8;56.745603323;10;37.5999984741;90.7847595215;23;119.315548897;
90;7;21.3999996185;48.1495819092;9;56.8624122143;10;36.5999984741;93.8591003418;24;119.834653378;
91;7;22.3999996185;49.1495819092;9;56.9808471203;10;36.5999984741;96.9314727783;24;120.311794281;
92;7;23.3999996185;50.1495819092;8;57.1006519794;10;42.5961265564;99.1017608643;22;120.749434471;
93;7;24.3999996185;51.1495819092;8;57.2215571404;10;46.0749435425;101.169891357;22;121.15031147;
94;7;25.3999996185;53.1495819092;9;57.3432817459;10;49.1150283813;101.235794067;23;121.517276764;
95;7;26.3999996185;55.1495819092;9;57.4655361176;10;46.9517250061;106.299423218;23;122.727428913;
96;7;26.3999996185;57.1495819092;10;57.5880241394;10;50.9699211121;102.360717773;27;122.982788205;
97;7;26.3999996185;57.7940139771;12;57.7104465961;10;50.9902763367;107.419677734;26;123.23700583;
98;7;26.3999996185;57.8552246094;9;57.8325037956;10;49.1236991882;111.476272583;24;123.490288019;
99;7;26.3999996185;57.9162521362;9;57.9538981915;10;52.1490287781;110.530517578;24;123.742862105;
100;7;26.3999996185;57.9769515991;10;58.0743379593;10;51.174282074;116.58241272;24;123.994972467;
