Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.0;
7;1;11.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.3999996185;
8;1;11.8999996185;11.5;6;23.4599990845;1;11.1199998856;10.1999998093;5;20.7264003754;
9;2;12.0380001068;11.9299993515;5;24.8212833405;2;11.5179204941;10.3632001877;4;21.9903717041;
10;2;12.4463853836;11.9106416702;5;25.0700000525;2;11.597111702;10.4951858521;4;23.1719120741;
11;2;12.5210008621;12.0;5;26.3655518293;2;11.9515733719;11.0209560394;4;24.1897815466;
12;2;14.4960508347;12.6000003815;5;27.4261214733;2;13.9515733719;11.4571752548;4;25.0591306686;
13;2;16.496049881;13.0788002014;5;28.2803857327;2;15.9515733719;11.8107032776;5;25.8015987873;
14;2;18.496049881;13.4505519867;5;28.9639164209;2;17.0980739594;12.0916318893;5;26.441321969;
15;2;19.5958404541;13.7328653336;5;29.5126875639;2;18.1581878662;12.3113050461;5;27.0020139217;
16;2;20.6340522766;13.943564415;5;29.7616901398;2;19.2246494293;12.4808797836;5;27.2842636108;
17;2;21.6748924255;14.0;5;29.9068236351;2;20.2978534698;12.5;5;27.5518820286;
18;2;22.7184333801;14.0;5;30.0611462593;2;21.3781375885;12.5;5;27.8440244198;
19;2;23.0183429718;14.0;5;30.2247776985;2;22.3532066345;12.5;6;28.1613030434;
20;2;23.0674324036;14.0;5;30.3977591991;2;22.4483909607;12.5;6;28.5039470196;
21;2;23.1193275452;14.0;5;30.5800426006;2;22.5511837006;12.5;6;28.871723175;
22;2;23.1740131378;14.0;5;30.7714805603;2;22.6615161896;12.5;6;29.263862133;
23;2;23.2314434052;14.0;5;30.9718174934;3;22.7791595459;12.5;5;29.6789975166;
24;2;23.2915458679;14.0;5;31.1806821823;3;22.9036998749;12.5;6;30.1151270866;
25;2;22.3999996185;14.9542045593;9;31.3975830078;4;23.034538269;12.5;5;30.5695996284;
26;2;23.3999996185;14.0;9;31.6219055653;4;23.170879364;12.5;5;31.0391392708;
27;2;23.4865722656;14.0;9;31.8529140949;4;23.3117408752;12.5;5;31.5199065208;
28;2;23.5558738708;14.0;11;32.089756012;4;21.5;13.5;6;32.007601738;
29;2;23.6269264221;14.0;11;32.3314704895;4;22.5;12.5;6;32.4976010323;
30;2;23.6994400024;14.0;11;32.5770010948;4;21.5;13.5;6;32.9851250648;
31;2;23.7730998993;14.0;11;32.8252120018;4;21.5;14.5;6;33.465420723;
32;2;23.8475627899;14.0;12;33.0749063492;4;21.5;15.5;6;33.9339466095;
33;2;23.9224720001;14.0;12;33.3248500824;4;21.5;16.0735778809;6;34.3865451813;
34;2;23.9974555969;14.0;12;33.5737948418;4;20.5;15.0735788345;6;34.8195896149;
35;2;24.0721378326;14.0;12;33.8205022812;4;20.5;15.0735788345;6;36.2300891876;
36;2;22.3999996185;15.0;12;34.0637698174;4;21.5;15.8999996185;6;36.6557540894;
37;2;23.3999996185;14.0;12;34.3024535179;4;21.5;14.5;6;37.056201458;
38;2;24.2907352448;14.0;12;34.5354895592;4;21.5;14.9324741364;6;37.4305632114;
39;2;24.3606472015;14.0;12;34.7619123459;4;20.8370666504;13.5;7;38.778613925;
40;2;24.4285736084;14.0;13;34.9808688164;4;21.5;14.3668432236;7;39.2306878567;
41;2;24.494260788;16.0;13;35.1916303635;4;21.8635520935;13.9519996643;7;39.6730171442;
42;2;24.5574874878;18.0;13;35.3935980797;4;24.2599525452;17.9519996643;8;40.1081988811;
43;2;24.6180801392;20.0;13;35.5863051414;4;25.9313163757;21.9519996643;8;40.5391221046;
44;2;24.6758918762;22.0;13;35.7694153786;4;28.1617355347;25.9519996643;8;40.9688448906;
45;2;24.7308235168;24.0;13;35.9427189827;4;28.8699417114;29.9519996643;8;41.4004722834;
46;3;24.7828140259;24.0;13;36.1061229706;4;29.984292984;32.5;9;41.788626194;
47;3;24.8318367004;24.0;13;36.259642601;4;30.0852775574;33.1017456055;9;42.1088316441;
48;3;22.8318367004;25.0;13;36.4033899307;4;30.632648468;32.5;11;42.4545805454;
49;3;23.8318367004;24.0;14;36.5375595093;4;30.7363739014;32.5;12;42.8264480829;
50;3;24.8318367004;24.0;14;36.6624164581;5;30.3483905792;33.1660575867;11;53.2246222496;
51;3;24.9987239838;24.0;14;36.7782831192;5;31.4511833191;34.1882705688;11;54.0488245487;
52;3;25.0334854126;24.0;15;36.8855285645;5;33.0946464539;34.5;12;54.8726378679;
53;4;25.0656585693;24.0;10;46.9845552444;6;30.3999996185;38.2337493896;11;55.6933816671;
54;4;26.0953674316;25.0;10;47.3999996185;6;31.3999996185;38.5;11;56.5084160566;
55;4;25.0953674316;27.0;10;47.7743997574;6;31.6089954376;41.2805023193;12;57.3150610924;
56;4;24.3999996185;29.0;11;49.1219387054;6;30.1403121948;43.3042984009;12;58.1105313301;
57;4;25.3999996185;32.0;11;49.4895347357;6;31.8213768005;42.5;13;58.8919022083;
58;4;26.3999996185;35.0;11;49.831477046;6;33.2100830078;41.3526039124;13;59.6561126709;
59;5;26.3999996185;36.5;11;50.1483361721;6;32.4048500061;42.3770599365;13;61.4000034332;
60;5;26.3999996185;37.5;12;50.4411053658;6;31.4481239319;45.4016799927;13;62.1504018307;
61;5;26.3999996185;38.5;13;50.7110990286;6;33.181427002;43.5;14;62.8748223782;
62;6;26.3999996185;38.5;12;50.9598550797;7;31.4183731079;46.4513053894;13;63.7001063824;
63;6;26.3999996185;38.5;12;51.1890494823;7;32.4776000977;49.4762458801;15;66.1090676785;
64;6;26.3999996185;38.5;12;51.400423646;7;34.5957565308;49.0;15;68.217798233;
65;6;26.3999996185;38.5;12;53.3540019989;7;33.8766288757;48.5891418457;15;70.0572375059;
66;6;27.8199996948;37.2000007629;13;55.9233640432;7;31.917427063;50.4112930298;15;71.647564888;
67;6;28.1375198364;39.7291984558;13;57.1880638599;7;32.819480896;46.3220214844;16;72.7630780935;
68;6;29.369758606;42.1162643433;13;58.1930001974;7;32.9499969482;47.3456993103;16;74.6314958334;
69;6;30.5353660583;41.3922767639;14;58.8125845194;7;31.9499988556;50.624874115;16;75.4938308001;
70;7;30.1329154968;43.5;13;59.0602475405;7;29.9499988556;54.6981620789;17;76.1840177774;
71;7;29.6000003815;45.5;13;60.2967844009;8;27.9499988556;58.7722930908;17;76.7922223806;
72;7;31.6000003815;45.0509490967;13;60.5478346348;8;27.1499996185;62.0883674622;19;77.3649671078;
73;7;31.6000003815;47.0614051819;14;60.7811242342;8;27.1499996185;66.9225616455;21;77.9039752483;
74;7;31.6000003815;49.0719451904;14;60.9097481966;8;28.1499996185;67.6635742188;21;78.4114892483;
