Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.0;
7;2;11.6000003815;11.6999998093;5;24.0;1;11.0;10.0;5;20.3999996185;
8;2;12.1999998093;11.5;5;24.5824990273;2;11.4200000763;10.1999998093;4;21.7264003754;
9;2;12.3747501373;11.7299995422;5;25.0799144506;2;11.5179204941;10.3632001877;4;22.0903717279;
10;2;12.5239744186;11.9106416702;5;25.409558177;2;11.6271114349;10.4951858521;4;23.2838120461;
11;2;12.6228685379;12.0;5;26.8187435865;2;11.9851436615;11.0209560394;4;24.3146933317;
12;2;14.6320075989;12.6000003815;5;28.0131856203;2;13.9851436615;11.4571752548;4;25.1981878281;
13;2;16.6320075989;13.0788002014;4;29.0237898827;2;15.9851436615;11.8107032776;5;25.9559320211;
14;2;18.6320075989;13.4505519867;4;29.8882951736;2;17.1443748474;12.0916318893;5;26.6120283604;
15;2;19.8731536865;13.7328653336;4;30.644671917;2;18.209400177;12.3113050461;5;27.1901185513;
16;2;20.9736480713;13.943564415;4;31.1296033859;2;19.2810821533;12.4808797836;5;27.4906733036;
17;2;22.0852661133;14.0;4;31.5402197838;2;20.3597755432;12.5;5;27.7773330212;
18;2;23.2084503174;14.0;4;31.9901740551;2;21.4457740784;12.5;5;28.0890238285;
19;2;23.5970516205;14.0;6;32.4793624878;2;22.4267082214;12.5;6;28.4260663986;
20;2;22.3999996185;15.0;6;33.006611824;2;22.5278205872;12.5;6;28.788336277;
21;2;23.3999996185;14.0;6;33.569524765;2;22.6365013123;12.5;6;29.1751885414;
22;3;24.0708580017;14.0;5;34.1643762589;2;22.7525558472;12.5;6;29.585392952;
23;3;22.3999996185;15.0;7;34.7860922813;2;22.875617981;12.5;6;30.0170898438;
24;3;23.3999996185;14.0;7;35.4283218384;2;23.0051269531;12.5;7;30.4677705765;
25;3;20.3999996185;16.0;7;36.0836248398;3;23.1403312683;12.5;6;30.9342932701;
26;3;20.3999996185;16.0;7;36.7437639236;3;23.2802886963;12.5;6;31.4129357338;
27;3;20.3999996185;17.0;8;37.4000911713;3;21.5;13.5;6;31.8994894028;
28;3;20.2200279236;18.0;7;38.0439891815;3;22.5;12.5;6;32.3893885612;
29;3;19.4131965637;19.0;8;39.6673202515;3;23.5;12.5;6;32.877872467;
30;3;19.6001968384;20.5;8;40.3028421402;3;21.8633613586;13.5;6;33.360165596;
31;3;19.7788524628;21.0;8;40.9057221413;3;21.0080490112;14.5;5;33.8316650391;
32;3;19.5473613739;22.5405921936;8;41.4713823795;3;20.1494998932;15.5;5;34.2881155014;
33;4;20.0414161682;23.0;5;48.8277057409;3;19.2864341736;16.5;5;34.7257604599;
34;4;18.7043495178;25.5835533142;5;49.6985076666;3;18.4177284241;17.5;5;35.141462326;
35;4;19.0679016113;27.0;5;50.5212676525;3;17.5424385071;18.5;5;35.5327749252;
36;4;19.7043495178;26.6288738251;6;51.2940928936;3;17.1598320007;19.5;5;35.8979701996;
37;4;20.7043495178;27.6524085999;6;52.0162346363;3;17.2693901062;20.5;6;36.2360286713;
38;4;19.7043495178;26.6765155792;6;52.6879118681;3;17.3708076477;21.5;6;36.5465888977;
39;4;19.7043495178;26.7011871338;6;53.3101290464;3;18.4639778137;19.5;7;36.8298740387;
40;4;20.7043495178;27.7264137268;6;53.8845047951;3;17.5489616394;20.5;8;37.0865974426;
41;4;19.7043495178;26.7521820068;7;54.4131259918;3;17.6259803772;21.5;8;37.3178625107;
42;4;19.7043495178;26.7784748077;8;54.7594866753;3;18.6953582764;19.5;9;37.5250654221;
43;4;22.1875171661;27.7784748077;8;55.0715533495;3;17.7575187683;20.5;9;37.7098016739;
44;4;23.7043495178;29.7784748077;9;55.3651082516;4;19.8129405975;20.5;8;38.8737831116;
45;4;23.5750007629;33.7784729004;11;55.6403963566;4;19.8129405975;21.5;8;39.1299999952;
46;4;25.1081314087;37.7784729004;12;55.8979126215;4;19.8129405975;23.5;9;39.2754310369;
47;4;25.5750007629;41.7784729004;12;56.1383484602;4;20.3826293945;25.5;10;39.4377241135;
48;4;27.1427345276;42.0;14;56.3625463247;4;21.4313163757;27.5;10;39.6183350086;
49;4;28.1603775024;43.0;16;56.5714521408;4;22.4855003357;27.5;10;39.8187118769;
50;4;27.6648197174;45.0;16;56.766076088;4;23.5456142426;27.5;9;40.0402543545;
51;4;28.3466072083;45.0;16;56.8815076351;5;24.1120758057;27.5;8;40.2842636108;
52;4;27.75;47.0;18;56.9426498413;5;23.5;27.5;9;40.5518820286;
53;5;28.4077949524;47.0;18;57.0042052269;5;23.5;27.5;10;40.8440244198;
54;5;28.75;45.0;19;57.0661010742;5;23.5;27.5;10;41.1613030434;
55;5;28.4448299408;46.0;20;57.1282629967;5;23.5;27.5;10;41.5039470196;
56;5;28.4634780884;47.0;20;57.1906147003;5;23.5;27.5;12;41.871723175;
57;5;29.4821853638;45.0;20;57.2530794144;5;23.5;27.5;10;42.263862133;
58;5;28.5009231567;46.0;21;57.3155794144;6;23.5;27.5;6;59.9289975166;
59;6;27.75;47.0;19;58.378036499;5;24.5;28.5;7;61.2276263237;
60;6;29.75;46.0;19;58.4703724384;5;25.5;29.5;8;62.4315037727;
61;6;29.75;48.0;19;58.5631010532;5;25.5;30.5;8;63.5401024818;
62;6;29.75;50.0;23;58.6561386585;5;25.5;31.5;8;64.5569586754;
63;6;30.75;49.0;22;58.7494015694;5;25.5;32.5;8;65.4880628586;
64;6;29.75;51.0;22;58.8428064585;5;25.5;33.5;10;66.3404717445;
65;6;29.75;52.5779190063;22;58.936270833;5;25.5;34.5;11;67.121281147;
66;7;30.75;50.5943527222;19;61.2684071064;5;25.5;35.5;9;67.715420723;
67;7;29.9991874695;51.6170082092;18;63.1758234501;5;25.5;36.5;8;68.1839466095;
68;7;29.0689163208;50.6402435303;18;64.7196712494;5;26.5;37.5;10;68.6365451813;
69;7;28.1313228607;48.6640586853;18;65.8777313232;5;25.5;38.5;10;69.8664646149;
70;7;28.3999996185;47.6884422302;19;66.6116608381;5;25.5;39.5;10;72.5144271851;
71;7;29.3999996185;46.7133827209;19;67.082111001;5;25.7999992371;41.0;10;74.7475471497;
72;7;30.3999996185;45.7388763428;19;67.5102291107;5;26.0340003967;42.3899993896;11;76.6154069901;
73;7;28.3999996185;46.7649002075;19;67.7618230581;5;26.2123565674;43.6872596741;11;78.1707210541;
74;7;27.3999996185;47.7914428711;20;67.965144515;5;27.3458442688;44.9097442627;11;79.1090116501;
75;7;28.3999996185;46.8184890747;20;68.1682991982;5;28.3999996185;46.0;12;79.75157547;
76;7;29.3999996185;46.8460159302;20;68.3708121777;5;29.3999996185;47.0;12;80.3249702454;
