Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;7.0;11.0;4;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
4;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
5;1;12.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
6;1;13.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
7;1;14.8999996185;8.625;4;17.5949993134;2;9.5;10.1999998093;3;21.0;
8;1;15.5569992065;8.79749965668;4;17.8861961365;2;9.72500038147;10.0;3;21.4999996424;
9;1;15.7317180634;8.94309806824;4;18.6667137146;2;9.8375005722;10.1999998093;3;21.9353003502;
10;1;16.2000274658;9.3333568573;4;19.3355960846;2;9.93544197083;10.3632001877;3;22.3176362514;
11;2;18.2000274658;9.6677980423;3;20.8991127014;2;10.0214681625;10.4951858521;3;23.5373773575;
12;2;20.2000274658;9.94955635071;3;21.3969185352;2;10.2959108353;11.0209560394;3;24.5968167782;
13;2;21.8180274963;10.1834592819;3;21.8110353947;2;12.1013889313;11.4571752548;3;25.5111111403;
14;2;22.8363819122;10.3752222061;3;22.1533753872;2;14.1013889313;11.8107032776;3;26.3018171787;
15;2;23.8550872803;10.5308046341;3;22.3735172749;2;16.1013889313;12.0916318893;3;26.9928781986;
16;2;24.8741378784;10.625;2;22.4058350325;2;17.2561435699;12.3113050461;4;27.6076834202;
17;2;25.8935279846;10.625;2;22.4387089014;3;18.3181667328;12.4808797836;3;27.9463441372;
18;2;26.9132537842;10.625;2;22.4721269608;3;18.7228336334;12.5;3;28.2720229626;
