Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
4;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
5;1;12.8999996185;8.625;4;17.25;1;8.0;10.0;4;20.0;
6;1;13.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
7;1;14.8999996185;8.625;4;17.5949993134;1;9.5;10.0;4;20.0;
8;2;16.156999588;8.79749965668;3;18.8861961365;1;9.5;10.0;4;20.3999996185;
9;2;16.3317184448;8.94309806824;3;19.6667137146;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;16.8000278473;9.3333568573;3;20.3355960846;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;18.8000278473;9.6677980423;3;20.8991127014;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;20.8000278473;9.94955635071;3;21.3669185638;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;21.8000278473;10.1834592819;3;21.7504444122;1;11.7228336334;11.4571752548;4;23.6214065552;
14;2;22.8000278473;10.3752222061;2;22.0616092682;1;12.7228336334;11.8107032776;3;24.1832637787;
15;2;23.8000278473;10.5308046341;2;22.25;1;13.7228336334;12.0916318893;3;24.6226100922;
16;2;24.8000278473;10.625;2;22.25;1;14.7228336334;12.3113050461;3;24.9617595673;
17;2;25.8000278473;10.625;2;22.25;1;15.7228336334;12.4808797836;3;25.0;
18;2;26.8000278473;10.625;3;22.25;1;16.7228336334;12.5;3;25.0;
19;3;27.3500003815;10.625;2;22.25;1;17.625;12.5;3;25.0;
20;3;27.3500003815;10.625;2;22.25;1;17.625;12.5;3;25.0;
21;3;27.3500003815;10.625;2;22.25;1;17.625;12.5;5;25.0;
22;3;27.3500003815;10.625;3;22.25;1;17.625;12.5;5;25.0;
23;3;26.75;11.3249998093;4;22.25;1;17.625;12.5;6;25.0;
