Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;2;12.2999992371;8.625;4;18.25;1;8.0;10.0;4;20.0;
4;2;12.2999992371;8.625;5;18.3250000477;1;8.0;10.0;4;20.0;
5;2;13.5450000763;8.625;5;18.4048187733;1;8.0;10.0;4;20.0;
6;2;14.5928907394;8.625;5;18.8461898565;1;9.0;10.0;4;20.0;
7;2;15.6507139206;8.79749965668;5;19.2405949831;1;9.5;10.0;4;20.0;
8;2;16.5443572998;8.94309806824;5;20.1585245132;1;9.5;10.0;4;20.3999996185;
9;2;17.0951137543;9.3333568573;5;20.9767100811;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;17.586025238;9.6677980423;5;21.7020223141;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;19.586025238;9.94955635071;5;22.3446578979;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;21.586025238;10.1834592819;5;22.9165091515;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;22.7499065399;10.3752222061;5;23.4298532009;1;11.7228336334;11.4571752548;5;23.6214065552;
14;2;23.0579128265;10.5308046341;5;23.8345062733;1;12.7228336334;11.8107032776;5;24.1832637787;
15;2;23.3007030487;10.625;5;24.0649278164;1;13.7228336334;12.0916318893;5;24.6226100922;
16;2;23.4389572144;10.625;5;24.3094062805;1;14.7228336334;12.3113050461;5;24.9617595673;
17;2;23.5856437683;10.625;5;24.5676383972;1;15.7228336334;12.4808797836;5;25.0;
18;2;23.7405834198;10.625;5;24.8390996456;1;16.7228336334;12.5;5;25.0;
19;2;23.903459549;10.625;5;25.1230297089;1;17.625;12.5;6;25.0;
20;2;24.0738182068;10.625;5;25.4184246063;1;17.625;12.5;6;25.0;
21;2;26.2510547638;10.625;6;25.7240357399;1;17.625;12.5;6;25.0;
22;2;27.4344215393;10.625;6;26.0383796692;1;17.625;12.5;7;25.0;
23;2;28.6230278015;10.625;6;26.3597574234;1;17.625;12.5;7;25.0;
24;3;29.8158531189;10.625;5;26.6862831116;1;17.625;12.5;7;25.0;
25;3;30.0117702484;10.625;5;27.0159239769;1;17.625;12.5;7;25.0;
26;3;30.2095546722;10.625;5;27.3465466499;1;17.625;12.5;7;25.0;
27;3;30.4079284668;10.625;5;27.6759705544;1;17.625;12.5;7;25.0;
28;3;30.6055831909;10.625;5;28.0020260811;1;17.625;12.5;7;25.0;
29;3;30.8012161255;10.625;5;28.3226103783;1;17.625;12.5;8;25.0;
30;3;28.8012161255;11.625;5;28.6357421875;1;17.625;12.5;8;25.0;
31;3;27.8012161255;12.625;5;28.9396104813;1;17.625;12.5;8;25.0;
32;3;26.8012161255;13.625;5;29.2326145172;1;17.625;12.5;8;25.0;
33;3;26.75;14.6163072586;6;29.5133934021;1;17.625;12.5;8;25.0;
34;3;26.75;14.756696701;6;29.7808465958;1;17.625;12.5;8;25.0;
35;3;27.75;16.625;6;30.0341405869;1;17.625;12.5;8;25.0;
36;3;28.75;17.625;6;30.2727050781;1;17.625;12.5;8;25.0;
37;3;29.75;18.625;6;30.4962244034;1;17.625;12.5;8;25.0;
38;3;30.75;19.625;6;30.7046136856;1;17.625;12.5;8;25.0;
39;3;31.75;20.625;6;31.8979969025;1;17.625;12.5;8;25.0;
40;3;33.5387992859;21.625;6;32.2291783094;1;17.625;12.5;8;25.0;
41;3;34.6460075378;22.625;7;32.5676085949;1;17.625;12.5;9;25.0;
42;3;35.5405654907;23.625;8;32.9163235426;1;17.625;12.5;10;25.0;
43;3;35.7497940063;24.625;8;33.2785484791;1;17.625;12.5;10;25.0;
44;4;35.9671287537;25.625;8;33.6576159;1;17.625;12.5;10;25.0;
45;4;36.194568634;25.625;9;34.0378723145;1;17.625;12.5;10;25.0;
46;4;36.4227218628;25.625;9;34.3573079109;1;17.625;12.5;10;25.0;
47;4;36.6143836975;25.625;9;34.7130148411;1;17.625;12.5;10;25.0;
48;4;36.8278083801;25.625;10;35.1067101955;1;17.625;12.5;10;25.0;
49;4;37.0640258789;25.625;10;35.5395004749;1;17.625;12.5;11;25.0;
50;5;37.3236999512;25.625;8;68.0116910934;1;17.625;12.5;11;25.0;
51;5;38.6070137024;26.625;8;71.4425940514;1;17.625;13.5;11;25.0;
52;5;40.91355896;28.625;8;73.5268019438;1;17.625;14.5;11;25.0;
53;5;43.2422180176;30.625;8;77.530608654;1;17.625;15.5;12;25.0;
54;5;46.1294441223;33.0234375;9;80.8205533028;1;17.625;16.5;12;25.0;
55;5;45.2783470154;35.3489723206;9;83.5658673048;1;17.625;17.5;12;25.0;
56;6;46.3892822266;37.6102333069;7;95.7847645283;1;17.625;17.5;13;25.0;
57;6;49.4708595276;37.8168411255;8;98.050167799;1;17.625;17.5;14;25.0;
58;7;50.5301017761;39.9782943726;7;100.052379847;1;17.625;17.5;14;25.0;
59;7;51.4479255676;42.0;7;102.013714075;2;17.625;17.5;13;25.0;
60;7;52.3595848083;44.0;8;103.924173832;2;17.625;17.5;13;25.0;
61;7;53.2602920532;46.0;9;105.735395908;2;17.625;17.5;13;25.0;
62;7;54.1216888428;48.0;13;107.524797916;2;17.625;17.5;14;25.0;
63;7;54.9903297424;50.0;13;109.281413078;2;17.625;17.5;14;25.0;
64;7;55.8592643738;52.0;13;111.995617867;2;17.625;17.5;14;25.0;
65;7;57.7219772339;55.0;14;113.80871284;2;17.625;17.5;14;25.0;
66;8;59.5722236633;58.0;15;117.869247437;2;17.625;17.5;14;25.0;
67;9;61.6149749756;61.4799995422;14;121.628158927;2;17.625;17.5;14;25.0;
68;9;63.4926681519;64.8593902588;15;125.090474129;2;17.625;17.5;14;26.0;
69;9;65.2062301636;67.4924240112;15;128.267025352;2;18.625;18.5;15;26.0;
70;9;64.3569946289;69.8856277466;15;131.085514307;2;19.625;19.5;15;26.0;
71;9;64.362449646;72.158706665;16;133.482468367;2;19.625;20.5;15;26.0;
72;10;64.1756973267;74.2875747681;15;135.70021987;2;19.625;21.5;15;26.0;
73;10;63.9322052002;76.3985290527;16;138.719339609;2;19.625;22.5;16;26.0;
74;10;64.610168457;79.4935455322;16;140.403026342;2;19.625;23.2000007629;17;26.0;
75;10;65.1431121826;82.5;17;145.12812376;2;19.625;23.2000007629;17;26.0;
76;11;65.0431213379;84.2799987793;17;149.23452878;2;19.625;23.2000007629;17;26.0;
77;12;65.7583007812;86.8976135254;16;152.781224608;2;19.625;23.2000007629;18;26.0;
78;12;66.3184127808;90.9934234619;17;155.842307925;2;19.625;23.2000007629;18;26.0;
79;12;68.7534179688;90.2137145996;19;158.232714891;2;19.625;23.2000007629;19;26.0;
80;13;70.9325485229;90.2399978638;18;160.165492058;2;19.625;23.2000007629;19;26.0;
81;13;73.0593948364;91.5999984741;18;161.632341385;2;19.625;23.2000007629;19;26.0;
82;13;75.1431121826;92.5999984741;20;162.897023916;3;19.625;23.2000007629;18;27.0299999714;
83;15;75.1431121826;94.5999984741;18;165.663834095;3;19.8500003815;23.7210006714;19;27.8405916691;
84;15;77.1431121826;97.5999984741;18;167.525168657;3;20.0255012512;24.1324119568;19;28.4662835598;
85;15;79.1431121826;100.599998474;20;169.501002192;3;20.1592674255;24.4514961243;19;28.9430019855;
86;15;79.4000015259;103.599998474;20;171.566393733;3;20.2593841553;24.6962051392;19;29.1558350325;
87;15;78.4000015259;106.599998474;21;173.692646503;3;20.2999992371;24.8090839386;19;29.1887089014;
88;15;77.4000015259;110.599998474;21;175.849166989;3;20.2999992371;24.8320960999;20;29.2221269608;
89;16;76.4000015259;114.599998474;21;177.461775184;3;20.2999992371;24.8554878235;20;29.2560760975;
90;16;75.8600006104;119.309997559;21;178.250884295;3;18.2999992371;25.8792533875;19;29.2905418873;
91;16;75.7740020752;124.048995972;23;179.079094648;3;17.2999992371;26.9033794403;18;30.3255085945;
92;16;75.3366012573;128.814102173;23;179.919872165;3;17.2999992371;28.9278564453;18;30.480959177;
93;16;74.9429397583;133.60269165;25;180.753161669;3;17.2999992371;30.952671051;19;30.6907602549;
94;16;74.5886459351;138.412414551;26;181.564650178;3;16.2999992371;33.0063934326;19;30.917925477;
95;16;74.26978302;143.24118042;28;183.344889879;3;16.0;35.0623703003;19;31.1635549068;
96;17;76.9828033447;146.08706665;28;184.118485928;3;16.0;37.1206130981;20;31.4287166595;
97;18;80.9828033447;150.948348999;29;184.853951216;4;16.0;38.1811180115;19;31.7144160271;
98;18;84.9828033447;155.823516846;31;185.407827854;4;16.0;39.2438659668;21;32.0215597153;
99;18;88.9828033447;160.711166382;32;185.889675379;4;16.0;40.3088340759;23;32.3509143591;
100;18;90.9828033447;164.491271973;32;186.377429605;4;16.0;41.3759803772;23;32.7030596733;
