Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
80;2;17.0;33.0;27;23.0605909824;9;34.75;78.0;19;119.464608073;
81;2;19.0;33.0;27;23.091766119;9;38.015499115;84.0;21;121.347713828;
82;2;20.9500007629;33.0;27;23.1235172749;9;39.75;90.0;21;123.010552049;
83;2;21.9500007629;33.0;27;23.1558350325;9;40.8029823303;95.0;22;124.589412212;
84;2;22.2100639343;32.0;27;23.1887089014;10;39.8277206421;97.0;22;126.087263703;
85;2;22.2174606323;31.0;27;23.2221269608;10;39.4749984741;101.0;22;128.511716962;
86;2;22.2249794006;30.0;27;23.2560760975;10;41.4749984741;107.0;24;129.963816643;
87;2;22.2326183319;29.0;28;23.2905418873;11;43.4749984741;110.0;23;131.373794079;
88;2;20.2403717041;30.0;28;23.3255085945;11;42.4749984741;116.0;23;132.715948939;
89;2;19.2482414246;31.0;28;23.3609591722;11;42.4749984741;122.0;25;133.910284519;
90;2;18.2562160492;32.0;28;23.3968753815;12;44.4749984741;122.0;24;135.131648302;
91;2;17.3142967224;33.0;28;23.4332377911;12;42.4749984741;126.262664795;24;136.384103894;
92;2;17.322479248;34.0;29;23.4700255394;12;43.4749984741;127.344421387;25;138.537602544;
93;2;17.3307552338;35.0;29;23.5072168112;12;46.4749984741;123.429267883;26;140.838815928;
94;2;17.3391227722;36.0;29;23.5447884798;12;45.4749984741;129.57421875;26;142.236753225;
95;2;17.3475761414;37.0;29;23.5827163458;12;47.4749984741;132.729309082;26;143.688419819;
96;2;17.3561115265;38.0;30;23.6209751368;12;49.4749984741;129.894302368;27;145.177822828;
97;2;17.3647193909;39.0;30;24.3357481956;12;48.4749984741;135.068786621;29;146.687458634;
98;2;17.3770446777;40.0;30;24.9216991663;12;50.4749984741;137.25213623;29;148.199404001;
99;2;17.3895778656;41.0;30;25.3979798555;12;50.4749984741;143.42086792;29;149.696452975;
100;2;17.4023113251;42.0;31;25.7836047411;12;50.5250015259;145.698394775;30;151.16313982;
