Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
72;8;24.5919189453;28.0;12;43.5722866058;6;39.5198020935;53.0;16;93.3154486418;
73;8;24.9678001404;29.0;11;43.7592381239;6;39.5315437317;57.0;18;93.5728439093;
74;8;25.0177097321;30.0;11;43.9042263031;7;40.5442848206;61.0;17;93.8561698198;
75;8;25.0587692261;31.0;11;44.0249304771;7;42.6856155396;58.6322937012;18;94.1673568487;
76;8;25.0949802399;31.0;12;44.1541694403;7;40.7167358398;61.6918525696;17;94.9883105755;
77;8;25.1337509155;31.0;10;45.2922235727;7;40.798828125;64.0;16;98.6974265575;
78;8;26.1751670837;32.0;8;45.4793252945;7;41.6347427368;66.0;17;101.68256402;
79;8;27.2192993164;33.0;8;45.6768319607;7;43.2286186218;65.9149932861;17;104.091941833;
80;8;27.2661952972;34.0;7;45.8848490715;7;44.4537658691;64.0;17;106.829034567;
81;8;27.3158893585;35.0;6;48.1033979654;7;41.8666877747;69.0;18;107.944908857;
82;8;29.3683872223;38.0;7;48.7924062014;7;42.9477081299;70.2008209229;19;108.849060535;
83;9;31.4236698151;40.0;6;50.3489444256;8;42.1675262451;71.3088684082;18;109.614132881;
84;9;29.5148601532;43.0;8;51.7872871161;8;40.2440338135;74.0;18;110.432621598;
85;9;29.31823349;45.595123291;8;53.131570816;8;41.325881958;77.0;19;111.30241096;
86;9;30.456111908;48.8049659729;8;54.3762232065;8;42.4128608704;79.6688995361;20;112.219943285;
87;9;32.0417366028;46.9690628052;8;55.2737505436;10;44.5046157837;82.7995300293;18;114.18013072;
88;9;33.0164299011;47.0;8;56.081282258;10;43.6006355286;87.9345245361;18;115.356349349;
89;9;33.1916770935;47.0;8;56.9396457672;10;42.8182563782;93.0731048584;20;117.59081018;
90;9;28.7180404663;50.0;7;59.8535557985;10;43.9417037964;96.2144317627;19;118.938488722;
91;9;29.3738136292;54.0;6;60.9985932112;10;44.0704689026;99.3575744629;19;120.336701035;
92;9;28.4980144501;57.5068244934;8;61.9848573804;10;42.3162956238;104.501525879;17;121.779551625;
93;9;27.3999996185;60.4635009766;8;63.0360546708;10;42.4605751038;106.645263672;17;123.261128902;
94;9;30.5734462738;59.4635009766;7;64.1475969553;10;41.6087341309;108.787765503;17;124.77576232;
95;9;31.70262146;61.4635009766;7;65.3136536479;10;41.4425163269;112.787765503;17;126.318173289;
96;9;32.9601325989;63.4635009766;8;66.5271120667;10;41.631816864;116.787765503;19;127.883470774;
97;10;34.2253570557;66.4635009766;6;67.7796117663;11;41.7883453369;120.787765503;19;129.466978312;
98;10;35.496219635;69.2736968994;5;69.0616796315;11;41.9466972351;124.326057434;19;131.063893437;
99;9;33.7703170776;66.2463226318;6;66.5100486279;12;43.0757522583;126.326057434;15;136.290740967;
100;9;32.0450172424;69.2216949463;6;67.5827981234;12;45.2071151733;130.301696777;17;138.219486833;
