Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;4;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;4;20.0;
7;2;11.6000003815;11.8999996185;5;24.0;1;11.0;10.0;4;20.3999996185;
8;2;12.1999998093;11.5;5;24.5449991226;2;11.4200000763;10.1999998093;3;21.7264003754;
9;2;12.3635005951;11.7299995422;5;24.9975861311;2;11.5179204941;10.3632001877;3;22.0903717279;
10;2;12.4992761612;11.9106416702;5;25.2742146254;2;11.6271114349;10.4951858521;3;23.2838120461;
11;2;12.5822649002;12.0;5;26.6045138836;2;11.9851436615;11.0209560394;3;24.3146933317;
12;2;14.5677394867;12.6000003815;5;27.7039059401;2;13.9851436615;11.4571752548;3;25.1981878281;
13;2;16.5677394867;13.0788002014;5;28.6013240814;2;15.9851436615;11.8107032776;4;25.9559320211;
14;2;18.5677394867;13.4505519867;5;29.3325686455;2;17.1443748474;12.0916318893;4;26.6120283604;
15;2;19.7064361572;13.7328653336;5;29.9338023663;2;18.209400177;12.3113050461;4;27.1901185513;
16;2;20.7603874207;13.943564415;5;30.240152359;2;19.2810821533;12.4808797836;4;27.4906733036;
17;2;21.1463851929;14.8960609436;6;30.4475870132;2;20.3597755432;12.5;4;27.7773330212;
18;2;22.1463851929;14.9790344238;6;30.6691527367;2;21.4457740784;12.5;4;28.0890238285;
19;2;22.3999996185;15.3345766068;6;30.9048614502;2;22.4267082214;12.5;4;28.4260663986;
20;2;22.3999996185;15.4524307251;7;31.154538393;2;22.5278205872;12.5;4;28.788336277;
21;2;22.3999996185;15.5772695541;7;31.4177992344;2;22.6365013123;12.5;6;29.1751885414;
22;3;22.3999996185;15.708899498;6;31.6940326691;2;22.7525558472;12.5;6;29.585392952;
23;3;22.3999996185;14.0;7;31.9823875427;2;22.875617981;12.5;6;30.0170898438;
24;3;22.3999996185;15.0;7;32.2817678452;2;23.0051269531;12.5;6;30.4677705765;
25;3;22.3999996185;16.0;7;32.5908355713;2;23.1403312683;12.5;6;30.9342932701;
26;3;22.3999996185;16.2954177856;7;32.9080238342;3;23.2802886963;12.5;6;31.4129357338;
27;3;21.3999996185;15.2954177856;7;33.2315597534;3;21.5;13.5;7;31.8994894028;
28;3;21.3999996185;15.2954177856;7;33.5594968796;3;22.5;12.5;7;32.3893885612;
29;3;22.3999996185;16.2954177856;7;34.8897590637;3;21.5;13.5;7;32.877872467;
30;3;22.3999996185;15.2954177856;7;35.2501885891;3;20.8633613586;14.5;7;33.360165596;
31;3;23.2660560608;16.0;7;35.6091940403;3;20.0080490112;15.5;6;33.8316650391;
32;3;22.3999996185;15.530295372;8;35.9646165371;3;17.0080490112;16.5;5;34.2881155014;
33;3;21.7275295258;15.0;7;36.3143846989;3;15.5;17.5;5;34.7257604599;
34;3;21.7370548248;16.0;7;36.6565665007;3;15.5;18.5;5;35.141462326;
35;3;20.996969223;17.0;7;36.9894148111;3;14.0;19.5;5;36.5327749252;
36;3;20.0068321228;16.0;7;37.3114042282;3;15.0;21.0;6;36.927970171;
37;3;20.7666378021;16.0;7;37.6212561131;3;16.0;22.0149993896;6;37.2966196537;
38;3;21.7768230438;17.0;7;37.917955637;3;16.0;23.0302963257;8;37.6383550167;
39;3;22.7871627808;18.0;7;38.2007517815;3;16.0;24.5;8;37.9533913136;
40;3;23.7976531982;19.0;7;38.4691563845;3;16.0;24.5;10;38.2424324751;
41;3;24.8082885742;20.0;8;38.7229223251;3;17.0;22.5;10;38.5065714121;
42;3;24.8190612793;23.0;9;38.962028265;3;16.0;23.5;10;38.7471923828;
43;4;24.3999996185;26.0;8;39.1866488457;3;16.0;24.5;10;38.9658777714;
44;4;24.3999996185;29.0;10;39.3971236944;3;17.0;23.5;11;39.1643249989;
45;4;24.8521652222;32.0;10;39.593932271;3;17.0;23.5;11;39.3255085945;
46;4;24.8634357452;35.0;10;39.7776588202;3;17.0;23.5;11;39.3609591722;
47;4;24.8748149872;36.0;11;39.948967576;3;18.0;24.5;11;39.3968753815;
48;4;24.3999996185;34.8104858398;12;40.1085760593;4;19.0;25.5;9;39.4332377911;
49;4;24.8978614807;35.0;14;40.1983793974;4;20.0;26.5;10;39.4700255394;
50;4;24.9095134735;36.0;15;40.2374696732;4;21.0;27.5;10;39.5072168112;
51;4;25.9212417603;34.0;14;40.2767804861;4;22.0;28.5;11;39.5447884798;
52;4;24.9330329895;35.0;16;40.3162822723;4;23.0;29.5;11;39.5827163458;
53;4;24.9448852539;36.0;17;40.3559447527;4;23.5;30.5;12;39.6209751368;
54;4;25.9567832947;34.0;17;40.3957372904;5;23.5;31.5;11;39.6595385075;
55;5;24.9687213898;35.0;15;55.4356285334;5;23.5;32.5;11;39.6983793974;
56;5;25.3999996185;37.9678153992;16;56.2255871296;5;23.5;33.5;11;39.7374696732;
57;5;27.9926757812;36.0;17;56.9349555969;5;24.5;31.5;11;39.7767804861;
58;5;28.0046730042;38.0;17;57.5628685951;5;23.5;32.5;11;40.8162822723;
59;5;29.0166740417;40.0;17;58.1118175983;5;24.5;34.5;11;40.8959447145;
60;5;31.0286636353;39.0;18;58.5867829323;5;26.5;33.5;12;41.9769212008;
61;5;31.0406360626;40.0;18;58.9943630695;5;26.5;36.5;12;42.1091820002;
62;5;32.0525817871;41.0;21;59.3419840336;5;27.5;39.5;12;42.2446695566;
63;5;33.65259552;39.0;21;59.6372668743;5;28.5;39.5;13;42.3833725452;
64;6;32.0648269653;41.0;15;74.793856144;6;27.5;41.5;13;42.5252712965;
65;6;33.7881584167;42.0;15;75.5829925537;6;27.5;43.5;13;42.6703372002;
66;6;32.7998962402;42.0;14;78.8737528324;6;29.1286640167;42.7873954773;14;42.8185312748;
67;6;32.9930610657;43.0;15;81.6041328907;6;28.546546936;43.1650238037;14;42.9698050022;
68;6;32.4136657715;43.2291984558;15;83.8369970322;6;28.1525821686;44.8972663879;15;43.1240985394;
69;6;33.5311965942;43.8943786621;14;85.6472613811;6;28.5;43.9545669556;16;43.2813407183;
70;6;34.6270103455;43.2080154419;15;86.9233255386;6;28.4080505371;43.6272506714;16;43.4414490461;
71;6;32.6999969482;43.2457580566;16;87.629101038;6;29.132434845;43.5;18;43.6043291092;
72;6;31.6999988556;44.2835617065;15;88.2352530956;6;29.4814014435;42.5;18;45.2652387619;
73;6;30.6999988556;45.3213691711;15;88.7144331932;6;29.7999992371;43.9376220703;18;46.6757742167;
74;6;29.6999988556;46.35912323;16;89.0089800358;6;28.0340003967;45.4681472778;18;47.8720136881;
75;6;28.6999988556;47.3967666626;16;89.0839343071;6;28.7765159607;45.9707107544;18;48.8920367956;
76;6;27.6999988556;49.3967666626;17;89.1584441662;7;31.3703994751;41.9097442627;17;49.6234481335;
