Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;2;10.3000001907;10.0;4;21.0;
6;1;10.6000003815;11.5;6;23.0;2;11.0;10.0;4;21.0299999714;
7;1;11.6000003815;11.5;6;23.0;2;11.0;10.0;4;22.2708917856;
8;1;11.8999996185;11.5;6;23.4599990845;2;11.3600006104;10.6000003815;4;23.3305673599;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;11.6652793884;11.1087999344;4;24.2141875029;
10;1;12.1463851929;11.9106416702;6;24.0;2;11.9173870087;11.5289793015;4;25.8940099478;
11;2;12.2000007629;12.1999998093;5;26.2000007629;2;12.3975954056;12.329325676;4;27.2946819067;
12;2;14.4463853836;12.6000003815;5;27.2626004219;2;14.3975954056;12.9878778458;5;28.4281284809;
13;2;16.4463844299;13.0788002014;5;28.1209686995;2;16.3975944519;13.5105419159;4;29.3258297443;
14;2;18.4463844299;13.4505519867;5;28.810999155;2;17.3975944519;13.9130096436;4;30.0282530785;
15;2;19.5499649048;13.7328653336;5;29.3690056801;2;18.3975944519;14.2154760361;4;30.5766179562;
16;2;20.5909481049;13.943564415;5;29.630333066;2;19.3975944519;14.4385232925;4;30.8066517115;
17;2;21.6354846954;14.0;6;29.7912415266;2;20.3975944519;14.5;4;30.9185439348;
18;2;22.683757782;14.0;6;29.9651488066;2;21.3975944519;14.5;5;31.0352194309;
19;2;22.9895439148;14.0;6;30.1525228024;2;22.3975944519;14.5;6;31.1566157341;
20;3;22.3999996185;14.6457567215;5;30.3537294865;2;22.7000007629;14.5;6;31.2826349735;
21;3;23.1061191559;14.0;6;30.5690078735;2;22.7000007629;14.5;6;31.413141489;
22;4;23.1707019806;14.0;5;30.7984457016;2;22.7000007629;14.5;7;31.5479602814;
23;4;23.2395324707;14.0;5;31.0419540405;2;22.7000007629;14.5;7;31.6868760586;
24;4;23.3125858307;14.0;5;31.299243927;3;22.7000007629;14.5;6;31.8296329975;
25;4;23.3897724152;14.0;5;31.5698068142;3;22.7000007629;14.5;6;31.9759354591;
26;4;21.4709415436;15.0;5;31.852899313;3;22.7000007629;14.5;6;32.1254484653;
27;4;20.5558700562;16.0;5;33.1475343704;3;22.7000007629;14.5;6;32.2778000832;
28;4;19.3999996185;18.5;5;33.5024802685;3;22.7000007629;14.5;6;32.4325842857;
29;4;19.3999996185;20.5249996185;5;33.868244648;3;22.7000007629;14.5;6;32.5893647671;
30;5;19.3999996185;21.9341220856;4;34.2431672812;3;20.7000007629;15.5;7;32.7476785183;
31;5;19.3999996185;23.1215839386;4;34.6253939867;3;19.7000007629;16.5;7;32.9070417881;
32;5;19.3999996185;24.3126964569;4;35.0129151344;3;19.7000007629;17.5;8;33.0669555664;
33;5;19.0;25.5064582825;4;35.4036097527;3;18.9200878143;18.5;8;32.8269109726;
34;5;19.0;26.7018051147;4;36.7953001261;3;17.9680747986;19.5;8;32.6263957024;
35;5;20.0;28.597650528;5;37.1858073473;3;17.0159187317;20.5;8;32.4609031677;
36;6;21.0;29.7929039001;4;37.5730079412;3;16.0634708405;21.5;7;32.3263344765;
37;6;21.0;30.2865028381;4;37.9548882246;3;15.4105796814;22.5;7;32.2189674377;
38;6;21.0;32.177444458;4;38.3295927048;3;15.4571018219;23.5;7;33.1354265213;
39;6;22.0;30.3647975922;5;38.6954641342;3;15.0;24.5;8;33.2026566267;
40;6;21.0;31.5477333069;5;39.0510749817;3;16.0;25.5;8;34.3593029976;
41;6;21.0;32.7255363464;7;39.3952481747;3;16.0;26.5;9;35.3336061239;
42;6;22.0;30.8976230621;8;39.7270613909;3;16.0;27.5;9;36.1696445942;
43;6;23.5880203247;32.8976249695;8;40.0458488464;3;16.0;28.5;9;36.7388811111;
44;6;24.6117744446;34.8976249695;9;40.3511886597;3;17.0;26.5;10;37.1712958813;
45;6;25.0;36.8976249695;10;40.6428842545;4;18.0;27.5;10;37.6373126507;
46;6;27.6606826782;35.8976249695;11;40.9209394455;4;19.0;28.5;11;38.1394360065;
47;6;29.0;36.6412773132;12;41.1855306625;4;20.0;29.5;12;38.6797215939;
48;6;30.9444160461;35.8854064941;13;41.4369771481;4;21.0;30.5;12;39.2595465183;
49;7;31.9940376282;35.9284286499;12;41.6757128239;4;22.0;31.5;14;39.8793611526;
50;7;33.2027130127;34.7000007629;12;41.9022548199;4;23.0;30.5;14;40.5384383202;
51;7;30.4395427704;36.7000007629;13;42.1171810627;4;24.0;29.5;14;41.234641552;
52;8;29.4395427704;38.0602340698;12;42.3096864223;4;24.7000007629;29.5;15;42.9642553329;
53;8;30.2429046631;37.0;12;42.3993241787;4;25.7000007629;30.5;14;43.7719023228;
54;8;29.3999996185;39.7000007629;13;42.489222765;4;26.7000007629;31.5;14;44.602558136;
55;8;29.3999996185;41.1946105957;13;42.579221487;4;26.7000007629;32.5;13;45.4478167295;
56;8;30.3999996185;39.2396125793;14;42.6691586971;4;26.7000007629;33.5;14;46.2622252703;
57;8;29.3999996185;40.2845802307;14;43.758872509;5;26.7000007629;34.5;13;47.0397257805;
58;8;31.3776626587;40.7000007629;15;43.848202467;5;26.7000007629;34.5;14;47.8061728477;
59;8;33.404460907;39.7000007629;15;44.9369900227;5;26.7000007629;35.4310302734;14;48.5517340899;
60;8;33.4310951233;42.7000007629;15;45.0750803947;5;26.7000007629;35.4745101929;15;49.2676492929;
61;8;34.4575233459;45.7000007629;15;45.2142982483;5;26.7000007629;35.5194129944;15;49.9466694593;
62;8;34.4000015259;46.7000007629;16;45.354523778;5;26.7000007629;35.5657310486;16;50.5833457708;
63;8;34.4000015259;48.4000015259;17;45.4956384897;5;26.7000007629;35.6134490967;16;51.1741394997;
64;8;34.5351066589;50.4000015259;18;47.5377310514;5;26.7000007629;35.6625442505;16;52.7173662186;
65;9;36.0256690979;49.7881660461;17;49.2288680077;5;27.7000007629;36.7129898071;16;53.2530097961;
66;9;34.1375198364;52.4033508301;17;50.6261270046;5;28.7000007629;37.7647514343;18;53.7436220646;
67;9;35.369758606;51.8802871704;16;51.7915625572;6;28.7000007629;38.8177871704;17;54.1916345358;
68;9;36.5353660583;51.6258087158;15;52.6106911898;6;28.7000007629;39.8720436096;18;54.600214839;
69;9;35.5999984741;50.8314170837;16;53.2046899796;6;28.7000007629;40.9274749756;19;54.9729660749;
70;9;33.5999984741;50.9333877563;15;53.7890658379;6;28.7000007629;40.9840126038;19;57.0419335365;
71;9;33.5999984741;53.0394592285;13;55.3239700794;6;29.0480003357;41.6364364624;20;58.7372280359;
72;9;34.5999984741;55.6477584839;14;55.8336389065;6;29.3049621582;42.1390457153;20;60.1245037317;
73;10;35.2000007629;57.8842124939;13;56.3496623039;6;29.489522934;42.5228118896;20;62.2030353546;
