Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
79;9;33.5999984741;58.4606590271;18;44.9600133896;7;32.5679473877;53.0;24;75.9330129623;
80;9;33.5999984741;62.4809837341;18;45.2466624975;7;31.6407470703;55.0;26;77.7229681015;
81;9;33.5999984741;65.5014648438;19;45.5314104557;8;30.6000003815;59.0;25;78.5040946007;
82;10;33.5999984741;66.027305603;21;45.8141059875;8;31.6000003815;63.0;26;79.2384457588;
83;10;31.6000003815;67.1258850098;21;46.094617486;9;32.5999984741;64.0;25;79.9277160168;
84;10;30.6000003815;68.22265625;21;46.3728311062;10;32.9370651245;64.1273880005;23;95.5741375685;
85;10;29.6000003815;69.3175964355;21;46.6486471891;10;32.5999984741;68.2304229736;23;97.6802414656;
86;10;30.6000003815;68.410697937;22;46.9219782352;10;33.9635543823;71.2566299438;23;99.6511647701;
87;10;31.6000003815;68.501953125;21;47.1927478313;10;34.9773254395;71.3951034546;23;101.305553675;
88;10;32.5999984741;71.0913696289;21;47.4478423595;10;33.5999984741;75.052406311;26;103.786188364;
89;11;33.5999984741;72.3383102417;21;47.6465415955;10;35.0059089661;78.4000015259;26;105.12618649;
90;11;33.5999984741;71.7248077393;21;47.8463915586;10;36.5999984741;80.1011886597;26;106.298858285;
91;11;33.5999984741;74.27734375;21;48.047191143;10;35.5999984741;84.126411438;28;107.315639257;
92;11;33.5999984741;75.5894012451;22;48.2487356663;11;36.0513076782;87.4000015259;29;108.19319272;
93;11;33.5999984741;76.6733398438;23;48.450817585;12;36.9370574951;89.1784744263;29;123.950331569;
94;11;33.5999984741;77.757232666;22;48.65322721;12;37.0831680298;92.9779205322;29;126.105765104;
95;11;33.5999984741;78.841003418;22;49.855753541;12;37.5999984741;97.8269271851;31;127.825245142;
96;11;34.5999984741;80.8006210327;23;50.1381852627;12;38.9666366577;102.400001526;30;129.34744978;
97;11;35.5999984741;81.9079437256;23;50.4258474112;12;39.9768218994;107.400001526;31;130.707714915;
98;11;35.5999984741;83.0150909424;24;50.7187724113;13;40.987159729;111.54624176;30;131.897955298;
99;12;35.5999984741;84.121963501;25;51.016982317;13;41.9976501465;111.217033386;31;132.921872616;
100;12;35.5999984741;83.2220611572;26;51.3204848766;13;43.0082855225;111.283065796;32;133.791816711;
101;12;35.9000015259;88.0561447144;25;51.6292699575;13;43.5999984741;112.042922974;33;134.525274038;
102;12;35.9000015259;90.1598739624;26;51.9433046579;13;44.5654907227;113.118057251;34;135.141780138;
103;12;35.9000015259;91.496383667;27;52.2625290155;13;44.6895942688;121.264801025;35;135.655139327;
104;12;35.9000015259;92.6395111084;27;52.5868490934;13;45.2387466431;123.700004578;35;136.798993707;
105;12;35.9000015259;93.7814102173;28;52.9161343575;13;45.8000030518;128.300003052;36;136.988817453;
106;12;35.5999984741;92.8827362061;29;53.2502095699;13;46.8000030518;131.407897949;37;137.186357141;
107;12;35.5999984741;93.6697540283;29;53.5888524055;13;50.8186378479;135.434692383;38;137.391891599;
108;12;35.5999984741;94.7693786621;30;53.9317867756;13;53.4391899109;139.461685181;38;137.605685115;
109;12;35.5999984741;95.8680114746;30;54.2786798477;13;53.3605690002;143.488876343;40;137.827979565;
