Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;5;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;4;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;4;20.0;
7;1;11.6000003815;11.5;6;23.0;2;12.0;10.0;3;21.3999996185;
8;1;11.8999996185;11.5;6;23.4599990845;2;13.1199998856;10.1999998093;3;21.7264003754;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;14.2179203033;10.3632001877;3;21.9903717041;
10;1;12.1463851929;11.9106416702;6;24.0;2;14.597111702;10.4951858521;3;23.0819120407;
11;1;12.2000007629;12.0;6;25.2000007629;2;14.9245738983;11.0209560394;3;23.99553442;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;16.9245738983;11.4571752548;3;24.7449600697;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;18.9245738983;11.8107032776;4;25.3503712416;
14;2;17.1463851929;13.650551796;5;28.4657306671;2;19.9627056122;12.0916318893;4;25.8344515562;
15;2;19.1463851929;13.7328653336;5;28.9071288109;2;20.9761257172;12.3113050461;4;26.2195074558;
16;2;20.4523849487;13.943564415;5;29.0401959419;2;21.9898986816;12.4808797836;4;26.3048160076;
17;2;21.4584445953;14.0;6;29.0605818033;2;23.0040187836;12.5;4;26.3530313969;
18;2;22.4645595551;14.0;6;29.0811508894;2;24.0184822083;12.5;4;26.4023760557;
19;2;22.7243442535;14.0;6;29.1018965244;2;24.5;12.920712471;5;26.4528282881;
20;2;22.7305679321;14.0;6;29.1228116751;2;24.5;12.9358482361;5;26.5043625832;
21;2;22.7368431091;14.0;6;29.1438889503;2;24.5;12.9513092041;5;26.5569496155;
22;2;22.3999996185;14.3431663513;6;29.1651208401;2;24.9670848846;12.5;5;26.6105561256;
23;2;22.3999996185;14.3495359421;8;29.1864993572;2;24.5;12.9831666946;5;26.6651450396;
24;3;22.7559490204;14.0;7;29.2080165148;2;24.5;12.99954319;5;26.72067523;
25;3;22.3999996185;14.3624048233;8;29.2296639681;2;24.5;13.3603372574;5;26.7771017551;
26;3;22.3999996185;14.3688993454;8;29.2514331341;2;25.0331306458;12.5;5;26.8343759775;
27;3;20.775428772;15.0;8;29.2733153105;2;25.0503120422;12.5;5;26.8924454451;
28;3;19.781993866;16.0;8;29.2953014374;2;25.0677337646;12.5;5;26.9512542486;
29;3;18.7885894775;17.0;8;29.3173824549;2;24.5;13.4756269455;5;27.0107431412;
30;3;17.7952136993;18.0;8;29.3395489454;2;23.1032218933;13.5;5;27.0708494186;
31;3;16.801864624;19.0;8;30.3617914915;2;22.1212539673;14.5;5;27.1315076351;
32;3;16.8085365295;20.0;8;30.3841004372;2;21.1394519806;15.5;5;27.1926498413;
33;3;16.8152294159;21.0;8;30.4064661264;2;20.1577949524;16.5;6;27.2542052269;
34;3;16.7219390869;22.0;8;30.428878665;2;19.1762619019;17.5;6;27.3161010742;
35;3;16.7286643982;23.0;8;30.4513280392;2;18.1948299408;18.5;6;27.3782629967;
36;3;16.7353973389;24.0;9;30.4738043547;2;17.7134780884;19.5;7;27.4406147003;
37;3;16.7421417236;25.0;9;30.4962974787;2;17.7321853638;20.5;7;27.5030794144;
38;3;16.7488899231;26.0;10;30.5187973976;2;17.7509231567;21.5;7;27.5655794144;
39;3;16.7556381226;27.0;11;30.5412938595;2;17.7696743011;22.5;8;27.628036499;
40;3;17.462387085;25.7000007629;12;30.5637768507;2;17.7884101868;23.5;8;27.690372467;
41;3;16.7691326141;26.0;12;30.5862361193;2;18.8071117401;22.5;6;27.7525100708;
42;3;16.7758712769;27.0;12;30.6086617708;2;19.8257522583;22.5;5;27.8143725395;
43;3;17.7825984955;25.0;15;30.6310436726;2;20.0;22.5;6;27.8758842945;
44;3;16.78931427;26.0;16;30.6533719301;2;21.8627662659;22.5;6;27.936971426;
45;3;17.0;26.0;16;30.6756366491;2;22.0;22.5;6;27.9975619316;
46;3;18.5026912689;27.0;16;30.6978281736;2;23.0;23.5;7;28.0575861931;
47;3;19.0;28.0;18;30.7199368477;2;24.0;24.028793335;7;28.1169772148;
48;3;20.5159816742;29.0;19;30.7419531345;2;24.5;24.0584888458;7;28.1756706238;
49;3;21.5225868225;30.0;19;30.7638677359;3;24.5;24.0878353119;7;28.2336053848;
50;3;22.5291595459;29.7000007629;19;30.7856714725;3;24.5;22.5;7;28.2907235622;
51;3;23.5357017517;29.7000007629;21;30.8073554039;3;24.5;23.5;7;28.346971035;
52;3;24.5422058105;29.7000007629;21;30.8289107084;3;24.5;24.1734848022;7;28.4022974968;
53;3;24.3999996185;30.6144561768;22;30.8503289223;3;24.5;24.2011489868;8;28.4566559792;
54;3;24.9550971985;29.7000007629;22;30.8716015816;3;25.5;22.5;8;28.5100040436;
55;3;24.961479187;29.7000007629;23;30.8927206993;3;25.5530014038;22.5;7;28.5623030663;
56;3;24.3999996185;30.6463623047;23;30.9136784077;3;24.5;23.5;7;28.6135182381;
57;3;24.9741020203;29.7000007629;24;30.9344670773;3;25.5;22.5;7;28.6636190414;
58;3;24.3999996185;30.6672344208;25;30.9550794363;4;26.5990867615;23.5;6;29.7125790119;
59;3;24.9865226746;29.7000007629;25;30.9755084515;4;27.6137733459;24.5;7;30.9203754663;
60;3;24.3999996185;30.6877555847;25;30.9957473278;4;28.628112793;26.5;7;32.5635451078;
61;3;24.3999996185;30.6978740692;27;31.0;4;30.0509414673;29.125;7;33.9702105522;
62;3;24.3999996185;30.7000007629;27;31.0;5;29.5009059906;32.6171875;6;35.1773705482;
63;3;24.3999996185;30.7000007629;26;31.0;5;30.743057251;32.9937896729;7;36.2288383245;
64;3;24.3999996185;30.7000007629;27;31.0;5;30.8849716187;34.2754020691;7;37.1676952839;
65;3;24.3999996185;30.7000007629;27;31.0;5;29.6893692017;36.1172676086;8;37.7675197124;
66;3;24.3999996185;30.7000007629;28;31.0;5;30.7000007629;35.1650238037;8;39.6953498125;
67;3;24.3999996185;30.7000007629;27;31.0;5;31.5370750427;35.7827301025;7;41.3818538189;
68;3;24.3999996185;30.7000007629;27;31.0;5;32.3142585754;35.5082702637;8;42.8907960653;
69;3;24.3999996185;30.7000007629;27;31.0;6;32.5982398987;35.8158721924;7;45.2167713642;
70;3;24.3999996185;30.7000007629;28;31.0;6;29.489522934;39.6413917542;7;46.2767478228;
71;3;24.3999996185;30.7000007629;28;31.0;6;29.489522934;42.685546875;9;47.3960968256;
72;3;24.3999996185;30.7000007629;28;32.4624997377;6;30.489522934;42.9154281616;10;48.5680676699;
73;3;25.4274997711;30.4262504578;28;33.584222436;6;32.0671691895;43.2162246704;10;49.7830651999;
74;3;25.1375198364;31.9824104309;28;34.4224885702;6;33.0964851379;44.3309669495;10;51.0287464857;
