Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;6;23.0;1;9.0;10.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;10.0;5;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;5;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.0;
7;1;11.6000003815;11.5;6;23.0;1;11.0;10.0;5;20.3999996185;
8;1;11.8999996185;11.5;6;23.4599990845;1;11.1199998856;10.1999998093;5;20.7264003754;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;11.5179204941;10.3632001877;4;21.9903717041;
10;1;12.1463851929;11.9106416702;6;24.0;2;11.597111702;10.4951858521;4;23.0619120598;
11;1;12.2000007629;12.0;6;25.2000007629;2;11.9185733795;11.0209560394;4;23.9545464516;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;13.9185733795;11.4571752548;4;24.6819883585;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;15.9185733795;11.8107032776;4;25.2644146681;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;16.5793247223;12.0916318893;4;25.7245066166;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;16.7173519135;12.3113050461;4;26.0845712423;
16;1;18.1463851929;13.943564415;6;28.0;2;16.8253707886;12.4808797836;4;26.1438889503;
17;1;19.1463851929;14.0;6;28.0;2;18.7299499512;12.5;4;26.1651208401;
18;1;20.1463851929;14.0;7;28.0;2;19.7363204956;12.5;4;26.1864993572;
19;1;20.3999996185;14.0;8;28.0;2;20.7427330017;12.5;4;26.2080165148;
20;1;20.3999996185;14.0;8;28.0;2;21.3867835999;12.8624048233;4;26.2296639681;
21;1;20.3999996185;14.0;8;28.0;2;21.5;12.8688993454;6;26.2514331341;
22;1;20.3999996185;14.0;8;28.0;2;21.5;12.8754301071;6;26.2733153105;
23;1;20.3999996185;14.0;10;28.0;2;21.5;12.8819942474;7;26.2953014374;
24;1;20.3999996185;14.0;10;28.0;2;21.5;12.8885908127;7;26.3173824549;
25;1;20.3999996185;14.0;11;28.0;3;21.8952140808;12.5;7;26.3395489454;
26;1;20.3999996185;14.0;11;28.0;3;21.9018650055;12.5;7;26.3617914915;
27;1;20.3999996185;14.0;11;28.0;3;21.5;13.1808958054;8;26.3841004372;
28;2;20.3999996185;14.0;8;30.260925293;3;21.5;13.1920499802;8;26.4064661264;
29;2;21.3999996185;14.0;8;30.3906815052;3;21.9219398499;12.5;8;26.428878665;
30;2;20.3999996185;15.0;8;30.5247824192;3;21.5;13.2144393921;8;26.4513280392;
31;2;20.3999996185;16.0;8;30.6630196571;3;21.5;13.2256641388;8;26.4738043547;
32;2;19.5983581543;17.0;8;30.8051445484;3;21.5;13.2369022369;8;26.4962974787;
33;2;18.6623153687;18.0;8;30.9508676529;3;19.9488887787;13.5;8;27.5187973976;
34;2;17.7278900146;19.0;8;31.0998609066;3;19.9556388855;14.5;8;27.5812938213;
35;2;16.7949371338;20.0;9;31.251758337;3;19.962387085;15.5;8;27.6449607611;
36;2;15.8632907867;21.0;10;31.4061596394;3;19.2934894562;16.5;8;27.7097896338;
37;3;16.5327720642;22.5;9;32.562633276;3;18.3129367828;17.5;8;27.7757692337;
38;4;17.6031837463;23.0;9;32.7507202625;3;17.3327312469;18.5;8;27.8428851366;
39;4;17.6743240356;24.0;9;32.9405312538;3;16.8528652191;19.5;8;27.9111198187;
40;4;18.0641517639;25.0;9;33.1315624714;3;16.8733348846;20.5;9;27.9804526567;
41;4;18.1454391479;26.0;9;33.323297739;3;16.8941364288;21.5;8;28.0508595705;
42;4;18.2269554138;27.0;10;33.5152162313;3;16.9152584076;22.5;9;28.1223129034;
43;4;18.9617214203;25.577917099;10;33.7067986727;3;16.9366931915;23.5;10;28.1947814226;
44;4;18.3897533417;26.0;12;33.8975324631;3;16.9584350586;24.5;10;28.268230319;
45;4;18.4705696106;27.0;12;34.086920023;3;17.98046875;24.5;10;28.342621088;
46;4;19.5507030487;27.0;12;34.2744829655;3;19.0027866364;25.5;10;28.4179115295;
47;4;20.6299362183;28.0;13;34.4597682953;3;20.0253753662;26.5;11;28.494055748;
48;4;21.7080688477;29.0;13;34.6423536539;3;20.0;27.5;11;28.5710041523;
49;4;22.7849159241;30.0;13;35.8218502998;3;21.5550994873;28.5;14;28.6487033367;
50;4;24.8603019714;32.0;13;36.0479073524;3;23.0946121216;27.5;14;28.7270966768;
51;5;26.5041007996;32.7166213989;8;65.0221881866;3;23.0;29.3635482788;14;28.8061238527;
52;5;28.5650844574;33.7350120544;9;67.2569487095;3;22.1418380737;28.5;15;28.8857213259;
53;5;31.4230270386;35.0;9;69.0112578869;3;22.5853767395;28.4672336578;15;28.9658225775;
54;5;32.5444221497;37.0;11;70.3441666365;3;23.586523056;28.5;15;29.0463578701;
55;5;33.6105537415;38.6349868774;12;71.3404103518;3;24.1212539673;28.4877548218;15;29.1272549629;
56;5;34.1882781982;40.4755096436;12;72.0851687193;3;23.5;29.4978733063;14;29.1926498413;
57;5;35.7364349365;39.6960792542;12;72.3193631172;3;24.1577949524;28.5;14;29.2542052269;
58;5;36.7961196899;39.7281532288;12;72.5263165236;3;23.5;29.5;15;29.3161010742;
59;5;36.3103485107;40.0;12;72.7304751873;3;24.1948299408;28.5;15;29.3782629967;
60;5;36.3860969543;41.0;12;72.931833744;3;24.2134780884;28.5;15;29.4406147003;
61;5;35.9153785706;42.9081420898;13;73.130403161;3;24.2321853638;28.5;16;29.5030794144;
62;5;36.0130081177;43.8664245605;16;73.326207757;3;24.2509231567;28.5;18;29.5655794144;
63;5;35.4931564331;45.8512611389;14;73.5192807913;3;24.2696743011;28.5;18;29.628036499;
64;5;34.9529953003;46.9090919495;14;73.6856511831;3;23.5;29.5;18;29.690372467;
65;5;34.5676765442;46.9800338745;15;73.8048305511;3;24.3071117401;28.5;18;29.7525100708;
66;5;34.1867752075;48.0;18;77.6092758179;3;23.5;29.5;19;29.8143725395;
67;5;34.8870391846;49.0429077148;18;80.4162995815;3;23.5;29.9071865082;18;29.8758842945;
68;5;33.9385452271;48.0785140991;18;82.4320573807;3;24.3627662659;28.5;18;29.936971426;
69;5;33.9928474426;48.114566803;19;83.8310678005;3;23.5;29.5;19;29.9975619316;
70;7;33.2265625;49.1510238647;16;100.319256544;3;23.5;29.9987812042;19;30.0575861931;
71;7;36.9392623901;45.0;16;101.401191473;3;23.5;30.028793335;19;31.1781289577;
72;7;40.9069213867;44.0;17;102.397339821;3;24.7534370422;29.0;19;32.0795936584;
73;7;39.2367019653;46.0;17;103.307509422;4;24.0340003967;30.3899993896;17;56.7962088585;
74;7;39.3037033081;48.2998657227;18;104.135305166;4;25.2123565674;32.3981056213;16;59.0436151028;
75;7;39.0290985107;50.0;19;104.886935949;4;27.3458442688;31.9097423553;15;60.7127876282;
