Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;2;7.0;13.3000001907;5;24.0;1;9.0;10.0;5;20.0;
3;2;8.19999980927;12.1000003815;5;24.1124999523;1;9.0;10.0;5;20.0;
4;2;9.22249984741;11.5;5;24.2364046574;1;9.0;10.0;5;20.0;
5;2;9.84728145599;11.5;5;24.3725773096;1;10.0;10.0;4;20.0;
6;2;11.0117731094;11.5;5;24.5218783617;1;11.0;10.0;4;20.0;
7;2;12.0565643311;11.5;5;24.6851472855;2;11.3000001907;10.0;3;21.3999996185;
8;2;12.405544281;11.5;5;25.340031147;2;11.4200000763;10.1999998093;3;21.7664003372;
9;2;12.6020097733;11.7299995422;5;25.9150743484;2;11.529920578;10.3632001877;3;22.0715556145;
10;2;12.7745227814;11.9106416702;5;27.4451127052;2;11.6214666367;10.4951858521;3;23.1762773991;
11;2;13.2335338593;12.5274600983;5;28.7648246288;2;11.9528827667;11.0209560394;3;24.1039098501;
12;2;14.9628257751;13.0216779709;5;29.9030094147;2;13.9528827667;11.4571752548;3;24.8681889772;
13;2;16.9628257751;13.4066829681;5;30.8959269524;2;15.9528827667;11.8107032776;4;25.4893084764;
14;2;18.9628257751;13.6998376846;5;31.7803142071;2;17.0043869019;12.0916318893;4;25.9899599552;
15;2;20.3290309906;13.9190797806;5;32.4273490906;2;18.0227775574;12.3113050461;4;26.3924539089;
16;2;21.4745903015;14.0;5;32.9507789612;2;19.0417823792;12.4808797836;4;26.4960671663;
17;2;22.6316184998;14.0;6;33.510178566;2;20.0613937378;12.5;4;26.5634490252;
18;2;23.7994384766;14.0;6;34.1019620895;2;21.0816078186;12.5;4;26.6328122616;
19;2;24.230588913;14.0;6;34.7211914062;2;21.5;12.9898433685;5;26.7041202784;
20;2;24.4163570404;14.0;6;35.3616409302;2;22.0112361908;12.5;5;26.7773271799;
21;2;24.6084918976;14.0;6;36.0159702301;2;21.5;13.0331983566;5;26.8523778915;
22;2;22.6084918976;15.0;6;36.6760072708;2;22.0557136536;12.5;5;26.9292075634;
23;2;23.6084918976;14.0;8;37.3331270218;2;22.0787620544;12.5;5;27.0077416897;
24;4;24.6084918976;14.0;6;37.9786872864;2;22.1023216248;12.5;5;27.0878958702;
25;4;25.3936061859;14.0;7;38.6044816971;2;22.1263694763;12.5;5;27.1695766449;
26;4;23.5813446045;15.0;7;39.2031593323;2;21.5;13.1508731842;6;27.2526805401;
27;4;22.7609481812;16.0;7;39.7685651779;2;21.5;13.6263399124;6;27.3370957375;
28;4;21.9305686951;17.0;7;40.2959661484;3;21.5;13.6685476303;5;27.4227013588;
29;4;21.0887889862;18.0;6;40.7821531296;4;22.2268104553;12.5;3;27.5093686581;
30;4;20.2346458435;19.0;6;41.2254190445;4;20.2528114319;13.5;4;27.5969614983;
31;4;19.3676261902;20.0;6;42.6254329681;4;19.279088974;14.5;4;27.6853370667;
32;4;17.3676261902;22.5;6;43.0130417347;4;18.30560112;15.5;4;27.7743468285;
33;4;16.9676246643;24.5149993896;6;43.3606226444;4;17.3323040009;16.5;4;27.863837719;
34;4;17.0;26.5302963257;6;43.670643568;4;16.3591518402;17.5;4;27.9536523819;
35;4;18.0;28.5458831787;6;43.9460260868;4;15.3860960007;18.5;4;28.0436308384;
36;4;19.0;30.5617580414;6;45.1899336576;4;14.9130897522;19.5;4;28.1336119175;
37;4;20.0;32.5779190063;7;45.4256068468;4;14.9400835037;20.5;4;29.2234334946;
38;4;21.0;34.5943527222;7;45.5123229027;4;15.9670295715;22.0;4;29.3529341221;
39;4;23.0;30.6110630035;8;45.5666579008;4;16.9938812256;22.5;4;29.4831387997;
40;4;21.0;32.628036499;9;45.6216927767;4;17.0205860138;24.0405921936;4;29.6138927937;
41;4;21.0;34.6452713013;9;45.6774051189;4;17.3841667175;24.5;5;29.7450424433;
42;4;22.3976516724;35.6452713013;9;45.7337708473;4;17.0;24.0835533142;5;29.8764363527;
43;4;23.7451305389;38.6452713013;11;45.7907643318;4;17.3635520935;23.5;6;30.0079259872;
44;4;24.7622299194;41.6452713013;12;45.8483586311;4;17.1250534058;25.1288738251;6;30.1393663883;
45;5;25.0;44.6452713013;11;45.9065248966;3;17.0;25.1288738251;7;30.2706170082;
46;5;25.5750007629;47.6452713013;13;45.965233326;3;19.4059104919;26.1288738251;6;30.4015420675;
47;5;27.0271644592;45.6040077209;13;46.0244524479;3;19.0;27.1288738251;6;30.5320109129;
48;5;26.0384368896;46.6148300171;14;46.0841494799;3;21.0;28.1288738251;9;30.6618990898;
49;5;26.0498161316;47.6257171631;14;46.1442904472;3;22.6985702515;28.5;9;30.7910871506;
50;5;27.0612945557;45.6366577148;15;46.2048399448;3;22.0;29.2784748077;9;30.9194626808;
51;6;26.0728607178;46.6476516724;14;47.2657618523;3;23.483165741;29.5;10;31.0469194651;
52;7;27.5750007629;45.6586914062;12;51.7087930441;2;21.5;23.332572937;11;26.72067523;
53;8;31.4981040955;46.0;9;53.5619287491;1;19.5;17.5;11;25.0;
54;8;34.1080360413;48.680896759;9;53.7490632534;1;19.5;17.5;12;25.0;
55;8;33.5351142883;52.0;10;53.9352134466;1;19.5;17.5;12;25.0;
56;8;34.1317825317;53.7032318115;11;54.1202567816;1;19.5;17.5;13;25.0;
57;8;35.1437225342;55.2144393921;12;55.3040754795;1;19.5;17.5;13;25.0;
58;8;36.5750007629;57.1934814453;12;55.5165575743;1;19.5;17.5;13;25.0;
59;8;39.1676750183;56.2369003296;12;55.7281850576;1;19.5;17.5;14;25.0;
60;8;40.1796760559;56.2481498718;14;55.9388484955;1;19.5;17.5;14;25.0;
61;8;41.6473121643;55.5;16;56.1484410763;1;19.5;17.5;14;25.0;
62;10;42.2036628723;56.2706451416;15;56.3568589687;1;19.5;17.5;14;25.0;
63;11;42.6156349182;55.0779190063;14;63.5932770967;1;19.5;17.5;15;25.0;
64;11;44.3473548889;57.3001327515;15;65.5712560415;1;19.5;17.5;15;25.0;
65;11;42.8840827942;61.3129119873;15;67.1999509335;1;19.5;17.5;15;25.0;
66;11;44.6265029907;61.262588501;16;68.5454152822;1;17.5;18.5;15;25.0;
67;12;43.2341575623;64.9223175049;12;84.4981158972;1;16.5;19.5;16;25.0;
68;12;43.6059379578;66.69480896;12;87.2346322536;1;15.5;20.5;16;25.0;
69;12;42.8857154846;73.118637085;14;89.8684180975;1;14.5;21.5;17;25.0;
70;13;46.9151000977;76.4899215698;15;91.258109808;1;13.5;22.5;17;25.0;
71;13;49.9434432983;79.6859741211;16;92.4893730879;1;12.5;23.5;18;25.0;
72;13;51.3046951294;84.1005477905;17;93.6125051975;1;12.0;24.5;18;25.0;
73;13;54.1983833313;82.7389984131;18;94.6337110996;1;12.0;25.5;19;25.0;
74;14;54.464138031;85.8531799316;18;95.562105298;1;12.0;26.5;19;25.0;
75;14;55.5183639526;89.8812789917;16;96.4082574844;1;12.0;27.5;20;25.0;
76;15;55.2384300232;92.8621063232;14;102.183048964;1;12.0;28.5;21;25.0;
77;15;56.3022155762;96.9038467407;15;102.94815433;1;12.0;29.5;22;26.0;
78;15;56.9973983765;101.968055725;16;103.567089558;1;12.0;30.5;22;26.7800006866;
79;15;59.4278831482;103.982246399;16;104.177943945;1;12.0;31.5;23;27.3745174408;
80;15;57.4679298401;108.057891846;16;104.780022144;1;13.0;29.5;23;27.8194847107;
81;15;56.4657821655;113.134346008;19;105.341220975;1;12.0;30.5;23;28.0;
82;15;56.4749984741;114.211555481;21;105.853769541;1;12.0;31.5;24;28.0;
83;15;54.4749984741;118.28944397;22;106.349602699;1;12.0;32.5;24;28.0;
84;15;55.4749984741;118.992950439;22;106.838593125;1;13.0;30.5;24;28.0;
85;15;54.5984077454;119.932350159;24;107.320209026;1;12.0;31.5;25;28.0;
86;15;53.4749984741;122.040092468;25;107.793978691;1;12.0;32.5;25;28.0;
87;15;55.1278953552;118.539039612;27;108.259491205;1;13.0;30.5;26;28.0;
88;15;53.1349067688;120.671432495;28;108.716392994;1;12.0;31.5;25;28.0;
89;16;54.141834259;120.804840088;29;109.16438508;1;12.0;32.5;25;28.0;
90;16;54.6927947998;118.067016602;29;109.585041761;1;13.0;30.5;25;28.0;
91;16;56.1585044861;123.733474731;29;109.99225378;1;12.0;31.5;24;28.0;
92;16;57.5992202759;128.784667969;29;110.390250683;1;12.0;32.5;25;28.0;
93;16;57.739025116;132.881668091;32;110.778927088;1;13.0;30.5;25;28.0;
94;16;57.7778892517;135.926818848;38;111.126740217;1;12.0;31.5;25;28.0;
95;16;57.8126716614;138.128326416;38;111.428503513;1;12.0;32.5;25;28.0;
96;16;57.8428459167;140.299926758;39;111.72501421;1;13.0;30.5;26;28.0;
97;16;57.8724937439;142.470199585;39;112.016121387;1;12.0;31.5;26;28.0;
98;16;57.9016075134;144.638961792;42;112.270384073;1;12.0;32.5;26;28.0;
99;16;57.9270362854;146.786468506;44;112.446456909;1;13.0;30.5;26;28.0;
100;16;57.9446411133;148.920974731;44;113.860732317;1;12.0;31.5;26;28.0;
