Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
67;6;34.7999992371;54.0;14;60.9311387539;6;32.5999984741;40.0;14;69.1235535145;
68;6;34.7999992371;55.0;15;61.4345068932;6;31.5999984741;42.0;14;70.1671074629;
69;6;34.7999992371;56.0;15;61.9436681271;6;33.8625984192;42.0;14;70.2518414259;
70;7;34.7999992371;56.0;7;73.9568665028;6;35.5999984741;42.6059188843;14;70.3389317989;
71;7;35.7999992371;57.0;7;75.104837656;6;36.8829917908;43.0;16;70.4283695221;
72;7;36.7999992371;58.0;8;76.2113707066;6;37.8527984619;44.6524085999;17;70.5201388597;
73;7;36.7999992371;59.0;8;77.2702755928;6;38.1670303345;45.0;17;72.8046196699;
74;7;36.7999992371;60.0;8;78.2772884369;6;38.7237892151;45.5;17;74.6865572929;
75;7;36.7999992371;61.0;8;79.2299480438;6;38.5494155884;47.2977256775;17;76.2218782902;
76;7;37.7999992371;64.0;9;80.1273574829;6;38.8888664246;47.6736068726;18;77.4692635536;
77;7;36.7999992371;68.0;10;80.9698858261;6;39.1566543579;47.9779281616;18;78.3064986467;
78;7;36.7999992371;70.0;11;81.7588448524;6;41.0689620972;44.5;17;78.4830286503;
79;8;37.7999992371;70.0;13;82.4961895943;7;35.3249969482;49.2415161133;12;78.6659034491;
80;8;36.7999992371;73.0;15;83.1842589378;7;33.3249969482;51.4776992798;11;78.8550226688;
81;8;37.7999992371;76.0;16;83.825571537;7;31.3249988556;54.4275131226;12;79.0502481461;
82;9;37.7999992371;77.0;16;84.3044042587;7;29.3249988556;56.5251235962;12;79.2514023781;
83;9;36.7999992371;81.0;19;84.7176685333;7;29.3249988556;59.5226898193;13;79.4582674503;
84;9;36.7999992371;85.0;19;85.1134300232;7;30.0249996185;61.5725631714;13;79.6705842018;
85;9;37.7999992371;86.0;19;85.4061965942;7;31.0249996185;63.6238861084;14;79.8880524635;
86;9;36.7999992371;90.0;21;85.6723608971;7;32.0250015259;66.6766052246;14;80.1103312969;
87;9;37.7999992371;91.0;22;85.9276695251;7;33.0250015259;69.7306442261;16;80.3370394707;
88;9;38.7999992371;89.0;22;86.1712341309;7;33.0250015259;72.7859191895;16;80.5677580833;
89;9;36.7999992371;93.0;23;86.4023790359;7;33.0250015259;75.8423461914;17;80.8020319939;
90;10;37.7999992371;94.0;24;86.6206407547;7;33.0250015259;78.8998260498;17;81.0393733978;
91;10;38.7999992371;92.0;29;87.8257570267;7;33.0250015259;81.9582214355;18;81.2792646885;
92;10;37.7999992371;97.0;30;88.1176506281;7;32.0250015259;81.6396331787;19;81.5211632252;
93;10;38.7999992371;98.4000015259;30;90.4053120613;7;30.0249996185;83.7605819702;19;81.7645051479;
94;10;43.7999992371;95.4000015259;29;90.8495415449;7;29.0249996185;85.8822479248;20;82.008711338;
95;10;42.7999992371;101.400001526;30;91.3031162024;7;29.0249996185;85.0043563843;22;82.2531919479;
96;10;42.7999992371;107.400001526;30;92.7676585913;7;27.0249996185;87.1266021729;23;82.4973526001;
97;10;46.7999992371;104.400001526;29;93.3448146582;7;26.7250003815;89.2486801147;23;82.7405993938;
98;10;44.7999992371;110.400001526;31;93.9828457832;7;27.7250003815;88.370300293;26;82.9823460579;
99;10;44.7999992371;115.400001526;31;94.6372947693;7;27.7250003815;87.4911727905;29;83.2220175266;
100;10;47.7999992371;111.400001526;31;95.2391624451;7;28.7250003815;87.6110076904;29;83.4590573311;
101;10;44.7999992371;116.400001526;33;95.8845237494;8;27.7250003815;86.7295303345;28;83.6929311752;
102;11;44.7999992371;120.400001526;34;96.574478507;8;27.7250003815;85.8464660645;29;83.9231333733;
103;11;47.7999992371;115.400001526;34;97.3097717762;8;28.7250003815;85.9615707397;30;84.1491889954;
104;11;44.7999992371;119.400001526;34;98.0907309055;8;27.7250003815;85.0745925903;30;84.3706593513;
105;11;44.7999992371;123.400001526;35;98.9172012806;8;27.7250003815;87.059463501;30;84.5871429443;
106;11;47.7999992371;118.400001526;35;99.7884867191;8;28.7250003815;87.2109985352;31;84.7982792854;
107;11;44.7999992371;122.400001526;35;100.703297853;8;29.7250003815;88.358795166;31;86.0037508011;
108;12;44.7999992371;126.400001526;35;102.659710169;8;31.7250003815;90.5026245117;32;86.2332823277;
