Turn;Planet_count_KI_1_SP_CHATO;Research_KI_1_SP_CHATO;Industry_KI_1_SP_CHATO;Ships_KI_1_SP_CHATO;Population_KI_1_SP_CHATO;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;13.0;10.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;13.0;10.0;4;20.0;1;7.0;11.0;5;20.0;
3;1;13.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
4;1;14.0;10.0;4;20.0;1;8.0;10.0;6;20.0;
5;1;15.0;10.0;4;20.0;1;8.0;10.0;5;20.0;
6;1;16.0;10.0;3;20.3999996185;1;9.0;10.0;5;20.0;
7;1;17.0;10.1999998093;3;20.7264003754;1;9.5;10.0;5;20.0;
8;1;17.4358406067;10.3632001877;3;21.8194274902;1;9.5;10.0;5;20.3999996185;
9;2;18.6916561127;10.9097137451;2;23.7316036224;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;20.6916561127;11.3658018112;2;24.5045616627;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;22.6916561127;11.7372808456;2;25.1279890537;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;23.7280101776;12.0336990356;3;25.6242921352;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;24.7467155457;12.2662630081;3;26.0160515308;1;10.1557292938;11.4571752548;5;23.6214065552;
14;2;25.7657661438;12.446267128;3;26.1558350325;1;10.3148164749;11.8107032776;5;24.1832637787;
15;2;26.78515625;12.5;3;26.1887089014;1;11.3148164749;12.0916318893;5;24.6226100922;
16;2;27.8048820496;12.5;3;26.2221269608;1;12.3148164749;12.3113050461;5;24.9617595673;
17;2;28.8249320984;12.5;3;26.2560760975;1;12.6163959503;12.4808797836;5;25.0;
18;2;29.7536449432;12.5;3;26.2905418873;1;14.3148164749;12.5;5;25.0;
19;2;29.7743244171;12.5;4;26.3255085945;1;15.3148164749;12.5;6;25.0;
20;2;29.7953052521;12.5;4;26.3609591722;1;16.3148155212;12.5;6;25.0;
21;2;29.816576004;12.5;4;26.3968753815;1;17.3148155212;12.5;6;25.0;
22;2;29.8381252289;12.5;4;26.4332377911;1;17.625;12.5;6;25.0;
23;2;29.8599433899;12.5;4;26.4700255394;1;17.625;12.5;6;25.0;
24;2;29.8820152283;12.5;4;26.5072168112;1;17.625;12.5;6;25.0;
25;2;29.9043292999;12.5;4;26.5447884798;1;17.625;12.5;7;25.0;
26;2;29.9268722534;12.5;4;26.5827163458;1;17.625;12.5;7;25.0;
27;2;29.9496307373;12.5;4;26.6209751368;1;17.625;12.5;7;25.0;
28;2;29.9725856781;12.5;4;26.6595385075;2;18.625;12.8000001907;6;26.0;
29;2;29.9957237244;12.5;4;26.6983793974;2;19.625;12.8000001907;6;26.0900000334;
30;2;30.01902771;12.5;4;26.7374696732;2;19.625;12.8269996643;6;26.1871190071;
31;2;30.0424823761;12.5;4;26.7767804861;2;19.625;12.8561353683;6;26.2917383909;
32;2;30.0660686493;12.5;4;26.8162822723;2;19.625;13.1458692551;6;26.4042263031;
33;2;30.0897693634;14.5;4;26.8559447527;2;19.625;13.2021131516;6;26.5249304771;
34;2;30.1135673523;16.5;5;26.8957372904;2;19.9681091309;12.5;6;26.6541694403;
35;3;30.1374416351;18.5;5;26.9356285334;2;19.625;13.3270845413;6;26.7922235727;
36;3;29.0;20.5;6;26.9755871296;2;19.625;13.3961114883;6;26.9393253326;
37;3;30.0;22.5;6;27.015581131;2;19.625;13.4696626663;7;27.0956480503;
38;3;30.2093486786;22.5;7;27.0555787086;2;20.0965213776;12.5;7;27.261295557;
39;3;30.2333469391;22.5;7;27.0955479145;2;19.625;13.5;7;27.4362905025;
40;3;30.2573280334;22.5;7;27.135456562;2;19.625;13.7181453705;7;27.6205644608;
41;3;30.2812728882;22.5;7;27.17527318;2;20.2146263123;12.5;7;27.8139474392;
