Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
79;4;20.2999992371;24.0;16;38.0;6;34.2198524475;54.5778121948;18;79.8968455791;
80;4;20.2999992371;24.0;17;38.0;6;33.2420349121;56.6032676697;18;80.1653773785;
81;4;20.2999992371;24.0;17;38.0;6;31.6999988556;59.5702972412;19;80.4290914536;
82;4;20.2999992371;24.0;17;38.0;6;30.6999988556;61.508354187;11;80.6877433062;
83;4;20.2999992371;24.0;17;38.0;6;31.0117740631;61.6539459229;9;80.9411476851;
84;4;19.2999992371;25.0;17;38.0;6;30.3999996185;63.7747879028;10;81.1891738176;
85;4;19.2999992371;26.0;16;38.0;6;31.0606822968;63.8908309937;11;81.4317381382;
86;4;18.5499992371;27.0;18;38.0;6;30.3999996185;66.0020751953;13;81.6688007116;
87;4;17.5499992371;28.0;18;38.0;6;30.3999996185;67.2939987183;15;81.9003565311;
88;4;16.5499992371;29.0;18;38.0;6;30.3999996185;68.438873291;15;82.1264306307;
89;4;16.25;30.0;18;38.0;6;31.1631698608;68.3077697754;16;82.3470723629;
90;4;16.25;31.0;19;38.0;6;30.3999996185;70.4006729126;17;82.5623496771;
91;4;16.25;32.0;19;38.0;6;31.2161407471;70.4893188477;18;82.7054237127;
92;4;16.25;33.0;19;38.0;6;31.2429046631;71.527015686;19;82.8349527121;
93;4;16.25;34.0;19;38.0;6;30.3999996185;73.55493927;20;82.9648098946;
94;4;16.25;35.0;20;38.0;6;31.2967662811;73.5829086304;21;83.094802618;
95;4;16.25;36.0;20;38.0;6;30.3999996185;75.6109085083;20;83.2247374058;
96;4;16.25;37.0;20;38.0;6;30.3999996185;77.223487854;21;83.3544204235;
97;4;17.25;35.0;20;38.0;6;31.3999996185;75.2963256836;22;83.483659029;
98;4;16.25;36.0;21;38.0;6;31.3999996185;73.1999969482;23;83.6122632027;
99;4;16.25;37.0;21;38.0;6;31.4310970306;74.1999969482;21;83.7400465012;
100;4;17.25;35.0;20;38.0;6;32.4575233459;72.1999969482;22;83.8668272495;
