Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;5;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;8.0;11.0;5;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;8.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;4;24.2466050386;1;9.0;10.0;5;20.0;
7;2;10.4554862976;11.543302536;4;24.872087121;1;9.5;10.0;4;20.0;
8;2;10.5962190628;11.7641716003;4;25.6774437428;1;9.5;10.0;3;20.3999996185;
9;2;10.7774248123;12.0549411774;4;26.3907378912;2;9.59000015259;10.5;2;21.7264003754;
10;2;10.937915802;12.2827939987;3;27.0383243561;2;9.88844013214;10.3632001877;2;21.9903717041;
11;2;11.0836229324;12.4589796066;4;27.4570713043;2;9.94783401489;10.4951858521;2;23.0619120598;
12;2;14.0043392181;12.5;4;27.8389720917;2;10.1889305115;11.0209560394;2;23.9545464516;
13;2;16.0043392181;12.5;4;28.2693893909;2;11.9568777084;11.4571752548;2;24.6819883585;
14;2;17.2628688812;12.5;4;28.7509903908;2;13.9568777084;11.8107032776;2;25.2644146681;
15;2;18.3712291718;12.5;4;29.285469532;2;15.9568777084;12.0916318893;2;25.7245066166;
16;2;19.4914855957;12.5;4;29.8732013702;2;16.9707603455;12.3113050461;2;26.0845712423;
17;2;20.6237258911;12.5;4;30.5128965378;2;17.9754657745;12.4808797836;2;26.1438889503;
18;2;20.8654022217;12.5;5;31.20129776;2;18.9802093506;12.5;3;26.1651208401;
19;2;21.0202922821;12.5;5;31.9329705238;2;19.8871517181;12.5;3;26.1864993572;
20;2;21.18491745;12.5;5;32.7002444267;2;19.8919620514;12.5;3;26.2080165148;
21;2;21.3575553894;12.5;6;33.4933509827;2;19.8968029022;12.5;3;26.2296639681;
22;2;21.5360031128;12.5;6;34.300784111;2;19.9016742706;12.5;4;26.2514331341;
23;2;21.7176761627;12.5;6;35.1098794937;2;19.9065723419;12.5;4;26.2733153105;
24;2;21.899723053;12.5;6;35.9075613022;2;19.625;13.0093259811;4;26.2953014374;
25;2;22.0792007446;12.5;6;36.6811733246;2;19.9164428711;12.5;5;26.3173824549;
26;3;20.0792007446;13.5;4;37.4192867279;2;19.625;13.0269527435;4;26.3395489454;
27;3;19.625;14.5;4;38.1123714447;2;19.625;13.0358200073;4;26.3617914915;
28;3;19.625;15.5;4;38.7532558441;2;19.9314041138;12.5;3;26.3841004372;
29;3;19.625;16.5;5;39.3373212814;3;17.936422348;13.5;1;26.4064661264;
30;3;18.625;15.5;5;39.8624515533;0;0;0;0;0;
