Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;8.0;11.0;5;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;1;8.0;10.0;4;20.0;
6;2;9.27600002289;11.4650716782;3;24.086605072;1;9.0;10.0;4;20.0;
7;2;10.4194869995;11.543302536;3;24.6083432436;1;9.5;10.0;4;20.0;
8;2;10.5368766785;11.7641716003;3;25.2862184048;1;9.5;10.0;4;20.3999996185;
9;2;10.6893997192;12.0549411774;2;25.8457199335;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;10.8152866364;12.2827939987;2;26.3097169399;1;9.66343975067;10.3632001877;3;20.9903717041;
11;2;10.9196863174;12.4589796066;2;26.5115636587;1;9.72283363342;10.4951858521;3;22.0419120789;
12;2;13.8404026031;12.5;2;26.6398718357;1;9.95943069458;11.0209560394;3;22.9143505096;
13;2;15.8404026031;12.5;2;26.7769671679;1;11.7228336334;11.4571752548;3;23.6214065552;
14;2;16.9270744324;12.5;3;26.9230877161;1;12.7228336334;11.8107032776;3;24.1832637787;
15;3;17.9599514008;12.5;2;27.0784137249;1;13.7228336334;12.0916318893;3;24.6226100922;
16;3;18.527256012;12.5;3;27.2430570126;1;14.7228336334;12.3113050461;3;24.9617595673;
17;3;20.0319442749;12.5;2;27.4170496464;1;15.7228336334;12.4808797836;3;25.0;
18;3;20.1688365936;12.5;2;27.6003332138;1;16.7228336334;12.5;4;25.0;
19;3;20.2100753784;12.5;2;27.7927491665;1;17.625;12.5;4;25.0;
20;3;20.2533683777;12.5;2;27.9940295219;1;17.625;12.5;6;25.0;
21;3;20.2986564636;12.5;3;28.2037904263;1;17.625;12.5;7;25.0;
22;3;20.3458518982;12.5;3;28.4215266705;1;17.625;12.5;7;25.0;
23;3;20.3948440552;12.5;3;28.6466109753;1;17.625;12.5;7;25.0;
24;3;20.4454879761;12.5;3;28.8782944679;1;17.625;12.5;7;25.0;
25;3;20.4976158142;12.5;3;29.1157121658;1;17.625;12.5;7;25.0;
26;3;18.5510349274;13.5;3;29.3578925133;1;17.625;12.5;7;25.0;
27;3;17.6055259705;14.5;3;29.6037693024;1;17.625;12.5;8;25.0;
28;3;16.6608486176;15.5;3;29.8521990776;1;17.625;12.5;8;25.0;
29;3;15.7167453766;16.5;5;30.1019806862;1;17.625;12.5;8;25.0;
30;4;15.625;15.5;4;30.3518767357;1;17.625;12.5;8;25.0;
31;4;16.625;15.5;4;30.6006383896;1;15.625;13.5;8;25.0;
32;4;15.625;14.5;5;30.8470306396;1;14.625;14.5;8;25.0;
33;4;15.625;13.5;5;31.0898561478;1;13.625;15.5;8;25.0;
34;5;15.0;13.5;4;31.3279781342;1;12.625;16.5;8;25.0;
35;5;15.4237957001;14.5;4;31.5603427887;1;12.0;17.5;8;25.0;
36;5;15.0;13.5;4;31.7859959602;1;12.0;18.5;8;25.0;
37;5;16.0;14.5;4;32.0040979385;1;12.0;19.5;8;25.0;
38;5;17.0;15.5;4;33.2139339447;1;12.0;20.5;8;25.0;
39;5;19.0;16.606967926;4;33.4449188709;1;12.0;21.5;9;25.0;
40;5;21.0;16.2074584961;5;33.6671917439;1;12.0;22.5;9;25.0;
41;5;21.625;16.8335971832;5;33.8804233074;1;12.0;23.5;9;25.0;
42;5;21.8706474304;16.394329071;5;34.0844085217;1;12.0;24.5;9;25.0;
43;5;21.8777923584;16.4804458618;5;34.2790573835;1;12.0;25.5;10;25.0;
44;5;21.8850631714;16.5616111755;5;35.4643856287;1;12.0;26.5;10;25.0;
45;5;22.625;17.7321929932;7;35.7305029631;1;12.0;27.5;10;25.0;
46;5;24.8999786377;21.5943546295;7;35.9947183132;1;12.0;28.5;11;25.0;
47;5;26.0988121033;24.5943546295;7;36.2576705217;1;12.0;29.5;12;25.0;
48;5;25.8673362732;27.5943546295;8;36.5200400352;1;13.0;27.5;9;25.0;
49;5;25.901058197;30.5943546295;8;36.782530427;1;12.0;28.5;13;25.0;
50;5;25.9329586029;33.0;9;37.0458472967;1;12.0;29.5;13;25.0;
51;6;26.3353157043;32.5;10;37.2254613638;1;13.0;27.5;13;25.0;
52;6;25.6499996185;33.3961105347;11;37.409350872;1;12.0;28.5;15;25.0;
53;6;26.08634758;33.2350120544;12;37.6028648615;1;12.0;29.5;16;25.0;
