Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;13.0;6;20.0;
3;1;8.0;10.0;4;21.0;1;8.0;12.0;6;20.0;
4;1;8.14999961853;10.5;4;21.8400001526;1;8.0;11.0;6;20.0;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;8.0;10.3000001907;5;21.0;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;9.22500038147;10.0;5;21.1200000048;
7;1;10.194486618;11.543302536;4;23.5283432007;2;9.75199985504;10.0;5;21.2530560493;
8;1;10.2938766479;11.7641716003;4;24.1098823547;2;9.78193759918;10.0;5;21.8127820492;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;9.90787601471;10.1999998093;5;22.3170127869;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;10.0213279724;10.3632001877;5;22.7783694267;
11;1;10.6065406799;12.4589796066;5;25.0;2;10.1251335144;10.4951858521;5;24.1197800636;
12;1;12.5272569656;12.5;5;25.0;2;10.4269514084;11.0209560394;5;25.3230593204;
13;1;13.5272569656;12.5;5;25.0;2;12.264793396;11.4571752548;5;26.4056642056;
14;1;14.5272569656;12.5;5;25.0;2;14.264793396;11.8107032776;5;27.3911669254;
15;1;15.5272569656;12.5;5;25.0;2;16.264793396;12.0916318893;5;28.3050293922;
16;1;16.527256012;12.5;5;25.0;2;17.5513782501;12.3113050461;5;29.1714119911;
17;1;17.527256012;12.5;6;25.0;2;18.6700057983;12.4808797836;5;29.790178299;
18;1;17.625;12.5;6;25.0;2;19.8006229401;12.5;6;30.4229521751;
19;1;17.625;12.5;6;25.0;2;20.8451652527;12.5;6;31.1049995422;
20;1;17.625;12.5;6;25.0;2;20.9986248016;12.5;6;31.8311891556;
