Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
83;16;59.8662414551;127.187149048;20;129.227907658;5;24.2999992371;34.0;11;50.765904665;
84;16;60.1019744873;133.759536743;23;130.304170012;5;24.2999992371;34.0;10;51.4278934002;
85;16;61.231803894;137.169754028;23;131.393964648;5;25.2999992371;34.0;10;51.9461109638;
86;16;61.362411499;140.603271484;23;132.493499994;6;22.2999992371;36.0;11;52.4244917631;
87;16;60.4934005737;146.057128906;24;132.598031759;6;21.2999992371;38.0;12;52.8627279997;
88;16;61.5242767334;148.527587891;26;133.981914163;6;20.6268863678;41.0;12;53.2615923882;
89;16;61.6824798584;151.010040283;27;134.324370146;6;19.6384811401;44.0;12;53.6227226257;
90;16;61.4113464355;152.66897583;27;135.645007372;6;18.6503124237;47.0;12;53.9483933449;
91;17;61.5935897827;154.175140381;26;151.91713047;6;19.2999992371;48.0;13;54.2413007021;
92;17;60.5780944824;155.676727295;28;153.992265463;6;19.0;49.0;13;55.5043723583;
93;17;60.6784973145;158.168136597;28;155.865102768;6;21.0;52.0;13;55.840613246;
94;17;61.9896011353;163.964187622;30;157.605597019;6;21.0;54.0;14;56.0432759523;
95;18;64.1026306152;170.049041748;29;159.204544663;6;21.0;56.0;14;56.2197099924;
96;19;67.2119369507;173.133987427;26;172.16003859;6;22.0;58.9462203979;14;56.406901598;
97;19;68.3170547485;179.218948364;26;174.10854733;6;23.0;60.9756278992;13;56.6053225994;
98;20;71.4176940918;182.303833008;26;175.883810282;6;23.375;60.9756278992;15;56.8154057264;
99;20;74.5136871338;181.912994385;27;177.492204309;7;23.375;61.9756278992;12;57.0375304222;
100;20;75.1015930176;183.369979858;29;178.943300366;7;23.375;61.9756278992;10;57.2720057964;
