Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;2;6.0;14.5;3;21.0;
2;1;7.0;11.0;5;20.0;2;7.15000009537;13.0;3;21.0399999619;
3;1;8.0;10.0;5;21.0;2;8.15600013733;12.0;3;21.0811839104;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.16217803955;11.0;3;21.1235535145;
5;2;8.27600002289;11.1199998856;4;23.5301437378;2;8.1685333252;10.0;3;21.1671074629;
6;2;9.50100040436;11.2650718689;4;24.2066050768;2;9.0;10.5835533142;3;21.211841464;
7;2;10.4464864731;11.543302536;4;24.78139925;2;9.5;10.6059207916;3;21.2577478886;
8;2;10.5758142471;11.7641716003;4;25.5226647854;2;9.5;10.6288738251;3;21.7173930407;
9;2;10.7425994873;12.0549411774;4;26.1562004089;2;9.59000015259;10.8586969376;3;22.1054821014;
10;2;10.8851451874;12.2827939987;4;26.7059569359;2;9.66343975067;11.0527410507;3;22.4331796169;
11;2;11.0088405609;12.4589796066;5;27.0063481331;2;9.72283363342;11.2165899277;3;23.5793277025;
12;2;13.9295558929;12.5;5;27.2469825745;2;9.95943069458;11.7896642685;4;24.5511229038;
13;2;15.9295558929;12.5;5;27.5110707283;2;11.7228336334;12.2755613327;5;25.3623305559;
14;2;17.0922470093;12.5;5;27.7995657921;2;13.7228336334;12.6811656952;6;26.0331535339;
15;2;18.1571598053;12.5;5;28.1131293774;2;15.7228336334;13.016576767;6;26.5862700939;
16;2;19.2277107239;12.5;5;28.4520516396;2;16.7228336334;13.2931346893;6;27.0439527035;
17;2;20.3039665222;12.5;5;28.8161723614;2;17.7228336334;13.5219764709;6;27.2054133415;
18;2;19.625;13.5;6;29.2048048973;2;18.7228336334;13.6027069092;6;27.3332078457;
19;2;20.5710811615;12.5;6;29.6166739464;2;19.625;13.6666040421;7;27.4654259682;
20;2;19.625;13.5;6;30.0498714447;2;19.625;13.7327127457;7;27.6018767357;
21;2;19.625;14.0149612427;6;30.5018415451;2;19.625;14.0611257553;7;27.7423293591;
22;2;20.625;12.5;6;30.9693965912;2;19.625;14.1453971863;8;27.8865120411;
23;2;20.9681148529;12.5;6;31.4487752914;2;19.625;14.2319068909;8;28.0341134071;
24;2;19.625;13.5;7;31.9357366562;3;19.625;14.3204679489;7;28.1847839355;
25;2;18.625;13.5;7;32.4256954193;3;19.625;14.4108705521;7;28.3381381035;
26;2;18.2957820892;14.5;7;32.9138832092;3;19.625;14.5028829575;7;28.4937574863;
27;2;17.4056243896;15.5;7;33.3955316544;3;19.625;14.5962543488;7;28.6511945724;
28;2;16.5139942169;16.5;9;33.8660564423;3;19.625;14.6907167435;7;28.8099780083;
29;2;15.9948625565;17.5;9;34.3212347031;3;19.625;14.7859869003;7;28.96961689;
30;2;15.0;16.5;9;34.7573537827;3;18.518163681;13.7859869003;7;29.1296076775;
31;2;16.0;16.5;10;35.1713237762;3;17.5541610718;14.5;7;29.2894396782;
32;2;17.0;16.5;10;35.5607509613;3;16.5901241302;15.5;7;29.4486017227;
33;2;16.0;15.5;9;35.9239616394;3;15.6259355545;16.5;7;29.6065893173;
34;2;16.0;15.5;9;36.2599868774;3;15.036482811;17.5;7;29.7629098892;
35;2;15.0;14.5;9;36.5685119629;3;15.0716552734;18.5;8;29.9170894623;
36;2;15.0;14.5;9;36.8497991562;3;15.1063451767;19.5;8;30.0686788559;
37;3;16.0;15.5;6;52.104593277;3;15.1404533386;20.5;9;30.2172579765;
38;3;17.7235336304;16.5;6;53.0840244293;3;15.1738834381;21.5;9;30.3624405861;
39;3;18.7751560211;17.5;6;53.9588804245;3;15.2065486908;22.5;10;30.5038781166;
40;3;19.8213882446;18.5;6;54.7299346924;3;15.2383728027;23.5;10;30.6412615776;
41;3;20.8625946045;19.5;6;55.4014282227;3;14.0;25.5;9;30.7743244171;
42;3;21.8991603851;20.5;7;55.9513263702;3;14.0;27.5;10;31.9028420448;
43;3;22.9249992371;21.5;6;56.3190898895;3;15.0;29.5;11;32.0666337013;
