Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;2;6.0;14.3000001907;3;21.0;
2;1;7.0;11.0;5;20.0;2;7.15000009537;13.0;3;21.1200000048;
3;1;8.0;10.0;5;21.0;2;8.16800022125;12.0;3;21.2530560493;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.18795871735;11.0;3;21.4002518654;
5;1;8.27600002289;10.9200000763;5;22.5301437378;2;8.21003818512;10.0;3;21.5626775026;
6;1;9.27600002289;11.2650718689;5;23.086605072;2;9.35160255432;10.0;3;21.7414059639;
7;1;10.194486618;11.543302536;5;23.5283432007;2;9.89181613922;10.0;3;21.9374637604;
8;1;10.2938766479;11.7641716003;5;24.1098823547;2;9.9359292984;10.0;3;22.5711705685;
9;1;10.4247236252;12.0549411774;5;24.5655879974;2;10.0785140991;10.1999998093;3;23.1543953419;
10;1;10.5272569656;12.2827939987;5;24.9179592133;2;10.2097387314;10.3632001877;3;23.699334383;
11;1;10.6065406799;12.4589796066;6;25.0;2;10.3323497772;10.4951858521;3;25.1651031971;
12;1;12.5272569656;12.5;6;25.0;2;10.6621484756;11.0209560394;2;26.5021727085;
13;1;13.5272569656;12.5;6;25.0;2;12.5300931931;11.4571752548;2;27.7263121605;
14;1;14.5272569656;12.5;6;25.0;2;14.5300941467;11.8107032776;2;28.8585500717;
15;2;16.527256012;12.6999998093;5;26.0;2;16.5300941467;12.0916318893;3;29.9208650589;
16;2;18.527256012;12.5;5;26.0399999619;3;17.9149398804;12.3113050461;3;30.9329853058;
17;2;19.7612552643;12.5;5;26.0811839104;3;19.0663604736;12.4808797836;4;31.6894907951;
18;2;19.8682670593;12.5;5;26.1235535145;3;20.2279682159;12.5;4;32.4461064339;
19;2;19.8777999878;12.5;6;26.1671074629;3;21.3003730774;12.5;4;33.2319602966;
20;2;19.8875999451;12.5;7;26.211841464;3;21.477191925;12.5;4;34.0360612869;
21;2;19.8976650238;12.5;7;26.2577478886;3;21.6581134796;12.5;4;34.8460483551;
22;2;19.9079933167;12.5;7;26.3048160076;3;21.8403606415;12.5;4;35.6488904953;
23;2;19.9185829163;12.5;7;26.3530313969;3;22.0209999084;12.5;5;36.4317016602;
24;2;19.9294319153;12.5;8;26.4023760557;3;22.1971321106;12.5;5;37.1825695038;
25;2;19.625;12.920712471;9;26.4528282881;3;22.3660774231;12.5;6;37.8912820816;
26;2;17.9518871307;13.5;9;26.5043625832;3;22.5255393982;12.5;6;38.5498609543;
27;2;16.9634819031;14.5;9;26.5569496155;4;22.6737174988;12.5;5;39.1528482437;
28;2;17.625;13.2784748077;9;26.6105561256;4;18.6737174988;14.5;5;39.6973295212;
29;2;15.9873752594;13.5;9;26.6651450396;4;18.6737174988;14.5;5;40.1827335358;
30;2;16.625;13.332572937;10;26.72067523;4;19.625;15.5;5;40.6104717255;
31;3;15.0121517181;13.5;8;36.7771017551;4;19.625;16.5;5;40.9834880829;
32;3;15.0;14.5;8;37.234375596;4;19.625;17.5;6;41.3057975769;
