Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;6.0;12.0;4;20.0;1;6.0;14.0;4;20.0;
2;1;7.0;11.0;4;20.0;2;7.0;13.3000001907;5;21.0;
3;1;8.0;10.0;5;21.0;2;8.14999961853;12.0;5;21.0599999428;
4;1;8.14999961853;10.5;5;21.8400001526;2;8.15900039673;11.0;5;21.1229639053;
5;1;8.27600002289;10.9200000763;4;22.5301437378;2;8.16844463348;10.0;5;21.1889609098;
6;1;9.27600002289;11.2650718689;4;23.086605072;2;9.26751613617;10.0;5;21.2580518723;
7;1;10.194486618;11.543302536;4;23.5283432007;2;9.7830619812;10.0;5;21.3302885294;
8;1;10.2938766479;11.7641716003;4;24.1098823547;2;9.7993144989;10.0;5;21.8190145493;
9;1;10.4247236252;12.0549411774;4;24.5655879974;2;9.90927886963;10.1999998093;5;22.2388005257;
10;1;10.5272569656;12.2827939987;4;24.9179592133;2;10.0037298203;10.3632001877;5;22.6008902788;
11;1;10.6065406799;12.4589796066;4;25.0;2;10.0852003098;10.4951858521;5;23.7875448465;
12;1;11.6065406799;12.5;3;25.0;2;10.3521976471;11.0209560394;5;24.8040741682;
13;1;12.6065406799;12.5;3;25.0;2;12.148021698;11.4571752548;5;25.6643919945;
14;1;13.6065406799;12.5;3;25.0;2;14.148021698;11.8107032776;5;26.3888099194;
15;1;14.6065406799;12.5;3;25.0;2;15.7228336334;12.7532958984;5;27.0000665188;
16;1;15.6065406799;12.5;3;25.0;2;17.2577610016;12.3113050461;5;27.5204386711;
17;1;16.6065406799;12.5;4;25.0;2;17.7228336334;13.2484836578;5;27.7490785122;
18;1;17.6065406799;12.5;4;25.0;2;18.7228336334;13.3247232437;5;27.9484119415;
19;1;17.625;12.5;4;25.0;2;19.625;13.3845233917;4;28.156321764;
20;1;17.625;12.5;5;25.0;2;20.3351726532;12.5;6;28.3723301888;
21;1;17.625;12.5;6;25.0;2;20.3837738037;12.5;6;28.5958371162;
22;1;17.625;12.5;6;25.0;2;20.4340629578;12.5;6;28.8261203766;
23;1;17.625;12.5;7;25.0;2;19.625;13.5;6;29.0623402596;
24;1;17.625;12.5;7;25.0;2;19.625;14.1249361038;6;29.303548336;
25;1;17.625;12.5;7;25.0;2;20.5932979584;12.5;8;29.5486979485;
26;1;17.625;12.5;7;25.0;2;20.6484565735;12.5;8;29.796661377;
27;1;17.625;12.5;7;25.0;2;20.7042484283;12.5;8;30.0462479591;
28;1;17.625;12.5;7;25.0;2;20.7604064941;12.5;9;30.2962265015;
