Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
75;7;32.3911209106;44.211227417;13;66.4618022442;4;20.5249996185;24.5;5;30.2905418873;
76;8;31.41771698;45.4901924133;12;67.6016871929;3;20.5249996185;24.5;5;31.4984138012;
77;8;31.5599994659;45.6382827759;12;68.4524488449;3;20.7859992981;25.0799999237;6;32.4039654732;
78;8;31.5325508118;46.6974372864;13;69.2062832117;3;20.9787216187;25.508272171;6;33.0692871809;
79;8;32.5599975586;47.7578849792;14;69.7644094229;3;21.1171417236;25.8158721924;6;33.4887546301;
80;8;30.6100006104;50.5889549255;14;70.1718549728;4;21.2000007629;26.0;5;55.2910284996;
81;8;29.6100006104;52.7076950073;14;70.4002441168;4;22.2000007629;27.0;5;56.7037072182;
82;8;28.6100006104;54.8271636963;15;70.6292163134;4;23.2000007629;28.0;6;57.8881986141;
83;8;27.6100006104;56.9472007751;18;70.8584136963;4;24.2000007629;29.0;6;58.8549627066;
84;8;26.6100006104;59.067615509;19;71.0874843597;4;25.2000007629;30.0;7;59.6276583672;
85;8;26.0499992371;61.1882400513;19;71.3160847425;4;26.2000007629;31.0;8;60.2362805605;
86;8;26.0499992371;63.3089141846;19;71.5438828468;4;25.2000007629;32.0;7;60.7117477655;
87;8;26.0499992371;65.4294586182;20;71.7705588341;4;25.2000007629;33.0;7;60.9334968328;
88;8;26.0499992371;67.5497283936;22;71.9958072901;4;25.2000007629;34.0;8;60.9927875996;
89;8;26.0499992371;69.6695632935;22;72.2193385363;4;25.2000007629;35.0;8;61.0527150631;
90;8;26.0499992371;71.7888031006;22;72.4408792257;4;25.2000007629;36.0;10;60.7132148743;
91;8;25.0499992371;71.9073181152;23;72.6601736546;4;24.3000011444;37.0;11;60.4142181873;
92;8;24.0499992371;72.0249633789;24;72.876983881;4;24.1000003815;38.0;11;60.1516573429;
93;8;24.0499992371;72.1416244507;24;73.0910892487;4;24.1000003815;39.0;11;59.9218592644;
94;8;24.0499992371;70.2153320312;25;73.3022885323;4;24.1000003815;40.0;12;59.7215092182;
95;8;24.4727554321;69.8623504639;26;73.5103969574;4;24.1000003815;41.0;13;59.5476155281;
96;8;23.0;70.9365692139;24;73.7152476311;4;24.1000003815;42.0;13;59.3974785805;
97;8;25.0;71.0109100342;24;73.9166910648;4;24.1000003815;43.0;12;59.2686576843;
98;8;24.0;69.0852813721;25;74.114593029;4;24.1000003815;44.0;12;59.1589479446;
99;8;23.0;71.1595993042;25;74.308835268;4;25.1000003815;42.0;12;59.0663602352;
100;9;25.0;71.2337646484;20;94.4993145466;4;24.1000003815;43.0;12;58.9890944958;
