Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;12.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;10.0;4;20.0;1;8.0;10.0;4;20.0;
4;1;9.0;10.0;3;20.0;1;8.0;10.0;4;20.0;
5;1;9.0;10.0;3;20.0;1;8.0;10.0;4;20.0;
6;1;10.0;10.0;3;20.0;1;9.0;10.0;4;20.0;
7;1;11.0;10.0;3;20.0;1;9.5;10.0;4;20.0;
8;1;11.0;10.0;3;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;11.1199998856;10.1999998093;3;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;11.2179203033;10.3632001877;3;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;11.2971115112;10.4951858521;3;22.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;1;11.6125736237;11.0209560394;4;22.9143505096;1;9.95943069458;11.0209560394;5;22.9143505096;
13;1;13.2971115112;11.4571752548;4;23.6214065552;1;11.7228336334;11.4571752548;5;23.6214065552;
14;1;14.2971115112;11.8107032776;4;24.1832637787;1;12.7228336334;11.8107032776;5;24.1832637787;
15;1;15.2971115112;12.0916318893;4;24.6226100922;1;13.7228336334;12.0916318893;5;24.6226100922;
16;1;16.2971115112;12.3113050461;4;24.9617595673;1;14.7228336334;12.3113050461;5;24.9617595673;
17;1;17.2971115112;12.4808797836;4;25.0;1;15.7228336334;12.4808797836;5;25.0;
18;1;18.2971115112;12.5;4;25.0;1;16.7228336334;12.5;5;25.0;
19;1;19.2971115112;12.5;5;25.0;1;17.625;12.5;6;25.0;
20;1;19.5;12.5;5;25.0;1;17.625;12.5;7;25.0;
21;1;19.5;12.5;5;25.0;1;17.625;12.5;7;25.0;
22;1;19.5;12.5;5;25.0;1;17.625;12.5;7;25.0;
23;1;19.5;12.5;5;25.0;1;17.625;12.5;8;25.0;
24;1;19.5;12.5;5;25.0;1;17.625;12.5;8;25.0;
25;1;19.5;12.5;5;25.0;1;17.625;12.5;8;25.0;
26;1;19.5;12.5;5;25.0;1;17.625;12.5;8;25.0;
27;1;19.5;12.5;5;25.0;1;17.625;12.5;9;25.0;
28;1;19.5;12.5;5;25.0;1;17.625;12.5;9;25.0;
29;1;19.5;12.5;5;25.0;1;17.625;12.5;9;25.0;
30;1;19.5;12.5;5;25.0;1;17.625;12.5;9;25.0;
31;1;19.5;12.5;5;25.0;1;17.625;12.5;9;25.0;
32;1;19.5;12.5;6;25.0;1;17.625;12.5;9;25.0;
33;1;19.5;12.5;6;25.0;1;17.625;12.5;9;25.0;
34;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
35;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
36;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
37;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
38;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
39;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
40;1;19.5;12.5;6;25.0;1;17.625;12.5;8;25.0;
41;1;19.5;12.5;6;25.0;1;17.625;12.5;9;25.0;
42;1;19.5;12.5;6;25.0;1;17.625;12.5;9;25.0;
43;1;19.5;12.5;6;25.0;1;17.625;12.5;9;25.0;
44;1;19.5;12.5;7;25.0;1;17.625;12.5;10;25.0;
45;1;19.5;12.5;7;25.0;1;17.625;12.5;10;25.0;
46;1;19.5;13.5;7;25.0;1;17.625;12.5;10;25.0;
47;1;19.5;14.5;7;25.0;1;17.625;12.5;10;25.0;
48;1;19.5;15.5;8;25.0;1;17.625;12.5;10;25.0;
49;1;19.5;16.5;8;25.0;1;17.625;12.5;10;25.0;
50;1;19.5;17.5;10;25.0;1;17.625;12.5;11;25.0;
51;1;19.5;17.5;10;25.0;1;17.625;13.5;11;25.0;
52;1;19.5;17.5;9;25.0;1;17.625;14.5;11;25.0;
53;1;19.5;17.5;11;25.0;3;18.625;16.5;10;26.0;
54;1;19.5;17.5;11;25.0;3;19.625;18.5;9;26.1299999952;
55;3;20.5;18.5;9;26.0;3;19.8792495728;20.5;9;26.2754310369;
56;3;21.5;19.5;10;26.1599999666;3;19.9119720459;21.5;10;26.4377241135;
57;4;20.75;20.5;9;42.5937439203;3;19.9484882355;22.5;10;26.6183350086;
58;4;22.0874996185;23.125;9;44.9884996414;3;19.625;23.3091678619;10;26.8187118769;
59;4;23.3532810211;25.6171875;9;47.0833488703;3;19.625;23.4093551636;12;27.0402543545;
60;4;23.5566444397;26.9937877655;10;48.9053103924;3;20.0840568542;22.5;12;27.2842636108;
61;4;23.7087173462;28.2754020691;10;50.4895269871;3;20.1389598846;22.5;12;27.5518820286;
62;5;23.8204307556;29.4822807312;9;66.6097705364;3;20.1991729736;22.5;12;27.8440244198;
63;7;25.8299999237;32.5;7;69.3676772118;3;19.625;23.5;12;28.1613030434;
64;7;27.8299999237;35.5;7;71.1106818914;3;20.3362922668;22.5;12;28.5039470196;
65;7;27.8299999237;38.5;8;72.771525383;3;19.625;23.5;12;29.871723175;
66;7;27.8299999237;40.7992706299;8;74.343482852;3;20.625;25.4358615875;13;30.2938621044;
67;7;27.8299999237;42.748374939;8;75.8093612194;3;21.625;26.6319313049;13;30.7395884991;
68;7;27.8299999237;43.7048683167;8;77.0514011383;3;22.625;25.6319313049;12;31.2068932056;
69;7;28.8299999237;44.6680908203;8;79.3064267635;3;22.7759037018;26.5;13;31.6931169033;
70;7;30.8299999237;46.637298584;9;80.6092824936;3;22.8781604767;27.5;13;32.1949743032;
